question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001,Softphone Kennwort aendern,phi3:latest,hybrid,1.0,1.0,1.0,1,1.0,,5.1306,1120,22,1,10,10,2,2,0.267266,0.026723,0.333333,1,0,1,5,C
G002,Softphone Anmeldedaten speichern aktivieren,phi3:latest,hybrid,1.0,1.0,1.0,1,0.6667,"haken, speichern",3.073,423,26,0,10,10,4,4,0.275001,0.02468,0.911111,1,1,0,2,A
G003,Softphone Erstanmeldung mit DLS PIN,phi3:latest,hybrid,1.0,1.0,1.0,1,0.8571,erstmalig,3.3756,573,24,1,10,10,2,2,0.204547,-0.002431,0.244444,1,0,0,3,C
G004,Softphone vollstaendig beenden,phi3:latest,hybrid,1.0,1.0,1.0,1,1.0,,3.2702,435,22,1,10,10,4,4,0.214649,-0.0511,0.511111,1,0,1,4,C
G005,Softphone Fusion Leiste Funktionen,phi3:latest,hybrid,1.0,1.0,1.0,1,0.6667,"optionen, softphone",3.2417,434,25,1,10,10,6,6,0.182612,-0.075052,0.6,1,0,0,2,C
G006,Softphone praefiertes Endgeraet wechseln,phi3:latest,hybrid,1.0,1.0,1.0,1,0.8571,fusion,3.2961,413,24,0,10,10,10,10,0.284962,0.037883,0.377778,1,0,0,3,A
G007,Softphone One Number Service konfigurieren,phi3:latest,hybrid,0.8,0.8688,1.0,1,1.0,,3.4035,744,24,1,10,10,6,6,0.274662,0.007102,0.555556,1,0,1,4,C
G008,Softphone Rufnummernanzeige steuern (CLIR),phi3:latest,hybrid,1.0,1.0,1.0,1,0.0,clir,3.2966,411,24,0,10,10,3,3,0.374663,0.000671,0.333333,1,0,0,3,A
G009,Softphone Rufnummer fuer CLIR deaktivieren,phi3:latest,hybrid,1.0,1.0,1.0,1,0.0,deaktivieren,3.3189,465,20,0,10,10,7,7,0.266904,0.023915,0.466667,1,0,0,3,A
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,phi3:latest,hybrid,1.0,0.9675,1.0,1,0.0,kontakte,3.2152,405,31,0,10,10,10,10,0.328919,-0.017171,0.333333,1,0,0,2,A
G011,Softphone Konferenz planen,phi3:latest,hybrid,1.0,1.0,1.0,1,0.8571,moderator,3.1789,392,27,1,10,10,7,7,0.312183,-0.012573,0.688889,1,0,0,2,C
