question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001,Softphone Kennwort aendern,llama3:8b,hybrid,0.5,0.6367,1.0,1,1.0,,14.4274,1007,103,1,12,11,1,0,0.203341,0.053458,0.212121,1,0,0,5,C
G002,Softphone Anmeldedaten speichern aktivieren,llama3:8b,hybrid,0.5,0.6131,1.0,1,1.0,,6.8172,821,76,1,12,9,3,0,0.211407,0.11656,0.090909,1,1,0,4,OK
G003,Softphone Erstanmeldung mit DLS PIN,llama3:8b,hybrid,0.5,0.6131,1.0,1,1.0,,6.3994,453,93,1,12,10,2,0,0.155852,0.022956,0.30303,1,1,0,4,OK
G004,Softphone vollstaendig beenden,llama3:8b,hybrid,0.5,0.6131,1.0,1,1.0,,6.6861,426,97,0,12,9,3,0,0.162251,0.050109,-0.333333,1,0,0,4,A
G005,Softphone Fusion Leiste Funktionen,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,5.83,366,74,1,12,12,0,0,0.177627,-0.019155,0.363636,1,1,0,4,B
G006,Softphone praefiertes Endgeraet wechseln,llama3:8b,hybrid,0.0,0.0,0.0,,0.8571,,9.1343,346,127,1,12,9,3,0,0.241678,0.155656,-0.121212,0,1,0,4,B
G007,Softphone One Number Service konfigurieren,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,6.7846,1022,73,1,12,10,2,0,0.696416,0.093543,-0.090909,1,0,1,4,B
G008,Softphone Rufnummernanzeige steuern (CLIR),llama3:8b,hybrid,0.0,0.0,0.0,123,0.0,,7.3932,374,101,1,12,9,3,0,0.746335,0.098757,-0.242424,1,0,0,4,C
G009,Softphone Rufnummer fuer CLIR deaktivieren,llama3:8b,hybrid,0.0,0.0,0.0,,0.0,,7.393,465,101,1,12,9,3,0,0.200718,0.142245,-0.212121,1,1,0,4,B
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,llama3:8b,hybrid,0.25,0.1952,0.3333,3,0.8571,,6.854,399,106,1,12,9,3,0,0.755714,0.124173,-0.424242,0,0,1,4,C
G011,Softphone Konferenz planen,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,6.6737,349,93,1,12,12,0,0,0.245791,0.028287,0.333333,1,0,0,4,B
G012,HP Drucker Papierstau beheben,llama3:8b,hybrid,0.25,0.3904,1.0,1,1.0,,6.6483,797,73,1,12,9,3,0,0.217439,0.12978,-0.181818,1,0,0,4,C
G013,HP Drucker Duplexmodul verwenden,llama3:8b,hybrid,0.25,0.1681,0.25,4,1.0,,5.3822,1118,42,0,12,9,3,0,0.753355,0.164867,-0.090909,1,0,1,4,A
G014,HP Drucker Patronen reinigen,llama3:8b,hybrid,0.25,0.2463,0.5,2,0.0,,6.0105,1110,61,1,12,9,3,0,0.753791,0.108836,-0.030303,0,0,1,4,C
G015,Abwesenheitsagent in Clerk anlegen,llama3:8b,hybrid,1.0,0.8772,1.0,1,1.0,,4.926,859,41,0,12,1,11,0,0.148442,0.050067,-0.363636,1,0,1,4,A
G016,Outlook Ordner fuer Stellvertreter freigeben,llama3:8b,hybrid,0.5,0.6367,1.0,1,1.0,,7.5172,426,111,1,12,12,0,0,0.136095,-0.047506,0.454545,1,1,0,4,OK
G017,Raeume oder Ressourcen buchen,llama3:8b,hybrid,0.5,0.6367,1.0,1,1.0,,6.0355,679,66,1,12,10,2,0,0.729082,0.109626,0.151515,1,1,0,4,OK
G018,Wie konfiguriere ich die Proxy-Einstellungen fuer agree21Internet manuell?,llama3:8b,hybrid,0.5,0.6131,1.0,1,1.0,,6.8748,641,78,1,12,9,3,0,0.744888,0.130595,-0.060606,1,1,0,4,OK
