question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001,Softphone Kennwort aendern,llama3:8b,hybrid,0.0,0.0,0.0,,0.5714,,4.1734,758,30,1,10,10,2,2,0.267915,0.026855,0.288889,1,0,0,2,B
G002,Softphone Anmeldedaten speichern aktivieren,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,3.8771,375,29,1,10,10,4,4,0.274957,0.024565,0.777778,1,0,0,2,B
G003,Softphone Erstanmeldung mit DLS PIN,llama3:8b,hybrid,0.0,0.0,0.0,,0.8571,,3.9682,447,38,1,10,10,2,2,0.204649,-0.002321,0.377778,1,0,0,2,B
G004,Softphone vollstaendig beenden,llama3:8b,hybrid,0.0,0.0,0.0,,0.8571,,3.9221,435,34,1,10,10,4,4,0.214978,-0.050988,0.422222,1,0,0,2,B
G005,Softphone Fusion Leiste Funktionen,llama3:8b,hybrid,0.0,0.0,0.0,,0.8571,,4.0132,410,34,1,10,10,6,6,0.182914,-0.074824,0.733333,1,1,0,2,B
G006,Softphone praefiertes Endgeraet wechseln,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,4.0322,374,32,1,10,10,9,9,0.285045,0.016037,0.422222,1,0,0,2,B
G007,Softphone One Number Service konfigurieren,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,4.3517,769,34,1,10,10,6,6,0.274707,0.017175,0.6,1,0,0,2,B
G008,Softphone Rufnummernanzeige steuern (CLIR),llama3:8b,hybrid,0.0,0.0,0.0,,0.0,,3.9423,374,31,1,10,10,3,3,0.370121,0.000312,0.244444,1,0,0,2,B
G009,Softphone Rufnummer fuer CLIR deaktivieren,llama3:8b,hybrid,0.0,0.0,0.0,,0.0,,4.0482,475,33,1,10,10,8,8,0.266676,-0.016741,0.244444,1,0,0,2,B
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,llama3:8b,hybrid,0.0,0.0,0.0,,0.4,,3.9803,396,31,1,10,10,9,9,0.329128,-0.024366,0.2,1,0,0,1,B
G011,Softphone Konferenz planen,llama3:8b,hybrid,0.0,0.0,0.0,,0.6667,,3.9067,392,32,1,10,10,7,7,0.312406,-0.012467,0.644444,1,0,0,2,B
G012,HP Drucker Papierstau beheben,llama3:8b,hybrid,0.0,0.0,0.0,,0.8571,,3.9484,398,28,1,10,10,10,10,0.285176,0.051313,0.555556,1,0,0,2,B
G013,HP Drucker Duplexmodul verwenden,llama3:8b,hybrid,0.0,0.0,0.0,,0.6667,,3.9248,384,34,1,10,10,7,7,0.295873,0.087903,0.066667,1,0,0,2,B
G014,HP Drucker Patronen reinigen,llama3:8b,hybrid,0.0,0.0,0.0,,0.0,,4.081,400,29,1,10,10,9,9,0.334996,-0.123134,0.288889,1,0,0,1,B
G015,Abwesenheitsagent in Clerk anlegen,llama3:8b,hybrid,1.0,0.9197,1.0,1,1.0,,4.672,1344,28,0,10,10,4,4,0.191948,-0.051787,0.555556,1,0,1,4,A
G016,Outlook Ordner fuer Stellvertreter freigeben,llama3:8b,hybrid,0.0,0.0,0.0,,0.8571,,3.9981,416,32,1,10,10,3,3,0.17787,-0.043839,0.555556,1,0,0,2,B
G017,Raeume oder Ressourcen buchen,llama3:8b,hybrid,0.0,0.0,0.0,,0.0,,3.9408,386,38,1,10,5,10,5,0.229436,0.056503,0.822222,1,0,0,1,B
G018,Wie konfiguriere ich die Proxy-Einstellungen fuer agree21Internet manuell?,llama3:8b,hybrid,0.0,0.0,0.0,,0.6667,,4.0443,432,32,1,10,10,9,9,0.308222,-0.027596,0.333333,1,0,0,1,B
G019,Welche Aufgaben uebernimmt das Atruvia Secure Webgateway laut Funktionsbeschreibung?,llama3:8b,hybrid,1.0,0.3333,0.1429,7,0.4,,4.0372,457,33,1,10,10,10,10,0.200529,0.170796,0.288889,1,0,0,1,C
G020,Welche Ports empfiehlt die LDAP-Anleitung fuer StartTLS und LDAPS?,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,4.234,779,30,0,10,10,2,2,0.324911,0.028399,0.422222,1,0,1,3,B
G021,Welche Forms-Regeln gelten laut Spielregeln M365?,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,4.0897,693,32,0,10,10,0,0,3.323676,3.316073,0.244444,1,0,1,4,B
G022,Wie legt man Postfachregeln laut Anleitung in Outlook Online an?,llama3:8b,hybrid,0.0,0.0,0.0,,0.6667,,4.46,989,38,1,10,10,4,4,0.27904,0.036646,0.377778,1,0,0,1,B
G023,Wie aktiviert man Senden-von in Outlook laut Anleitung?,llama3:8b,hybrid,0.0,0.0,0.0,,0.6667,,4.2117,649,35,1,10,10,2,2,0.219968,0.038849,0.2,1,0,0,2,B
G024,Wie erteilt man Outlook-Zugriff fuer Stellvertreter laut Guidance?,llama3:8b,hybrid,0.0,0.0,0.0,,0.6667,,4.2612,786,31,1,10,10,1,1,0.270658,0.027066,0.244444,1,0,0,1,B
G025,Wie erstellt man Screenshots mit Greenshot laut Anleitung?,llama3:8b,hybrid,0.0,0.0,0.0,,0.8571,,3.8797,427,39,1,10,10,1,1,0.287837,0.028784,0.333333,1,0,0,2,B
