question_id,sample_index,run_label,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,gpu_util_pct,gpu_mem_used_mb,embedding_model,chunk_strategy,chunk_size_tokens,chunk_overlap_tokens,reranker_enabled,index_base,error_bucket
G001_01,0,,Softphone Kennwort aendern,gemma:2b,hybrid,1.0,1.0,1.0,1,0.8889,,5.9692,886,19,0,10,10,2,2,0.267796,0.026442,0.377778,0,0,0,3,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,A
G002_01,1,,Softphone Anmeldedaten speichern aktivieren,gemma:2b,hybrid,1.0,1.0,1.0,1,1.0,,2.7814,497,24,1,10,10,4,4,0.275288,0.025791,0.466667,0,0,0,8,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G003_01,2,,Softphone Erstanmeldung mit DLS PIN,gemma:2b,hybrid,1.0,1.0,1.0,1,0.8571,,3.0819,740,47,1,10,10,2,2,0.204649,-0.002749,0.555556,0,0,0,5,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G004_01,3,,Softphone vollstaendig beenden,gemma:2b,hybrid,1.0,1.0,1.0,1,0.6667,,2.6055,372,9,1,10,10,4,4,0.214857,-0.051387,0.6,0,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G005_01,4,,Softphone Fusion Leiste Funktionen,gemma:2b,hybrid,1.0,1.0,1.0,1,0.6667,,2.8748,366,22,1,10,10,5,5,0.200903,-0.070534,0.733333,0,0,0,5,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G006_01,5,,Softphone praefiertes Endgeraet wechseln,gemma:2b,hybrid,1.0,1.0,1.0,1,0.6667,,3.0054,374,35,1,10,10,7,7,0.287404,0.034352,0.511111,0,0,0,4,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G007_01,6,,Softphone One Number Service konfigurieren,gemma:2b,hybrid,0.8,0.8688,1.0,1,1.0,,3.1337,911,23,1,10,10,5,5,0.269117,0.007333,0.422222,0,0,0,6,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G008_01,7,,Softphone Rufnummernanzeige steuern (CLIR),gemma:2b,hybrid,1.0,1.0,1.0,1,0.6667,,2.8159,374,16,1,10,10,3,3,0.362746,-0.001389,0.511111,0,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G009_01,8,,Softphone Rufnummer fuer CLIR deaktivieren,gemma:2b,hybrid,1.0,1.0,1.0,1,0.8571,,2.6784,475,12,1,10,10,7,7,0.267327,0.040983,0.511111,0,0,1,3,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G010_01,9,,Softphone Rufnummernanzeige fuer Kontakte anpassen,gemma:2b,hybrid,1.0,0.9675,1.0,1,0.4,,2.9829,396,37,1,10,10,9,9,0.326665,-0.019799,0.377778,0,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G011_01,10,,Softphone Konferenz planen,gemma:2b,hybrid,1.0,1.0,1.0,1,0.8571,,2.4558,349,4,0,10,10,7,7,0.305487,-0.014912,0.733333,0,0,0,4,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,A
G012_01,11,,HP Drucker Papierstau beheben,gemma:2b,hybrid,1.0,1.0,1.0,1,0.8571,,2.9481,398,15,1,10,10,10,10,0.284834,0.04799,0.6,0,0,0,6,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G013_01,12,,HP Drucker Duplexmodul verwenden,gemma:2b,hybrid,0.6667,0.7039,1.0,1,0.4,,2.5513,332,10,1,10,10,8,8,0.295451,0.078859,0.022222,0,0,0,4,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G014_01,13,,HP Drucker Patronen reinigen,gemma:2b,hybrid,1.0,1.0,1.0,1,0.6667,,2.9759,400,34,1,10,10,9,9,0.334269,-0.122294,0.377778,0,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G015_01,14,,Abwesenheitsagent in Clerk anlegen,gemma:2b,hybrid,1.0,1.0,1.0,1,0.6667,,2.8561,785,16,1,10,10,4,4,0.191878,-0.052995,0.866667,0,0,0,4,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G016_01,15,,Outlook Ordner fuer Stellvertreter freigeben,gemma:2b,hybrid,1.0,1.0,1.0,1,1.0,,2.939,383,31,1,10,10,3,3,0.177979,-0.044128,0.377778,0,0,0,6,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G017_01,16,,Raeume oder Ressourcen buchen,gemma:2b,hybrid,1.0,0.6309,0.5,2,1.0,,2.9437,379,41,1,10,5,10,5,0.231244,0.057096,0.866667,0,0,0,3,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G018_01,17,,Wie konfiguriere ich die Proxy-Einstellungen fuer agree21Internet manuell?,gemma:2b,hybrid,1.0,1.0,1.0,1,1.0,,3.069,539,23,1,10,10,10,10,0.308191,-0.057288,0.066667,0,0,0,3,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G019_01,18,,Welche Aufgaben uebernimmt das Atruvia Secure Webgateway laut Funktionsbeschreibung?,gemma:2b,hybrid,1.0,0.5,0.3333,3,0.8571,,2.5034,457,3,0,10,10,10,10,0.194239,0.163761,0.288889,1,0,0,3,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,A
G020_01,19,,Welche Ports empfiehlt die LDAP-Anleitung fuer StartTLS und LDAPS?,gemma:2b,hybrid,1.0,0.6309,0.5,2,0.4,,3.1856,1132,53,1,10,10,4,4,0.329093,0.028817,0.422222,0,0,0,1,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G021_01,20,,Welche Forms-Regeln gelten laut Spielregeln M365?,gemma:2b,hybrid,0.0,0.0,0.0,,0.4,,2.6081,746,6,0,10,10,1,1,3.326692,3.316532,0.066667,0,0,0,5,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,B
G022_01,21,,Wie legt man Postfachregeln laut Anleitung in Outlook Online an?,gemma:2b,hybrid,1.0,0.6934,0.5,2,0.8571,,3.1345,996,37,1,10,10,4,4,0.282457,0.037103,0.555556,0,0,0,0,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G023_01,22,,Wie aktiviert man Senden-von in Outlook laut Anleitung?,gemma:2b,hybrid,1.0,1.0,1.0,1,0.8571,,2.7621,843,11,1,10,10,2,2,0.220002,0.039118,0.555556,0,0,0,4,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G024_01,23,,Wie erteilt man Outlook-Zugriff fuer Stellvertreter laut Guidance?,gemma:2b,hybrid,0.0,0.0,0.0,,0.0,,2.6249,653,8,1,10,10,1,1,0.270574,0.027057,0.6,0,0,0,3,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,B
G025_01,24,,Wie erstellt man Screenshots mit Greenshot laut Anleitung?,gemma:2b,hybrid,0.0,0.0,0.0,,0.6667,,3.0281,528,39,1,10,10,1,1,0.287795,0.028779,-0.111111,0,0,0,4,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,B
G026_01,25,,Welche Abwesenheitsarten mussen Mitarbeitende im Clerk-Abwesenheitsagenten eintragen und welche Schritte sind fur die Anlage einer periodischen Serie inklusive Namen und Zeitraum notwendig?,gemma:2b,hybrid,1.0,0.9197,1.0,1,0.0,,3.078,437,31,1,10,10,8,8,0.375622,0.081426,0.6,0,0,0,5,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G027_01,26,,Wie werden im Clerk-Abwesenheitsagenten halbtagige Abwesenheiten konfiguriert und welche Optionen sollten bei einer wochentlich wiederkehrenden Teilzeitabwesenheit gesetzt werden?,gemma:2b,hybrid,0.5,0.3066,0.3333,3,0.0,,2.763,399,22,1,10,10,10,10,0.305032,0.019246,0.866667,0,0,0,3,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G028_01,27,,"Welche Einstellungen sind in Outlook erforderlich, damit sowohl neue als auch bereits bestehende Ordner automatisch fur Stellvertreter freigegeben sind?",gemma:2b,hybrid,0.0,0.0,0.0,,0.4,,3.0247,950,23,0,10,10,6,6,0.209,0.046981,0.6,0,0,0,3,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,B
G029_01,28,,"Welche Schritte sind laut PDF-Crypt-Anleitung erforderlich, um Kundenpassworter einzusehen und anschliessend ein neues Passwort zu vergeben?",gemma:2b,hybrid,1.0,1.0,1.0,1,0.0,,3.2096,922,39,0,10,10,2,2,0.264332,0.020597,0.377778,0,0,0,0,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,A
