question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001_01,Softphone Kennwort aendern,gemma:2b,hybrid,1.0,1.0,1.0,1,1.0,,5.7105,409,24,1,20,20,20,20,0.0,0.0,0.463158,0,0,0,7,C
G002_01,Softphone Anmeldedaten speichern aktivieren,gemma:2b,hybrid,1.0,1.0,1.0,1,0.8571,,2.5977,401,14,1,20,20,20,20,0.0,0.0,0.484211,0,0,0,2,C
G003_01,Softphone Erstanmeldung mit DLS PIN,gemma:2b,hybrid,1.0,1.0,1.0,1,0.8571,,2.9546,409,31,1,20,20,19,19,0.0,0.0,0.568421,0,0,0,5,C
G004_01,Softphone vollstaendig beenden,gemma:2b,hybrid,1.0,0.8963,1.0,1,0.6667,,2.5785,341,7,1,20,20,20,20,0.0,0.0,0.642105,0,0,0,2,C
G005_01,Softphone Fusion Leiste Funktionen,gemma:2b,hybrid,1.0,0.9469,1.0,1,0.6667,,3.012,438,29,1,20,20,20,20,0.0,0.0,0.684211,0,0,0,4,C
G006_01,Softphone praefiertes Endgeraet wechseln,gemma:2b,hybrid,1.0,0.824,1.0,1,0.8571,,2.6471,409,7,1,20,20,20,20,0.0,0.0,0.757895,0,0,0,5,C
G007_01,Softphone One Number Service konfigurieren,gemma:2b,hybrid,1.0,0.9416,1.0,1,0.4,,3.0355,429,28,1,20,20,20,20,0.0,0.0,0.610526,0,0,0,4,C
G008_01,Softphone Rufnummernanzeige steuern (CLIR),gemma:2b,hybrid,1.0,0.3514,0.1429,7,0.4,,2.7714,334,15,1,20,20,20,20,0.0,0.0,0.547368,0,0,0,2,C
G009_01,Softphone Rufnummer fuer CLIR deaktivieren,gemma:2b,hybrid,1.0,0.7441,1.0,1,0.4,,2.9874,421,19,1,20,20,20,20,0.0,0.0,0.705263,0,0,0,4,C
G010_01,Softphone Rufnummernanzeige fuer Kontakte anpassen,gemma:2b,hybrid,1.0,0.8711,1.0,1,0.4,,3.0055,406,29,1,20,20,20,20,0.0,0.0,0.768421,0,0,0,3,C
G011_01,Softphone Konferenz planen,gemma:2b,hybrid,1.0,0.3869,0.2,5,0.6667,,3.0069,417,27,1,20,20,19,19,0.0,0.0,0.536842,0,0,0,7,C
G012_01,HP Drucker Papierstau beheben,gemma:2b,hybrid,1.0,1.0,1.0,1,0.6667,,2.6755,415,10,1,20,20,20,20,0.0,0.0,0.821053,0,0,1,3,C
G013_01,HP Drucker Duplexmodul verwenden,gemma:2b,hybrid,0.6667,0.5307,0.5,2,0.4,,2.5901,372,8,1,20,20,15,15,0.0,0.0,0.663158,0,0,0,3,C
G014_01,HP Drucker Patronen reinigen,gemma:2b,hybrid,1.0,0.8278,1.0,1,0.4,,2.8882,370,22,1,20,20,18,18,0.0,0.0,0.663158,0,0,0,4,C
G015_01,Abwesenheitsagent in Clerk anlegen,gemma:2b,hybrid,1.0,1.0,1.0,1,0.6667,,2.7501,963,4,1,20,20,8,8,0.0,0.0,0.873684,0,0,0,1,C
G016_01,Outlook Ordner fuer Stellvertreter freigeben,gemma:2b,hybrid,1.0,1.0,1.0,1,0.4,,2.8782,820,25,1,20,20,14,14,0.0,0.0,0.673684,0,0,0,3,C
G017_01,Raeume oder Ressourcen buchen,gemma:2b,hybrid,1.0,1.0,1.0,1,0.6667,,2.9959,475,42,1,20,20,20,20,0.0,0.0,0.863158,0,0,0,2,C
