question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001,Softphone Kennwort aendern,llama3:8b,hybrid,1.0,1.0,1.0,1,0.5714,,4.0074,414,37,1,20,20,20,20,0.0,0.0,0.463158,1,0,0,2,C
G002,Softphone Anmeldedaten speichern aktivieren,llama3:8b,hybrid,1.0,1.0,1.0,1,1.0,,3.9536,401,30,1,20,20,20,20,0.0,0.0,0.484211,1,0,0,2,C
G003,Softphone Erstanmeldung mit DLS PIN,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,,4.0389,414,38,1,20,20,19,19,0.0,0.0,0.568421,1,0,0,2,C
G004,Softphone vollstaendig beenden,llama3:8b,hybrid,1.0,0.8963,1.0,1,0.8571,,3.8725,341,39,1,20,20,20,20,0.0,0.0,0.642105,1,0,0,1,C
G005,Softphone Fusion Leiste Funktionen,llama3:8b,hybrid,1.0,0.9469,1.0,1,0.8571,,3.9321,438,33,1,20,20,20,20,0.0,0.0,0.684211,1,0,0,2,C
G006,Softphone praefiertes Endgeraet wechseln,llama3:8b,hybrid,1.0,0.824,1.0,1,0.8571,,4.0504,418,35,1,20,20,20,20,0.0,0.0,0.757895,0,0,1,2,C
G007,Softphone One Number Service konfigurieren,llama3:8b,hybrid,1.0,0.9416,1.0,1,0.0,,4.0532,429,30,1,20,20,20,20,0.0,0.0,0.610526,1,0,0,2,C
G008,Softphone Rufnummernanzeige steuern (CLIR),llama3:8b,hybrid,1.0,0.3514,0.1429,7,0.0,,3.9472,334,36,1,20,20,20,20,0.0,0.0,0.547368,1,0,0,2,C
G009,Softphone Rufnummer fuer CLIR deaktivieren,llama3:8b,hybrid,1.0,0.7441,1.0,1,0.6667,,4.0391,423,33,1,20,20,20,20,0.0,0.0,0.705263,1,0,0,1,C
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,llama3:8b,hybrid,1.0,0.8711,1.0,1,0.6667,,4.0315,400,25,1,20,20,20,20,0.0,0.0,0.768421,1,0,0,2,C
G011,Softphone Konferenz planen,llama3:8b,hybrid,1.0,0.3869,0.2,5,0.6667,,4.0406,417,35,1,20,20,19,19,0.0,0.0,0.536842,1,0,0,2,C
G012,HP Drucker Papierstau beheben,llama3:8b,hybrid,1.0,1.0,1.0,1,1.0,,4.0319,415,30,1,20,20,20,20,0.0,0.0,0.821053,1,0,0,2,C
G013,HP Drucker Duplexmodul verwenden,llama3:8b,hybrid,0.6667,0.5307,0.5,2,0.6667,,3.9671,372,34,1,20,20,15,15,0.0,0.0,0.663158,0,0,1,3,C
G014,HP Drucker Patronen reinigen,llama3:8b,hybrid,1.0,0.8278,1.0,1,0.0,,4.0,370,28,1,20,20,18,18,0.0,0.0,0.663158,0,0,0,2,C
G015,Abwesenheitsagent in Clerk anlegen,llama3:8b,hybrid,1.0,1.0,1.0,1,0.6667,,4.5806,963,33,1,20,20,8,8,0.0,0.0,0.873684,1,0,0,1,C
G016,Outlook Ordner fuer Stellvertreter freigeben,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,,4.4093,820,34,1,20,20,14,14,0.0,0.0,0.673684,1,0,0,1,C
G017,Raeume oder Ressourcen buchen,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,,4.0927,475,36,1,20,20,20,20,0.0,0.0,0.863158,1,0,0,2,C
G018,Wie konfiguriere ich die Proxy-Einstellungen fuer agree21Internet manuell?,llama3:8b,hybrid,1.0,0.6309,0.5,2,0.6667,,4.2116,564,26,1,20,20,20,20,0.0,0.0,0.789474,1,0,0,2,C
G019,Welche Aufgaben uebernimmt das Atruvia Secure Webgateway laut Funktionsbeschreibung?,llama3:8b,hybrid,1.0,0.5,0.3333,3,0.4,,4.032,436,32,1,20,20,20,20,0.0,0.0,0.863158,1,0,0,1,C
G020,Welche Ports empfiehlt die LDAP-Anleitung fuer StartTLS und LDAPS?,llama3:8b,hybrid,1.0,1.0,1.0,1,0.0,,4.0889,536,32,1,20,20,5,5,0.0,0.0,0.368421,1,0,0,2,C
G021,Welche Forms-Regeln gelten laut Spielregeln M365?,llama3:8b,hybrid,1.0,0.5,0.3333,3,0.8571,,3.8937,311,27,1,20,20,17,17,0.0,0.0,0.8,1,0,1,3,C
G022,Wie legt man Postfachregeln laut Anleitung in Outlook Online an?,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,,4.3275,766,33,1,20,20,15,15,0.0,0.0,0.842105,1,0,0,2,C
G023,Wie aktiviert man Senden-von in Outlook laut Anleitung?,llama3:8b,hybrid,1.0,1.0,1.0,1,0.6667,,4.3234,771,40,1,20,20,6,6,0.0,0.0,0.652632,1,0,0,2,C
G024,Wie erteilt man Outlook-Zugriff fuer Stellvertreter laut Guidance?,llama3:8b,hybrid,0.0,0.0,0.0,,0.6667,,4.3013,769,29,1,20,20,15,15,0.0,0.0,0.736842,1,0,0,1,B
G025,Wie erstellt man Screenshots mit Greenshot laut Anleitung?,llama3:8b,hybrid,0.0,0.0,0.0,,0.6667,,4.3696,742,35,1,20,20,14,14,0.0,0.0,0.378947,1,0,0,1,B
G026,Welche Abwesenheitsarten mussen Mitarbeitende im Clerk-Abwesenheitsagenten eintragen und welche Schritte sind fur die Anlage einer periodischen Serie inklusive Namen und Zeitraum notwendig?,llama3:8b,hybrid,0.5,0.3869,0.5,2,0.4,,4.3707,797,28,1,20,20,19,19,0.0,0.0,0.705263,1,0,0,1,C
G027,Wie werden im Clerk-Abwesenheitsagenten halbtagige Abwesenheiten konfiguriert und welche Optionen sollten bei einer wochentlich wiederkehrenden Teilzeitabwesenheit gesetzt werden?,llama3:8b,hybrid,0.5,0.3869,0.5,2,0.6667,,4.6348,978,31,1,20,20,18,18,0.0,0.0,0.694737,1,0,0,2,C
