question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001,Softphone Kennwort aendern,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.5714,"90, self-service, tage",5.5597,747,22,1,10,10,4,4,0.267266,0.026723,0.111111,0,0,0,2,C
G002,Softphone Anmeldedaten speichern aktivieren,mistral:instruct,hybrid,1.0,1.0,1.0,1,1.0,,3.8411,578,21,1,10,10,8,8,0.275001,0.054234,0.733333,0,0,0,2,C
G003,Softphone Erstanmeldung mit DLS PIN,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.8571,erstmalig,3.9448,545,26,1,10,10,4,4,0.204547,-0.002431,0.777778,1,0,0,2,C
G004,Softphone vollstaendig beenden,mistral:instruct,hybrid,1.0,0.9675,1.0,1,0.0,taskleiste,3.0254,293,11,1,10,10,9,9,0.214649,-0.013169,0.555556,0,0,0,2,C
G005,Softphone Fusion Leiste Funktionen,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.0,fusion,3.7058,352,25,0,10,10,10,10,0.182612,-0.034291,0.777778,0,0,0,3,A
G006,Softphone praefiertes Endgeraet wechseln,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.8571,fusion,3.6824,299,24,0,10,10,10,10,0.284962,0.037883,0.377778,1,0,0,2,A
G007,Softphone One Number Service konfigurieren,mistral:instruct,hybrid,0.8,0.8688,1.0,1,1.0,,4.0707,770,24,1,10,10,6,6,0.274662,0.007102,0.466667,1,0,1,5,C
G008,Softphone Rufnummernanzeige steuern (CLIR),mistral:instruct,hybrid,1.0,1.0,1.0,1,0.0,clir,3.8159,399,23,1,10,10,4,4,0.374663,0.000671,0.6,1,0,0,2,C
G009,Softphone Rufnummer fuer CLIR deaktivieren,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.8571,auswaehlen,4.2616,696,24,1,10,10,8,8,0.266904,0.056591,0.555556,1,0,1,3,C
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,mistral:instruct,hybrid,1.0,0.9675,1.0,1,0.0,kontakte,3.6607,253,26,1,10,10,10,10,0.328919,-0.002899,0.288889,0,0,1,3,C
G011,Softphone Konferenz planen,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.8571,teilnehmer,3.7865,418,19,1,10,10,7,7,0.312183,0.010459,0.555556,1,0,0,4,C
G012,HP Drucker Papierstau beheben,mistral:instruct,hybrid,1.0,1.0,1.0,1,1.0,,3.8001,404,22,1,10,10,10,10,0.285016,0.009581,0.466667,1,1,0,2,OK
G013,HP Drucker Duplexmodul verwenden,mistral:instruct,hybrid,0.6667,0.7654,1.0,1,0.6667,"beidseitig, modul",3.8236,365,30,1,10,10,7,7,0.295864,0.014113,0.2,1,0,0,2,C
G014,HP Drucker Patronen reinigen,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.6667,"kontakte, reinigen",3.8047,387,27,1,10,10,8,8,0.33478,0.030281,0.822222,1,0,0,2,C
G015,Abwesenheitsagent in Clerk anlegen,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.6667,"abwesenheit, periodisch",3.99,923,26,1,10,10,4,4,0.191824,-0.051857,0.6,0,0,1,3,C
G016,Outlook Ordner fuer Stellvertreter freigeben,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.0,stellvertreter,3.8479,381,26,1,10,10,9,9,0.177852,-0.043847,0.644444,0,0,0,3,C
G017,Raeume oder Ressourcen buchen,mistral:instruct,hybrid,1.0,0.6309,0.5,2,0.8571,outlook,4.0892,594,22,1,10,10,0,0,0.229445,0.056502,0.644444,0,0,0,2,C
G018,Wie konfiguriere ich die Proxy-Einstellungen fuer agree21Internet manuell?,mistral:instruct,hybrid,1.0,1.0,1.0,1,1.0,,4.297,722,18,1,10,10,10,10,0.308135,0.031027,0.511111,0,0,0,3,C
G019,Welche Aufgaben uebernimmt das Atruvia Secure Webgateway laut Funktionsbeschreibung?,mistral:instruct,hybrid,1.0,0.5,0.3333,3,0.6667,"malware, proxy",3.9433,457,22,1,10,10,10,10,0.203205,0.179326,0.288889,1,0,0,1,C
G020,Welche Ports empfiehlt die LDAP-Anleitung fuer StartTLS und LDAPS?,mistral:instruct,hybrid,1.0,0.6309,0.5,2,0.8571,389,3.6957,386,23,1,10,10,3,3,0.327413,0.028322,0.511111,0,0,1,3,C
G021,Welche Forms-Regeln gelten laut Spielregeln M365?,mistral:instruct,hybrid,0.0,0.0,0.0,46,0.4,"auswertung, betriebsrat, mitarbeiter",4.127,782,24,0,10,10,3,3,3.263884,3.233291,-0.288889,0,0,0,4,A
G022,Wie legt man Postfachregeln laut Anleitung in Outlook Online an?,mistral:instruct,hybrid,1.0,0.6934,0.5,2,0.8571,regeln,3.8509,461,19,1,10,10,8,8,0.278378,0.036494,0.466667,0,0,0,4,C
G023,Wie aktiviert man Senden-von in Outlook laut Anleitung?,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.6667,"office.com, webclient",3.7858,713,16,1,10,10,3,3,0.219779,0.038805,0.511111,1,0,0,1,C
G024,Wie erteilt man Outlook-Zugriff fuer Stellvertreter laut Guidance?,mistral:instruct,hybrid,0.0,0.0,0.0,,0.6667,"freigabe, hinzufuegen",3.9275,529,23,0,10,10,7,7,0.2702,0.02702,0.2,1,0,0,1,B
G025,Wie erstellt man Screenshots mit Greenshot laut Anleitung?,mistral:instruct,hybrid,0.0,0.0,0.0,,0.0,greenshot,4.044,536,27,1,10,10,9,9,0.287755,0.028775,0.2,0,0,0,2,B
