question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001,Softphone Kennwort aendern,llama3:8b,hybrid,0.5,0.6367,1.0,1,0.8889,,6.3346,834,72,1,12,12,4,4,0.204386,0.013017,0.606061,1,0,0,4,C
G001,Softphone Kennwort aendern,gemma:2b,hybrid,0.5,0.6367,1.0,1,0.5714,,4.2471,834,8,1,12,12,4,4,0.204386,0.013017,0.606061,0,0,0,2,C
G001,Softphone Kennwort aendern,phi3:latest,hybrid,0.5,0.6367,1.0,1,1.0,,5.5242,834,40,0,12,12,4,4,0.204386,0.013017,0.606061,1,1,1,5,A
G002,Softphone Anmeldedaten speichern aktivieren,llama3:8b,hybrid,0.5,0.6131,1.0,1,1.0,,5.9673,737,69,1,12,12,5,5,0.210966,0.032022,0.545455,1,0,0,4,C
G002,Softphone Anmeldedaten speichern aktivieren,gemma:2b,hybrid,0.5,0.6131,1.0,1,0.8571,,2.7801,737,16,1,12,12,5,5,0.210966,0.032022,0.545455,0,0,1,4,C
G002,Softphone Anmeldedaten speichern aktivieren,phi3:latest,hybrid,0.5,0.6131,1.0,1,1.0,,3.6147,737,28,0,12,12,5,5,0.210966,0.032022,0.545455,1,0,1,4,A
G003,Softphone Erstanmeldung mit DLS PIN,llama3:8b,hybrid,0.5,0.6131,1.0,1,1.0,,6.1591,654,81,1,12,12,6,6,0.156526,-0.010961,0.575758,1,0,0,4,C
G003,Softphone Erstanmeldung mit DLS PIN,gemma:2b,hybrid,0.5,0.6131,1.0,1,0.8571,,3.3171,654,59,1,12,12,6,6,0.156526,-0.010961,0.575758,0,0,0,4,C
G003,Softphone Erstanmeldung mit DLS PIN,phi3:latest,hybrid,0.5,0.6131,1.0,1,1.0,,4.564,654,59,0,12,12,6,6,0.156526,-0.010961,0.575758,0,0,0,6,A
G004,Softphone vollstaendig beenden,llama3:8b,hybrid,0.5,0.6131,1.0,1,1.0,,5.7373,293,84,1,12,12,7,7,0.162732,-0.019078,0.757576,1,0,0,4,C
G004,Softphone vollstaendig beenden,gemma:2b,hybrid,0.5,0.6131,1.0,1,0.8571,,2.8868,293,28,1,12,12,7,7,0.162732,-0.019078,0.757576,0,0,0,7,C
G004,Softphone vollstaendig beenden,phi3:latest,hybrid,0.5,0.6131,1.0,1,1.0,,4.1924,293,74,0,12,12,7,7,0.162732,-0.019078,0.757576,1,0,0,4,A
G005,Softphone Fusion Leiste Funktionen,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,5.2796,326,60,1,12,12,7,7,0.139247,0.003211,0.575758,1,0,1,4,B
G005,Softphone Fusion Leiste Funktionen,gemma:2b,hybrid,0.0,0.0,0.0,,0.6667,,3.3274,326,57,1,12,12,7,7,0.139247,0.003211,0.575758,0,0,0,6,B
G005,Softphone Fusion Leiste Funktionen,phi3:latest,hybrid,0.0,0.0,0.0,,1.0,,4.2011,326,65,1,12,12,7,7,0.139247,0.003211,0.575758,1,0,1,4,B
G006,Softphone praefiertes Endgeraet wechseln,llama3:8b,hybrid,0.0,0.0,0.0,,0.8571,,5.8316,299,75,1,12,12,7,7,0.228411,0.042125,0.666667,0,1,0,4,B
G006,Softphone praefiertes Endgeraet wechseln,gemma:2b,hybrid,0.0,0.0,0.0,,0.8571,,2.5665,299,4,0,12,12,7,7,0.228411,0.042125,0.666667,0,0,0,4,B
G006,Softphone praefiertes Endgeraet wechseln,phi3:latest,hybrid,0.0,0.0,0.0,,1.0,,4.1331,299,51,1,12,12,7,7,0.228411,0.042125,0.666667,0,0,1,5,B
G007,Softphone One Number Service konfigurieren,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,6.3878,928,87,0,12,12,3,3,0.250546,0.038217,0.666667,1,0,1,4,B
G007,Softphone One Number Service konfigurieren,gemma:2b,hybrid,0.0,0.0,0.0,,0.0,,3.0582,928,40,1,12,12,3,3,0.250546,0.038217,0.666667,0,0,0,2,B
G007,Softphone One Number Service konfigurieren,phi3:latest,hybrid,0.0,0.0,0.0,,0.0,,3.4227,928,18,0,12,12,3,3,0.250546,0.038217,0.666667,1,0,1,4,B
G008,Softphone Rufnummernanzeige steuern (CLIR),llama3:8b,hybrid,0.0,0.0,0.0,,0.0,,5.844,374,73,1,12,12,3,3,0.345066,-0.008291,0.69697,1,0,0,4,B
G008,Softphone Rufnummernanzeige steuern (CLIR),gemma:2b,hybrid,0.0,0.0,0.0,,0.6667,,2.723,374,16,1,12,12,3,3,0.345066,-0.008291,0.69697,0,0,0,2,B
G008,Softphone Rufnummernanzeige steuern (CLIR),phi3:latest,hybrid,0.0,0.0,0.0,,0.0,,4.4083,374,55,1,12,12,3,3,0.345066,-0.008291,0.69697,0,0,1,7,B
G009,Softphone Rufnummer fuer CLIR deaktivieren,llama3:8b,hybrid,0.0,0.0,0.0,,0.0,,5.9891,434,76,1,12,12,6,6,0.201145,0.03875,0.848485,1,0,0,4,B
G009,Softphone Rufnummer fuer CLIR deaktivieren,gemma:2b,hybrid,0.0,0.0,0.0,,0.0,,2.8198,434,20,1,12,12,6,6,0.201145,0.03875,0.848485,0,0,1,4,B
G009,Softphone Rufnummer fuer CLIR deaktivieren,phi3:latest,hybrid,0.0,0.0,0.0,,0.0,,4.4522,434,60,1,12,12,6,6,0.201145,0.03875,0.848485,1,0,0,4,B
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,llama3:8b,hybrid,0.3333,0.2346,0.3333,3,0.8571,,5.9031,348,74,1,12,12,8,8,0.275126,0.020075,0.818182,0,0,1,4,C
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,gemma:2b,hybrid,0.3333,0.2346,0.3333,3,0.4,,3.2832,348,44,1,12,12,8,8,0.275126,0.020075,0.818182,0,0,0,4,C
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,phi3:latest,hybrid,0.3333,0.2346,0.3333,3,0.0,,4.2892,348,56,1,12,12,8,8,0.275126,0.020075,0.818182,1,0,1,4,C
G011,Softphone Konferenz planen,llama3:8b,hybrid,0.0,0.0,0.0,,0.8571,,5.9162,407,79,1,12,12,4,4,0.261606,0.040645,0.454545,1,0,0,3,B
G011,Softphone Konferenz planen,gemma:2b,hybrid,0.0,0.0,0.0,,1.0,,2.4998,407,4,1,12,12,4,4,0.261606,0.040645,0.454545,1,0,0,4,B
G011,Softphone Konferenz planen,phi3:latest,hybrid,0.0,0.0,0.0,,1.0,,4.4171,407,71,1,12,12,4,4,0.261606,0.040645,0.454545,0,0,0,5,B
G012,HP Drucker Papierstau beheben,llama3:8b,hybrid,0.25,0.3904,1.0,1,1.0,,6.1693,649,60,1,12,12,3,3,0.218359,0.020157,0.727273,1,0,0,4,C
G012,HP Drucker Papierstau beheben,gemma:2b,hybrid,0.25,0.3904,1.0,1,0.4,,2.6978,649,11,1,12,12,3,3,0.218359,0.020157,0.727273,0,0,1,4,C
