question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001,Softphone Kennwort aendern,llama3:8b,hybrid,1.0,1.0,1.0,1,0.5714,"90, self-service, tage",4.1871,852,31,1,10,10,2,2,0.267012,0.026676,0.288889,1,0,0,2,C
G002,Softphone Anmeldedaten speichern aktivieren,llama3:8b,hybrid,1.0,1.0,1.0,1,1.0,,3.9451,458,30,1,10,10,4,4,0.274957,0.024565,0.555556,1,0,0,2,C
G003,Softphone Erstanmeldung mit DLS PIN,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,erstmalig,3.9571,413,38,1,10,10,2,2,0.204455,-0.002387,0.555556,1,0,0,2,C
G004,Softphone vollstaendig beenden,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,symbol,4.0111,416,34,1,10,10,4,4,0.214675,-0.051118,0.688889,1,0,0,2,C
G005,Softphone Fusion Leiste Funktionen,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,optionen,3.9779,366,33,1,10,10,6,6,0.182569,-0.075088,0.555556,1,0,0,2,C
G006,Softphone praefiertes Endgeraet wechseln,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,fusion,4.0278,413,33,1,10,10,10,10,0.284691,0.015672,0.422222,1,0,1,2,C
G007,Softphone One Number Service konfigurieren,llama3:8b,hybrid,0.8,0.8688,1.0,1,1.0,,4.8426,1220,34,1,10,10,6,6,0.274542,0.017079,0.511111,1,0,0,2,C
G008,Softphone Rufnummernanzeige steuern (CLIR),llama3:8b,hybrid,1.0,1.0,1.0,1,0.0,clir,3.9913,411,30,1,10,10,3,3,0.370121,0.000312,0.111111,0,0,0,2,C
G009,Softphone Rufnummer fuer CLIR deaktivieren,llama3:8b,hybrid,1.0,1.0,1.0,1,0.0,deaktivieren,3.9655,461,37,1,10,10,8,8,0.266676,-0.016741,0.2,1,0,1,2,C
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,llama3:8b,hybrid,1.0,0.9675,1.0,1,0.4,"anruf, rufnummer, uebergeben",3.9586,405,32,1,10,10,9,9,0.328789,-0.024702,0.2,1,1,0,1,OK
G011,Softphone Konferenz planen,llama3:8b,hybrid,1.0,1.0,1.0,1,0.6667,"moderator, teilnehmer",3.9789,392,36,1,10,10,7,7,0.312278,-0.012551,0.688889,1,0,0,2,C
G012,HP Drucker Papierstau beheben,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,modul,3.9499,398,28,1,10,10,10,10,0.285176,0.051313,0.555556,1,0,0,2,C
G013,HP Drucker Duplexmodul verwenden,llama3:8b,hybrid,1.0,0.9675,1.0,1,0.6667,"beidseitig, modul",4.0576,384,34,1,10,10,8,8,0.295873,0.087903,0.066667,1,0,0,2,C
G014,HP Drucker Patronen reinigen,llama3:8b,hybrid,1.0,1.0,1.0,1,0.0,patrone,4.0777,402,29,1,10,10,9,9,0.334996,-0.123134,0.288889,1,0,0,1,C
G015,Abwesenheitsagent in Clerk anlegen,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,periodisch,4.3836,879,32,1,10,10,4,4,0.19183,-0.051838,0.6,1,0,1,3,C
G016,Outlook Ordner fuer Stellvertreter freigeben,llama3:8b,hybrid,1.0,1.0,1.0,1,0.6667,"berechtigung, ordner",3.9829,408,30,1,10,10,3,3,0.177852,-0.043846,0.288889,1,0,0,2,C
G017,Raeume oder Ressourcen buchen,llama3:8b,hybrid,1.0,0.6309,0.5,2,0.8571,ressource,3.9671,364,34,1,10,5,10,5,0.229436,0.056503,0.822222,1,0,0,2,C
G018,Wie konfiguriere ich die Proxy-Einstellungen fuer agree21Internet manuell?,llama3:8b,hybrid,1.0,1.0,1.0,1,0.6667,"8080, kunden-proxy",4.1428,534,32,1,10,10,9,9,0.308178,-0.043628,0.333333,1,0,0,1,C
G019,Welche Aufgaben uebernimmt das Atruvia Secure Webgateway laut Funktionsbeschreibung?,llama3:8b,hybrid,1.0,0.5,0.3333,3,0.4,"filtern, malware, proxy",4.0063,457,34,1,10,10,10,10,0.199721,0.169974,0.288889,1,0,0,1,C
G020,Welche Ports empfiehlt die LDAP-Anleitung fuer StartTLS und LDAPS?,llama3:8b,hybrid,1.0,0.6309,0.5,2,1.0,,4.3808,947,33,0,10,10,3,3,0.324694,0.028353,0.377778,1,0,1,4,A
G021,Welche Forms-Regeln gelten laut Spielregeln M365?,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,3.9726,546,33,0,10,10,2,2,3.323676,3.317062,0.066667,1,0,1,4,B
G022,Wie legt man Postfachregeln laut Anleitung in Outlook Online an?,llama3:8b,hybrid,1.0,0.6934,0.5,2,0.8571,regeln,4.1465,636,30,1,10,10,4,4,0.278543,0.03646,0.644444,1,0,0,1,C
G023,Wie aktiviert man Senden-von in Outlook laut Anleitung?,llama3:8b,hybrid,1.0,1.0,1.0,1,0.6667,"office.com, webclient",4.2344,873,39,0,10,10,2,2,0.219968,0.038849,0.2,1,0,1,3,A
G024,Wie erteilt man Outlook-Zugriff fuer Stellvertreter laut Guidance?,llama3:8b,hybrid,0.0,0.0,0.0,,0.6667,"freigabe, hinzufuegen",4.0697,640,31,0,10,10,1,1,0.2702,0.02702,0.155556,1,0,0,1,B
G025,Wie erstellt man Screenshots mit Greenshot laut Anleitung?,llama3:8b,hybrid,0.0,0.0,0.0,,0.8571,speichern,4.4191,954,42,1,10,10,1,1,0.287755,0.028775,-0.111111,1,0,0,1,B
G026,Welche Abwesenheitsarten mussen Mitarbeitende im Clerk-Abwesenheitsagenten eintragen und welche Schritte sind fur die Anlage einer periodischen Serie inklusive Namen und Zeitraum notwendig?,llama3:8b,hybrid,1.0,0.9197,1.0,1,0.6667,"beschreibung, zeitraum",4.3422,831,25,0,10,3,10,3,0.367605,0.079639,0.733333,1,0,0,2,A
G027,Wie werden im Clerk-Abwesenheitsagenten halbtagige Abwesenheiten konfiguriert und welche Optionen sollten bei einer wochentlich wiederkehrenden Teilzeitabwesenheit gesetzt werden?,llama3:8b,hybrid,0.5,0.3066,0.3333,3,0.4,"regler, wiederholungsrhythmus, zeiten",4.5001,1017,34,0,10,4,10,4,0.284594,0.012397,0.777778,1,0,0,1,A
G028,"Welche Einstellungen sind in Outlook erforderlich, damit sowohl neue als auch bereits bestehende Ordner automatisch fur Stellvertreter freigegeben sind?",llama3:8b,hybrid,0.0,0.0,0.0,,0.8571,bestehende ordner,4.1989,569,30,1,10,10,6,6,0.205097,0.047474,0.733333,1,0,0,1,B
G029,"Welche Schritte sind laut PDF-Crypt-Anleitung erforderlich, um Kundenpassworter einzusehen und anschliessend ein neues Passwort zu vergeben?",llama3:8b,hybrid,1.0,1.0,1.0,1,1.0,,4.2608,713,34,0,10,10,2,2,0.264064,0.020901,0.288889,1,0,1,4,A
G030,"Welche Schritte verlangt die Anleitung, um Postfachregeln serverseitig uber Outlook Online einzurichten, und wie wird die Regel anschliessend aktiviert?",llama3:8b,hybrid,0.3333,0.2961,0.5,2,0.8571,aktivierung,4.2721,719,37,1,10,10,4,4,0.3301,0.001146,0.733333,1,0,0,2,C
G031,Welche Varianten zum Buchen eines Besprechungsraums beschreibt die Ressourcendokumentation und welche Schritte sind fur die Kalendergruppe notwendig?,llama3:8b,hybrid,0.0,0.0,0.0,,0.0,kalendergruppe,4.2098,627,36,1,10,6,10,6,0.420431,-0.03329,0.555556,1,0,0,2,B
G032,Welche Hinweise und Warnungen nennt das HP-Druckerhandbuch fur den Umgang mit dem Gerat und welche Leistungsmerkmale werden hervorgehoben?,llama3:8b,hybrid,0.3333,0.2961,0.5,2,0.6667,"druckqualitat, leistungsmerkmale",3.9682,399,32,1,10,10,10,10,0.310731,0.000748,0.155556,1,0,0,2,C
G033,Welche technischen Komponenten des Atruvia Secure Webgateway werden genannt und welche Filter- sowie SSL-Analysefunktionen stehen laut Dokumentation zur Verfugung?,llama3:8b,hybrid,0.3333,0.1672,0.1667,6,0.0,ssl-analyse,4.1713,582,33,1,10,10,10,10,0.287651,0.244776,0.244444,1,0,0,2,C
G034,"Welche Schritte sind laut LDAP-Anleitung notwendig, um die Vertrauensstellung zu aktivieren und das Root-Zertifikat zu installieren?",llama3:8b,hybrid,0.3333,0.2961,0.5,2,0.6667,"assistent, root-zertifikat",4.1539,683,30,1,10,10,6,6,0.349458,0.027644,0.066667,1,0,0,2,C
G035,Wie lassen sich laut Anleitung die Firefox-Lesezeichen vor dem Import nach Edge bereinigen und welche Schritte sind fur den erneuten Import erforderlich?,llama3:8b,hybrid,1.0,1.0,1.0,1,1.0,,4.2079,663,33,0,10,5,6,1,0.26348,0.026348,-0.022222,1,0,1,3,A
G036,Wie erstellt man im agree21Voice Softphone ein benutzerdefiniertes Anrufumleitungsprofil und welche Optionen fur Regeln und Prasenzstatus konnen festgelegt werden?,llama3:8b,hybrid,0.6667,0.4982,0.5,2,0.0,prasenzstatus,4.0816,455,30,1,10,10,10,10,0.304693,0.206975,0.466667,1,1,0,1,OK
G037,"Welche Voraussetzungen mussen im agree21Voice Softphone erfullt sein, damit eine einfache Anrufumleitung wirksam bleibt, und wie deaktiviert man sie wieder?",llama3:8b,hybrid,0.0,0.0,0.0,15,0.4,"fusion-leiste, praferiertes endgerat, profil",3.8858,321,28,1,10,10,10,10,0.410538,0.037957,-0.155556,0,0,0,2,C
G038,Wie erfolgt die Administration des Atruvia Secure Webgateway in SAGA und wie konnen Internetprofile kopiert und angepasst werden?,llama3:8b,hybrid,0.6667,0.6173,1.0,1,0.6667,"anpassen, klonen",4.0323,445,32,1,10,10,10,10,0.245729,0.123058,0.244444,1,0,0,2,C
G039,Welche Exportoptionen bietet Greenshot nach einer Bereichsauswahl laut Anleitung?,llama3:8b,hybrid,0.0,0.0,0.0,,0.0,zwischenablage,3.973,506,27,1,10,10,1,1,0.310135,0.031014,0.066667,0,0,0,3,B
G040,Wie wird nach der Einrichtung von LDAPS im LDAP-Handbuch die Verbindung getestet und was zeigt einen erfolgreichen Test an?,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,konfiguration,4.4164,874,38,1,10,10,6,6,0.236031,-0.016281,0.422222,1,0,0,1,C
G041,"Wie stellt man laut HP-Druckerhandbuch die Druckqualitat uber die Druckersoftware und die Druckqualitatsauswahltaste ein, und welche Qualitatsmodi stehen zur Verfugung?",llama3:8b,hybrid,1.0,1.0,1.0,1,0.6667,"optimal, taste",4.0025,370,26,1,10,10,10,10,0.396872,0.211003,0.333333,0,0,0,2,C
