question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001,Softphone Kennwort aendern,llama3:8b,dense,1.0,1.0,1.0,1,0.5714,"90, self-service, tage",4.0174,418,31,1,10,0,10,0,0.657949,0.101086,0.111111,0,0,0,2,C
G002,Softphone Anmeldedaten speichern aktivieren,llama3:8b,dense,1.0,1.0,1.0,1,0.8571,haken,3.955,391,27,1,10,0,10,0,0.660239,0.159111,0.555556,1,0,0,2,C
G003,Softphone Erstanmeldung mit DLS PIN,llama3:8b,dense,1.0,1.0,1.0,1,0.8571,erstmalig,4.0209,473,38,1,10,0,10,0,0.607329,0.080957,0.422222,1,0,0,2,C
G004,Softphone vollstaendig beenden,llama3:8b,dense,1.0,1.0,1.0,1,0.8571,symbol,4.0046,414,34,1,10,0,10,0,0.616076,0.069218,0.688889,1,0,0,2,C
G005,Softphone Fusion Leiste Funktionen,llama3:8b,dense,1.0,1.0,1.0,1,1.0,,4.0018,414,35,1,10,0,10,0,0.584184,0.133027,0.6,1,0,1,3,C
G006,Softphone praefiertes Endgeraet wechseln,llama3:8b,dense,1.0,1.0,1.0,1,0.8571,praeferiert,3.959,398,35,1,10,0,10,0,0.665273,0.328036,0.6,1,0,0,1,C
G007,Softphone One Number Service konfigurieren,llama3:8b,dense,0.8,0.8688,1.0,1,1.0,,4.3098,735,35,1,10,0,10,0,0.599981,0.223383,0.644444,1,0,0,2,C
G008,Softphone Rufnummernanzeige steuern (CLIR),llama3:8b,dense,1.0,1.0,1.0,1,0.0,clir,3.9764,384,31,1,10,0,10,0,0.665971,0.086932,0.511111,1,0,0,2,C
G009,Softphone Rufnummer fuer CLIR deaktivieren,llama3:8b,dense,1.0,1.0,1.0,1,0.0,deaktivieren,4.0453,475,33,1,10,0,10,0,0.665552,0.255283,0.244444,1,0,0,2,C
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,llama3:8b,dense,1.0,0.9675,1.0,1,0.4,"anruf, rufnummer, uebergeben",3.8755,396,33,1,10,0,10,0,0.678255,0.289195,0.2,1,1,0,1,OK
G011,Softphone Konferenz planen,llama3:8b,dense,1.0,1.0,1.0,1,0.6667,"moderator, teilnehmer",3.9636,421,31,1,10,0,10,0,0.660358,0.230135,0.377778,1,0,0,2,C
G012,HP Drucker Papierstau beheben,llama3:8b,dense,1.0,1.0,1.0,1,0.8571,modul,3.9401,391,28,1,10,0,10,0,0.660667,0.352758,0.066667,1,0,0,2,C
