question_id,sample_index,run_label,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,embedding_model,chunk_strategy,chunk_size_tokens,chunk_overlap_tokens,reranker_enabled,index_base,error_bucket
G001_01,0,,Softphone Kennwort aendern,gemma:2b,hybrid,1.0,1.0,1.0,1,1.0,,2.813,403,25,1,20,20,18,18,0.0,0.0,0.452632,0,0,0,6,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G002_01,1,,Softphone Anmeldedaten speichern aktivieren,gemma:2b,hybrid,1.0,1.0,1.0,1,0.8571,,2.641,401,14,1,20,20,20,20,0.0,0.0,0.484211,0,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G003_01,2,,Softphone Erstanmeldung mit DLS PIN,gemma:2b,hybrid,1.0,1.0,1.0,1,0.8571,,2.9919,412,28,1,20,20,19,19,0.0,0.0,0.557895,0,0,1,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G004_01,3,,Softphone vollstaendig beenden,gemma:2b,hybrid,1.0,0.8963,1.0,1,0.6667,,2.6146,333,9,1,20,20,19,19,0.0,0.0,0.642105,0,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G005_01,4,,Softphone Fusion Leiste Funktionen,gemma:2b,hybrid,1.0,0.9469,1.0,1,0.6667,,3.0139,438,29,1,20,20,18,18,0.0,0.0,0.684211,0,0,0,4,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G006_01,5,,Softphone praefiertes Endgeraet wechseln,gemma:2b,hybrid,1.0,0.824,1.0,1,0.6667,,2.9787,418,34,1,20,20,20,20,0.0,0.0,0.747368,0,0,0,4,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G007_01,6,,Softphone One Number Service konfigurieren,gemma:2b,hybrid,1.0,0.9416,1.0,1,0.4,,3.0063,429,28,1,20,20,20,20,0.0,0.0,0.610526,0,0,0,4,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G008_01,7,,Softphone Rufnummernanzeige steuern (CLIR),gemma:2b,hybrid,1.0,0.3514,0.1429,7,0.4,,2.9934,326,28,1,20,20,20,20,0.0,0.0,0.547368,0,0,0,8,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G009_01,8,,Softphone Rufnummer fuer CLIR deaktivieren,gemma:2b,hybrid,1.0,0.7441,1.0,1,0.6667,,2.9523,423,34,1,20,20,20,20,0.0,0.0,0.705263,0,0,0,4,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G010_01,9,,Softphone Rufnummernanzeige fuer Kontakte anpassen,gemma:2b,hybrid,1.0,0.8711,1.0,1,0.4,,2.9559,400,25,1,20,20,20,20,0.0,0.0,0.768421,0,0,0,3,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G011_01,10,,Softphone Konferenz planen,gemma:2b,hybrid,1.0,0.3869,0.2,5,0.6667,,2.9632,417,27,1,20,20,18,18,0.0,0.0,0.536842,0,0,0,7,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G012_01,11,,HP Drucker Papierstau beheben,gemma:2b,hybrid,1.0,1.0,1.0,1,0.6667,,2.6587,415,10,1,20,20,20,20,0.0,0.0,0.821053,0,0,1,3,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G013_01,12,,HP Drucker Duplexmodul verwenden,gemma:2b,hybrid,0.6667,0.5307,0.5,2,0.4,,2.6052,372,8,0,20,20,13,13,0.0,0.0,0.663158,0,0,0,3,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,A
G014_01,13,,HP Drucker Patronen reinigen,gemma:2b,hybrid,1.0,0.8278,1.0,1,0.6667,,2.845,370,27,0,20,20,16,16,0.0,0.0,0.663158,0,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,A
G015_01,14,,Abwesenheitsagent in Clerk anlegen,gemma:2b,hybrid,1.0,1.0,1.0,1,0.6667,,2.6616,1021,4,1,20,20,8,8,0.0,0.0,0.8,0,0,0,1,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G016_01,15,,Outlook Ordner fuer Stellvertreter freigeben,gemma:2b,hybrid,1.0,1.0,1.0,1,0.4,,2.8874,820,25,1,20,20,12,12,0.0,0.0,0.673684,0,0,0,3,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G017_01,16,,Raeume oder Ressourcen buchen,gemma:2b,hybrid,1.0,1.0,1.0,1,0.6667,,3.0381,475,42,1,20,20,19,19,0.0,0.0,0.863158,0,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
