question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct
G001,Softphone Kennwort aendern,mistral:instruct,dense,1.0,1.0,1.0,1,0.5714,"90, self-service, tage",3.7766,391,30,1
G002,Softphone Anmeldedaten speichern aktivieren,mistral:instruct,dense,1.0,1.0,1.0,1,1.0,,3.801,390,26,1
G003,Softphone Erstanmeldung mit DLS PIN,mistral:instruct,dense,1.0,1.0,1.0,1,0.8571,erstmalig,3.9766,511,30,1
G004,Softphone vollstaendig beenden,mistral:instruct,dense,0.6667,0.7654,1.0,1,0.0,taskleiste,3.8147,369,30,1
G005,Softphone Fusion Leiste Funktionen,mistral:instruct,dense,1.0,1.0,1.0,1,0.0,favoriten,3.7993,313,26,0
G006,Softphone praefiertes Endgeraet wechseln,mistral:instruct,dense,1.0,1.0,1.0,1,0.0,endgeraet,3.8065,357,31,1
G007,Softphone One Number Service konfigurieren,mistral:instruct,dense,0.8,0.8688,1.0,1,1.0,,3.6723,235,27,1
G008,Softphone Rufnummernanzeige steuern (CLIR),mistral:instruct,dense,0.5,0.6131,1.0,1,0.0,rufnummer,2.7939,350,6,0
G009,Softphone Rufnummer fuer CLIR deaktivieren,mistral:instruct,dense,1.0,1.0,1.0,1,0.6667,"auswaehlen, geraet",3.9152,432,26,1
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,mistral:instruct,dense,1.0,0.9675,1.0,1,0.0,kontakte,3.7719,362,26,1
G011,Softphone Konferenz planen,mistral:instruct,dense,1.0,0.6309,0.5,2,0.0,moderator,3.7803,366,28,1
G012,HP Drucker Papierstau beheben,mistral:instruct,dense,1.0,1.0,1.0,1,0.8571,modul,3.8286,348,26,1
G013,HP Drucker Duplexmodul verwenden,mistral:instruct,dense,1.0,1.0,1.0,1,0.0,duplex,3.8035,335,23,1
G014,HP Drucker Patronen reinigen,mistral:instruct,dense,0.6667,0.7654,1.0,1,0.6667,"drucker, kontakte",3.8281,379,29,0
G015,Abwesenheitsagent in Clerk anlegen,mistral:instruct,dense,0.3333,0.4693,1.0,1,0.6667,"abwesenheit, periodisch",4.262,707,24,1
G016,Outlook Ordner fuer Stellvertreter freigeben,mistral:instruct,dense,1.0,1.0,1.0,1,1.0,,3.7842,421,28,0
G017,Raeume oder Ressourcen buchen,mistral:instruct,dense,0.0,0.0,0.0,,0.0,raum,4.0038,678,21,0
G018,Wie konfiguriere ich die Proxy-Einstellungen fuer agree21Internet manuell?,mistral:instruct,dense,1.0,1.0,1.0,1,0.0,webgateway,4.1138,496,23,1
G019,Welche Aufgaben uebernimmt das Atruvia Secure Webgateway laut Funktionsbeschreibung?,mistral:instruct,dense,1.0,0.4307,0.25,4,0.4,"filtern, malware, proxy",3.8273,337,25,1
G020,Welche Ports empfiehlt die LDAP-Anleitung fuer StartTLS und LDAPS?,mistral:instruct,dense,1.0,0.6309,0.5,2,0.8571,389,3.671,404,23,1
G021,Welche Forms-Regeln gelten laut Spielregeln M365?,mistral:instruct,dense,0.0,0.0,0.0,,0.0,betriebsrat,3.676,423,27,0
G022,Wie legt man Postfachregeln laut Anleitung in Outlook Online an?,mistral:instruct,dense,1.0,0.6934,0.5,2,0.0,"postfach, regeln",3.9515,509,33,1
G023,Wie aktiviert man Senden-von in Outlook laut Anleitung?,mistral:instruct,dense,1.0,1.0,1.0,1,0.8571,webclient,4.0333,764,34,0
