question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001,Softphone Kennwort aendern,mistral:instruct,dense,1.0,1.0,1.0,1,0.75,"self-service, tage",3.8837,421,23,1,10,0,10,0,0.658372,0.10117,0.511111,1,0,0,3,C
G002,Softphone Anmeldedaten speichern aktivieren,mistral:instruct,dense,1.0,1.0,1.0,1,1.0,,3.9062,445,18,1,10,0,10,0,0.661006,0.159478,0.688889,0,0,0,5,C
G003,Softphone Erstanmeldung mit DLS PIN,mistral:instruct,dense,1.0,1.0,1.0,1,0.8571,erstmalig,3.9615,470,27,1,10,0,10,0,0.607421,0.080983,0.511111,0,0,0,3,C
G004,Softphone vollstaendig beenden,mistral:instruct,dense,1.0,1.0,1.0,1,1.0,,3.8765,421,26,1,10,0,10,0,0.615518,0.068946,0.644444,0,0,0,2,C
G005,Softphone Fusion Leiste Funktionen,mistral:instruct,dense,1.0,1.0,1.0,1,0.4,"favoriten, optionen, softphone",3.8882,409,22,1,10,0,10,0,0.584418,0.1332,0.6,0,0,0,2,C
G006,Softphone praefiertes Endgeraet wechseln,mistral:instruct,dense,1.0,1.0,1.0,1,0.4,"fusion, praeferiert, softphone",3.9148,401,23,1,10,0,10,0,0.665045,0.348451,0.688889,0,0,0,2,C
G007,Softphone One Number Service konfigurieren,mistral:instruct,dense,0.8,0.8688,1.0,1,1.0,,4.3392,847,25,0,10,0,10,0,0.600127,0.21004,0.777778,1,0,1,4,A
G008,Softphone Rufnummernanzeige steuern (CLIR),mistral:instruct,dense,1.0,1.0,1.0,1,0.0,clir,3.8945,411,23,1,10,0,10,0,0.666128,0.086995,0.644444,1,0,0,2,C
G009,Softphone Rufnummer fuer CLIR deaktivieren,mistral:instruct,dense,1.0,1.0,1.0,1,1.0,,3.9377,461,22,0,10,0,10,0,0.667259,0.262293,0.422222,0,0,1,5,A
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,mistral:instruct,dense,1.0,0.9675,1.0,1,0.0,kontakte,3.8984,405,30,1,10,0,10,0,0.67839,0.29948,0.422222,1,0,0,1,C
G011,Softphone Konferenz planen,mistral:instruct,dense,1.0,1.0,1.0,1,0.8571,softphone,3.8367,399,20,0,10,0,10,0,0.660815,0.230462,0.333333,0,0,0,3,A
G012,HP Drucker Papierstau beheben,mistral:instruct,dense,1.0,1.0,1.0,1,0.6667,"drucker, modul",3.8676,391,21,1,10,0,10,0,0.659919,0.352023,0.066667,1,0,0,2,C
G013,HP Drucker Duplexmodul verwenden,mistral:instruct,dense,1.0,1.0,1.0,1,0.6667,"beidseitig, modul",3.8561,378,29,1,10,0,10,0,0.665084,0.347453,0.422222,1,0,0,2,C
