question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct
G001,Softphone Kennwort aendern,mistral:instruct,dense,0.0,0.0,0.0,,0.5714,"90, self-service, tage",3.7281,346,25,0
G002,Softphone Anmeldedaten speichern aktivieren,mistral:instruct,dense,1.0,1.0,1.0,1,1.0,,3.8037,358,26,1
G003,Softphone Erstanmeldung mit DLS PIN,mistral:instruct,dense,0.0,0.0,0.0,,0.8571,erstmalig,4.1326,888,27,0
G004,Softphone vollstaendig beenden,mistral:instruct,dense,0.0,0.0,0.0,,0.0,taskleiste,2.7541,401,3,0
G005,Softphone Fusion Leiste Funktionen,mistral:instruct,dense,0.0,0.0,0.0,14,0.0,favoriten,3.8402,360,23,1
G006,Softphone praefiertes Endgeraet wechseln,mistral:instruct,dense,0.0,0.0,0.0,51,0.0,"endgeraet, fusion",3.7703,286,27,1
G007,Softphone One Number Service konfigurieren,mistral:instruct,dense,0.6,0.7227,1.0,1,1.0,,2.8641,435,6,1
G008,Softphone Rufnummernanzeige steuern (CLIR),mistral:instruct,dense,0.0,0.0,0.0,,0.0,rufnummer,3.7829,408,22,0
G009,Softphone Rufnummer fuer CLIR deaktivieren,mistral:instruct,dense,0.3333,0.4693,1.0,1,0.6667,"auswaehlen, geraet",3.8364,361,29,1
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,mistral:instruct,dense,0.0,0.0,0.0,59,0.0,rufnummer,3.9106,399,25,0
G011,Softphone Konferenz planen,mistral:instruct,dense,1.0,1.0,1.0,1,0.0,moderator,3.773,370,27,1
G012,HP Drucker Papierstau beheben,mistral:instruct,dense,1.0,1.0,1.0,1,0.8571,modul,3.843,352,26,1
G013,HP Drucker Duplexmodul verwenden,mistral:instruct,dense,0.6667,0.7654,1.0,1,0.0,duplex,3.8522,339,29,1
G014,HP Drucker Patronen reinigen,mistral:instruct,dense,0.6667,0.7654,1.0,1,0.0,reinigen,3.7175,263,29,0
G015,Abwesenheitsagent in Clerk anlegen,mistral:instruct,dense,0.3333,0.4693,1.0,1,0.6667,"abwesenheit, periodisch",4.1429,613,25,0
G016,Outlook Ordner fuer Stellvertreter freigeben,mistral:instruct,dense,0.0,0.0,0.0,,1.0,,3.7741,387,22,0
G017,Raeume oder Ressourcen buchen,mistral:instruct,dense,0.0,0.0,0.0,,0.8571,ressource,4.5854,1155,29,0
G018,Wie konfiguriere ich die Proxy-Einstellungen fuer agree21Internet manuell?,mistral:instruct,dense,0.0,0.0,0.0,70,0.0,webgateway,3.9276,453,26,1
G019,Welche Aufgaben uebernimmt das Atruvia Secure Webgateway laut Funktionsbeschreibung?,mistral:instruct,dense,0.0,0.0,0.0,70,0.4,"filtern, malware, proxy",3.884,368,28,0
G020,Welche Ports empfiehlt die LDAP-Anleitung fuer StartTLS und LDAPS?,mistral:instruct,dense,0.0,0.0,0.0,,1.0,,3.4858,398,17,0
