question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001,Softphone Kennwort aendern,llama3:8b,hybrid,0.5,0.6367,1.0,1,0.8889,,6.402,954,71,1,20,20,2,2,0.274181,0.013086,-0.042105,1,0,0,4,C
G002,Softphone Anmeldedaten speichern aktivieren,llama3:8b,hybrid,0.5,0.6131,1.0,1,1.0,,6.4585,1118,69,0,20,20,3,3,0.288813,0.022892,0.357895,1,0,1,4,A
G003,Softphone Erstanmeldung mit DLS PIN,llama3:8b,hybrid,0.5,0.6131,1.0,1,0.8571,,6.7219,982,85,1,20,20,2,2,0.166132,0.004305,0.221053,1,0,0,3,C
G004,Softphone vollstaendig beenden,llama3:8b,hybrid,0.5,0.6131,1.0,1,1.0,,6.2271,512,75,1,20,20,2,2,0.164932,-0.000865,0.252632,1,0,0,4,C
G005,Softphone Fusion Leiste Funktionen,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,5.877,387,73,1,20,20,3,3,0.129783,0.00108,0.242105,1,1,0,4,B
G006,Softphone praefiertes Endgeraet wechseln,llama3:8b,hybrid,0.0,0.0,0.0,,0.8571,,6.0016,439,72,1,20,20,4,4,0.241724,0.024613,0.473684,0,0,1,4,B
G007,Softphone One Number Service konfigurieren,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,6.7503,1136,71,1,20,20,4,4,0.253191,0.016366,0.452632,1,0,0,4,B
G008,Softphone Rufnummernanzeige steuern (CLIR),llama3:8b,hybrid,0.0,0.0,0.0,,0.0,,6.0081,471,74,1,20,20,2,2,0.26307,0.000341,0.147368,1,0,0,3,B
G009,Softphone Rufnummer fuer CLIR deaktivieren,llama3:8b,hybrid,0.0,0.0,0.0,,0.0,,6.0245,409,80,1,20,20,4,4,0.224127,0.016898,0.652632,0,0,0,4,B
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,llama3:8b,hybrid,0.3333,0.2346,0.3333,3,0.8571,,6.0444,415,75,1,20,18,4,4,0.275594,0.004336,0.555556,0,0,1,4,C
G011,Softphone Konferenz planen,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,5.8824,407,80,0,20,20,4,4,0.197492,0.029025,0.284211,1,0,1,4,B
G012,HP Drucker Papierstau beheben,llama3:8b,hybrid,0.25,0.3904,1.0,1,1.0,,6.7616,1129,67,1,20,20,4,4,0.284051,0.014426,0.284211,1,0,0,4,C
G013,HP Drucker Duplexmodul verwenden,llama3:8b,hybrid,0.25,0.1681,0.25,4,1.0,,4.8716,940,37,0,20,13,3,3,0.272282,0.058937,0.512821,1,0,1,4,A
G014,HP Drucker Patronen reinigen,llama3:8b,hybrid,0.25,0.2463,0.5,2,0.0,,6.0947,504,78,1,20,5,17,2,0.329483,0.017399,0.789474,0,0,1,4,C
