question_id,sample_index,run_label,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,gpu_util_pct,gpu_mem_used_mb,embedding_model,chunk_strategy,chunk_size_tokens,chunk_overlap_tokens,reranker_enabled,index_base,error_bucket
G001_01,0,,Softphone Kennwort aendern,llama3:70b,hybrid,1.0,1.0,1.0,1,0.75,,88.1476,912,28,1,10,10,2,2,0.267796,0.026442,0.377778,1,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G002_01,1,,Softphone Anmeldedaten speichern aktivieren,llama3:70b,hybrid,1.0,1.0,1.0,1,1.0,,46.5241,497,29,1,10,10,4,4,0.275288,0.025791,0.466667,1,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G003_01,2,,Softphone Erstanmeldung mit DLS PIN,llama3:70b,hybrid,1.0,1.0,1.0,1,0.8571,,49.0457,740,31,1,10,10,2,2,0.204649,-0.002749,0.555556,1,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G004_01,3,,Softphone vollstaendig beenden,llama3:70b,hybrid,1.0,1.0,1.0,1,0.6667,,46.3057,372,27,1,10,10,4,4,0.214857,-0.051387,0.6,1,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G005_01,4,,Softphone Fusion Leiste Funktionen,llama3:70b,hybrid,1.0,1.0,1.0,1,0.8571,,46.4894,366,31,1,10,10,5,5,0.200903,-0.070534,0.733333,1,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G006_01,5,,Softphone praefiertes Endgeraet wechseln,llama3:70b,hybrid,1.0,1.0,1.0,1,0.8571,,46.9473,374,32,1,10,10,7,7,0.287404,0.034352,0.511111,1,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G007_01,6,,Softphone One Number Service konfigurieren,llama3:70b,hybrid,0.8,0.8688,1.0,1,1.0,,50.7654,911,26,0,10,10,5,5,0.269117,0.007333,0.422222,1,0,1,4,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,A
G008_01,7,,Softphone Rufnummernanzeige steuern (CLIR),llama3:70b,hybrid,1.0,1.0,1.0,1,0.6667,,46.7908,374,29,1,10,10,3,3,0.362746,-0.001389,0.511111,1,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G009_01,8,,Softphone Rufnummer fuer CLIR deaktivieren,llama3:70b,hybrid,1.0,1.0,1.0,1,0.6667,,47.502,475,29,1,10,10,7,7,0.267327,0.040983,0.511111,1,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G010_01,9,,Softphone Rufnummernanzeige fuer Kontakte anpassen,llama3:70b,hybrid,1.0,0.9675,1.0,1,0.8571,,46.4946,396,30,1,10,10,9,9,0.326665,-0.019799,0.377778,1,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G011_01,10,,Softphone Konferenz planen,llama3:70b,hybrid,1.0,1.0,1.0,1,0.8571,,46.1506,349,27,1,10,10,7,7,0.305487,-0.014912,0.733333,1,0,0,3,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G012_01,11,,HP Drucker Papierstau beheben,llama3:70b,hybrid,1.0,1.0,1.0,1,0.8571,,46.8792,398,25,1,10,10,10,10,0.284834,0.04799,0.6,1,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G013_01,12,,HP Drucker Duplexmodul verwenden,llama3:70b,hybrid,0.6667,0.7039,1.0,1,0.6667,,46.4548,332,26,1,10,10,8,8,0.295451,0.078859,0.022222,1,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G014_01,13,,HP Drucker Patronen reinigen,llama3:70b,hybrid,1.0,1.0,1.0,1,0.8571,,46.9852,400,29,1,10,10,9,9,0.334269,-0.122294,0.377778,1,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G015_01,14,,Abwesenheitsagent in Clerk anlegen,llama3:70b,hybrid,1.0,1.0,1.0,1,0.8571,,49.6082,785,28,1,10,10,4,4,0.191878,-0.052995,0.866667,0,0,0,3,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G016_01,15,,Outlook Ordner fuer Stellvertreter freigeben,llama3:70b,hybrid,1.0,1.0,1.0,1,0.8571,,46.3419,383,29,1,10,10,3,3,0.177979,-0.044128,0.377778,1,1,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,OK
G017_01,16,,Raeume oder Ressourcen buchen,llama3:70b,hybrid,1.0,0.6309,0.5,2,0.8571,,47.4543,379,34,1,10,5,10,5,0.231244,0.057096,0.866667,1,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G018_01,17,,Wie konfiguriere ich die Proxy-Einstellungen fuer agree21Internet manuell?,llama3:70b,hybrid,1.0,1.0,1.0,1,0.6667,,50.0445,539,25,1,10,10,10,10,0.308191,-0.057288,0.066667,1,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G019_01,18,,Welche Aufgaben uebernimmt das Atruvia Secure Webgateway laut Funktionsbeschreibung?,llama3:70b,hybrid,1.0,0.5,0.3333,3,0.4,,48.6292,457,29,1,10,10,10,10,0.194239,0.163761,0.288889,1,0,0,1,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G020_01,19,,Welche Ports empfiehlt die LDAP-Anleitung fuer StartTLS und LDAPS?,llama3:70b,hybrid,1.0,0.6309,0.5,2,0.8571,,54.7432,1132,34,1,10,10,4,4,0.329093,0.028817,0.422222,1,0,1,3,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G021_01,20,,Welche Forms-Regeln gelten laut Spielregeln M365?,llama3:70b,hybrid,0.0,0.0,0.0,,0.4,,50.5295,746,39,0,10,10,1,1,3.326692,3.316532,0.066667,1,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,B
G022_01,21,,Wie legt man Postfachregeln laut Anleitung in Outlook Online an?,llama3:70b,hybrid,1.0,0.6934,0.5,2,0.8571,,54.4186,996,28,1,10,10,4,4,0.282457,0.037103,0.555556,1,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G023_01,22,,Wie aktiviert man Senden-von in Outlook laut Anleitung?,llama3:70b,hybrid,1.0,1.0,1.0,1,0.6667,,52.3269,843,38,1,10,10,2,2,0.220002,0.039118,0.555556,1,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G024_01,23,,Wie erteilt man Outlook-Zugriff fuer Stellvertreter laut Guidance?,llama3:70b,hybrid,0.0,0.0,0.0,,0.6667,,51.0367,653,32,1,10,10,1,1,0.270574,0.027057,0.6,1,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,B
