question_id,sample_index,run_label,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,embedding_model,chunk_strategy,chunk_size_tokens,chunk_overlap_tokens,reranker_enabled,index_base,error_bucket
G001_01,0,,Softphone Kennwort aendern,llama3:70b,hybrid,1.0,1.0,1.0,1,0.75,,45.3158,403,29,1,20,20,18,18,0.0,0.0,0.452632,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G002_01,1,,Softphone Anmeldedaten speichern aktivieren,llama3:70b,hybrid,1.0,1.0,1.0,1,0.8571,,45.608,401,29,1,20,20,20,20,0.0,0.0,0.484211,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G003_01,2,,Softphone Erstanmeldung mit DLS PIN,llama3:70b,hybrid,1.0,1.0,1.0,1,0.8571,,45.7827,412,38,1,20,20,19,19,0.0,0.0,0.557895,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G004_01,3,,Softphone vollstaendig beenden,llama3:70b,hybrid,1.0,0.8963,1.0,1,0.8571,,44.8141,333,34,1,20,20,19,19,0.0,0.0,0.642105,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G005_01,4,,Softphone Fusion Leiste Funktionen,llama3:70b,hybrid,1.0,0.9469,1.0,1,1.0,,45.585,438,35,1,20,20,18,18,0.0,0.0,0.684211,1,0,1,3,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G006_01,5,,Softphone praefiertes Endgeraet wechseln,llama3:70b,hybrid,1.0,0.824,1.0,1,1.0,,45.6875,418,26,1,20,20,20,20,0.0,0.0,0.747368,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G007_01,6,,Softphone One Number Service konfigurieren,llama3:70b,hybrid,1.0,0.9416,1.0,1,1.0,,45.7825,429,31,1,20,20,20,20,0.0,0.0,0.610526,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G008_01,7,,Softphone Rufnummernanzeige steuern (CLIR),llama3:70b,hybrid,1.0,0.3514,0.1429,7,0.8571,,44.7991,326,26,1,20,20,20,20,0.0,0.0,0.547368,1,0,1,3,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G009_01,8,,Softphone Rufnummer fuer CLIR deaktivieren,llama3:70b,hybrid,1.0,0.7441,1.0,1,0.6667,,45.9188,423,34,1,20,20,20,20,0.0,0.0,0.705263,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G010_01,9,,Softphone Rufnummernanzeige fuer Kontakte anpassen,llama3:70b,hybrid,1.0,0.8711,1.0,1,0.6667,,45.4147,400,27,1,20,20,20,20,0.0,0.0,0.768421,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
