question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001_01,Softphone Kennwort aendern,llama3:8b,hybrid,1.0,1.0,1.0,1,0.5714,,4.0476,409,31,1,10,10,10,10,0.0,0.0,0.644444,0,0,0,2,C
G002_01,Softphone Anmeldedaten speichern aktivieren,llama3:8b,hybrid,1.0,1.0,1.0,1,1.0,,3.9859,378,28,1,10,10,10,10,0.0,0.0,0.422222,1,0,0,2,C
G003_01,Softphone Erstanmeldung mit DLS PIN,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,,4.013,409,38,1,10,10,9,9,0.0,0.0,0.733333,1,0,0,2,C
G004_01,Softphone vollstaendig beenden,llama3:8b,hybrid,0.6667,0.7654,1.0,1,0.8571,,3.9273,341,39,1,10,10,10,10,0.0,0.0,0.555556,1,0,0,1,C
G005_01,Softphone Fusion Leiste Funktionen,llama3:8b,hybrid,1.0,0.9469,1.0,1,0.6667,,3.9505,438,35,1,10,10,10,10,0.0,0.0,0.644444,1,0,0,1,C
G006_01,Softphone praefiertes Endgeraet wechseln,llama3:8b,hybrid,0.6667,0.7039,1.0,1,0.8571,,4.0324,409,33,1,10,10,10,10,0.0,0.0,0.733333,1,0,1,2,C
G007_01,Softphone One Number Service konfigurieren,llama3:8b,hybrid,1.0,0.9416,1.0,1,1.0,,4.0273,429,34,1,10,10,10,10,0.0,0.0,0.555556,1,0,0,1,C
G008_01,Softphone Rufnummernanzeige steuern (CLIR),llama3:8b,hybrid,0.5,0.2044,0.1429,7,0.8571,,3.9079,334,30,1,10,10,10,10,0.0,0.0,0.511111,1,0,1,3,C
G009_01,Softphone Rufnummer fuer CLIR deaktivieren,llama3:8b,hybrid,0.6667,0.6173,1.0,1,0.6667,,3.9593,382,35,0,10,10,10,10,0.0,0.0,0.688889,1,1,1,1,A
G010_01,Softphone Rufnummernanzeige fuer Kontakte anpassen,llama3:8b,hybrid,1.0,0.8711,1.0,1,0.4,,3.8814,367,32,1,10,10,10,10,0.0,0.0,0.777778,1,0,0,1,C
G011_01,Softphone Konferenz planen,llama3:8b,hybrid,1.0,0.3869,0.2,5,0.8571,,3.9184,394,35,1,10,10,10,10,0.0,0.0,0.733333,1,0,0,2,C
G012_01,HP Drucker Papierstau beheben,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,,3.9778,415,31,1,10,10,10,10,0.0,0.0,0.911111,1,0,0,2,C
G013_01,HP Drucker Duplexmodul verwenden,llama3:8b,hybrid,0.6667,0.5307,0.5,2,0.6667,,3.928,372,34,1,10,10,7,7,0.0,0.0,0.733333,0,0,1,3,C
G014_01,HP Drucker Patronen reinigen,llama3:8b,hybrid,1.0,0.8278,1.0,1,0.6667,,3.9871,370,28,1,10,10,9,9,0.0,0.0,0.733333,0,0,0,2,C
G015_01,Abwesenheitsagent in Clerk anlegen,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,,4.2155,570,28,1,10,10,7,7,0.0,0.0,0.866667,1,0,0,2,C
G016_01,Outlook Ordner fuer Stellvertreter freigeben,llama3:8b,hybrid,1.0,1.0,1.0,1,0.6667,,4.1561,588,38,1,10,10,10,10,0.0,0.0,0.911111,1,0,0,1,C
G017_01,Raeume oder Ressourcen buchen,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,,4.0026,393,33,1,10,10,9,9,0.0,0.0,0.911111,1,1,0,1,OK
G018_01,Wie konfiguriere ich die Proxy-Einstellungen fuer agree21Internet manuell?,llama3:8b,hybrid,1.0,0.6309,0.5,2,0.6667,,4.1825,570,28,1,10,10,10,10,0.0,0.0,0.688889,1,0,0,2,C
G019_01,Welche Aufgaben uebernimmt das Atruvia Secure Webgateway laut Funktionsbeschreibung?,llama3:8b,hybrid,1.0,0.5,0.3333,3,0.4,,3.9942,436,32,1,10,10,10,10,0.0,0.0,0.866667,1,0,0,1,C
G020_01,Welche Ports empfiehlt die LDAP-Anleitung fuer StartTLS und LDAPS?,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,,3.9243,458,35,1,10,10,4,4,0.0,0.0,0.466667,1,0,0,2,C
G021_01,Welche Forms-Regeln gelten laut Spielregeln M365?,llama3:8b,hybrid,1.0,0.5,0.3333,3,0.8571,,3.9027,296,31,1,10,10,8,8,0.0,0.0,0.822222,1,0,1,3,C
G022_01,Wie legt man Postfachregeln laut Anleitung in Outlook Online an?,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,,4.341,766,33,1,10,10,9,9,0.0,0.0,0.911111,1,0,0,2,C
G023_01,Wie aktiviert man Senden-von in Outlook laut Anleitung?,llama3:8b,hybrid,1.0,1.0,1.0,1,0.6667,,4.3939,819,36,1,10,10,5,5,0.0,0.0,0.511111,0,0,0,2,C
