question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001,Softphone Kennwort aendern,llama3:8b,hybrid,0.5,0.3066,0.3333,3,1.0,,283.4478,587,124,1,20,5,20,5,0.945339,1.091093,0.4,1,0,1,5,C
G002,Softphone Anmeldedaten speichern aktivieren,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,283.0451,683,77,1,20,8,18,6,6.010753,4.921292,0.336842,1,0,0,4,B
G003,Softphone Erstanmeldung mit DLS PIN,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,249.4521,334,84,0,20,1,20,1,0.444134,0.859298,0.378947,1,0,1,4,B
G004,Softphone vollstaendig beenden,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,231.4271,396,32,0,20,4,19,3,2.978126,3.124416,0.473684,1,0,0,1,B
G005,Softphone Fusion Leiste Funktionen,llama3:8b,hybrid,0.0,0.0,0.0,22,1.0,,254.3466,412,76,1,20,3,19,2,7.958335,8.051677,-0.136842,1,0,1,4,C
G006,Softphone praefiertes Endgeraet wechseln,llama3:8b,hybrid,0.0,0.0,0.0,,0.0,,62256.0193,476,7,1,20,9,15,4,1.770941,1.881341,0.568421,0,0,0,0,B
G007,Softphone One Number Service konfigurieren,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,302.7523,405,111,0,20,1,20,1,0.444134,0.859298,0.378947,1,0,1,4,B
G008,Softphone Rufnummernanzeige steuern (CLIR),llama3:8b,hybrid,0.0,0.0,0.0,,0.0,,261.1443,388,73,0,20,7,18,5,1.131213,1.228086,0.494737,1,1,0,4,B
G009,Softphone Rufnummer fuer CLIR deaktivieren,llama3:8b,hybrid,0.0,0.0,0.0,,0.0,,242.0787,779,7,1,20,8,17,5,1.083076,1.356439,0.621053,0,0,0,0,B
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,llama3:8b,hybrid,0.0,0.0,0.0,,0.0,,242.3673,334,7,0,20,1,20,1,0.444134,0.859298,0.378947,0,0,0,0,B
