question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001,Softphone Kennwort aendern,llama3:8b,hybrid_base,0.92,0.9,1.0,1.0,0.5028320000000001,"90, self-service, tage",9.9131,968,31,0,10,10,4,4,0.0,0.0,0.090909,1,0,0,2,C
G002,Softphone Anmeldedaten speichern aktivieren,llama3:8b,hybrid_base,0.92,0.9,1.0,1.0,0.754248,haken,4.3659,850,31,0,10,10,8,8,0.0,0.0,0.545455,1,0,0,2,C
G003,Softphone Erstanmeldung mit DLS PIN,llama3:8b,hybrid_base,0.92,0.9,1.0,1.0,0.0,dls,3.9745,411,40,0,10,10,9,9,0.0,0.0,0.545455,1,0,0,1,C
G004,Softphone vollstaendig beenden,llama3:8b,hybrid_base,0.92,0.87075,1.0,1.0,0.754248,symbol,3.8744,293,34,0,10,10,8,8,0.0,0.0,0.606061,1,0,0,2,C
G005,Softphone Fusion Leiste Funktionen,llama3:8b,hybrid_base,0.92,0.9,1.0,1.0,0.88,,4.0093,424,37,0,10,10,10,10,0.0,0.0,0.636364,1,0,1,3,C
G006,Softphone praefiertes Endgeraet wechseln,llama3:8b,hybrid_base,0.92,0.9,1.0,1.0,0.754248,praeferiert,4.015,397,35,0,10,10,10,10,0.0,0.0,0.575758,1,0,0,1,C
G007,Softphone One Number Service konfigurieren,llama3:8b,hybrid_base,0.7360000000000001,0.7819200000000001,1.0,1.0,0.88,,4.2577,747,35,0,10,10,6,6,0.0,0.0,0.666667,1,0,0,2,C
G008,Softphone Rufnummernanzeige steuern (CLIR),llama3:8b,hybrid_base,0.92,0.9,1.0,1.0,0.0,clir,3.9674,373,31,0,10,10,4,4,0.0,0.0,0.69697,1,0,0,1,C
G009,Softphone Rufnummer fuer CLIR deaktivieren,llama3:8b,hybrid_base,0.92,0.9,1.0,1.0,0.0,deaktivieren,4.2676,601,34,1,10,10,9,9,0.0,0.0,0.69697,1,0,0,2,C
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,llama3:8b,hybrid_base,0.92,0.87075,1.0,1.0,0.0,kontakte,3.8764,300,31,1,10,10,10,10,0.0,0.0,0.424242,1,0,1,3,C
