question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct
G001,Softphone Kennwort aendern,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.1429,"90, self, service, tage",5.1892,507,25,1
G001,Softphone Kennwort aendern,gemma:2b,hybrid,1.0,1.0,1.0,1,0.1579,"self, service, tage",4.4298,507,41,1
G001,Softphone Kennwort aendern,phi3:latest,hybrid,1.0,1.0,1.0,1,0.25,"90, tage",4.3505,507,32,1
G002,Softphone Anmeldedaten speichern aktivieren,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.2759,,3.5638,346,29,1
G002,Softphone Anmeldedaten speichern aktivieren,gemma:2b,hybrid,1.0,1.0,1.0,1,0.16,"haken, speichern",2.7518,346,26,0
G002,Softphone Anmeldedaten speichern aktivieren,phi3:latest,hybrid,1.0,1.0,1.0,1,0.1714,haken,3.1376,346,32,0
G003,Softphone Erstanmeldung mit DLS PIN,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.1765,erstmalig,3.6319,317,36,1
G003,Softphone Erstanmeldung mit DLS PIN,gemma:2b,hybrid,1.0,1.0,1.0,1,0.1714,erstmalig,2.9663,317,38,1
G003,Softphone Erstanmeldung mit DLS PIN,phi3:latest,hybrid,1.0,1.0,1.0,1,0.1935,erstmalig,3.1043,317,34,1
G004,Softphone vollstaendig beenden,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.0,taskleiste,3.6749,288,36,1
G004,Softphone vollstaendig beenden,gemma:2b,hybrid,1.0,1.0,1.0,1,0.0,taskleiste,2.5883,288,15,1
G004,Softphone vollstaendig beenden,phi3:latest,hybrid,1.0,1.0,1.0,1,0.0,taskleiste,3.0715,288,32,1
G005,Softphone Fusion Leiste Funktionen,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.0,favoriten,3.7143,282,28,1
G005,Softphone Fusion Leiste Funktionen,gemma:2b,hybrid,1.0,1.0,1.0,1,0.0,favoriten,2.7248,282,25,1
G005,Softphone Fusion Leiste Funktionen,phi3:latest,hybrid,1.0,1.0,1.0,1,0.0,favoriten,3.0944,282,31,0
G006,Softphone praefiertes Endgeraet wechseln,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.0,endgeraet,3.7433,290,28,1
G006,Softphone praefiertes Endgeraet wechseln,gemma:2b,hybrid,1.0,1.0,1.0,1,0.0,endgeraet,2.7273,290,26,1
G006,Softphone praefiertes Endgeraet wechseln,phi3:latest,hybrid,1.0,1.0,1.0,1,0.0,"endgeraet, fusion",3.0918,290,32,0
G007,Softphone One Number Service konfigurieren,mistral:instruct,hybrid,0.8,0.8688,1.0,1,0.2424,,3.9544,580,30,1
G007,Softphone One Number Service konfigurieren,gemma:2b,hybrid,0.8,0.8688,1.0,1,0.381,,2.8139,580,21,1
G007,Softphone One Number Service konfigurieren,phi3:latest,hybrid,0.8,0.8688,1.0,1,0.2286,,3.3121,580,33,0
G008,Softphone Rufnummernanzeige steuern (CLIR),mistral:instruct,hybrid,1.0,1.0,1.0,1,0.1429,"anzeige, geraet",3.685,290,26,1
G008,Softphone Rufnummernanzeige steuern (CLIR),gemma:2b,hybrid,1.0,1.0,1.0,1,0.0,clir,2.583,290,12,1
G008,Softphone Rufnummernanzeige steuern (CLIR),phi3:latest,hybrid,1.0,1.0,1.0,1,0.0,"clir, rufnummer",3.2323,290,29,0
G009,Softphone Rufnummer fuer CLIR deaktivieren,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.129,"auswaehlen, geraet",3.7456,391,31,1
G009,Softphone Rufnummer fuer CLIR deaktivieren,gemma:2b,hybrid,1.0,1.0,1.0,1,0.0,deaktivieren,2.575,391,16,1
G009,Softphone Rufnummer fuer CLIR deaktivieren,phi3:latest,hybrid,1.0,1.0,1.0,1,0.1176,"auswaehlen, geraet",3.2503,391,32,0
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,mistral:instruct,hybrid,1.0,0.9675,1.0,1,0.0,rufnummer,3.6905,312,32,1
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,gemma:2b,hybrid,1.0,0.9675,1.0,1,0.0,"kontakte, rufnummer",2.4965,312,9,0
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,phi3:latest,hybrid,1.0,0.9675,1.0,1,0.0,rufnummer,3.1938,312,29,0
G011,Softphone Konferenz planen,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.0,moderator,3.6553,265,29,1
G011,Softphone Konferenz planen,gemma:2b,hybrid,1.0,1.0,1.0,1,0.0,"konferenz, moderator",2.5435,265,14,0
G011,Softphone Konferenz planen,phi3:latest,hybrid,1.0,1.0,1.0,1,0.0,moderator,3.1348,265,32,1
