question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001,Softphone Kennwort aendern,llama3:8b,hybrid,1.0,1.0,1.0,1,0.5714,"90, self-service, tage",4.1633,852,31,1,8,8,2,2,0.267012,0.033345,0.285714,1,0,0,2,C
G002,Softphone Anmeldedaten speichern aktivieren,llama3:8b,hybrid,1.0,1.0,1.0,1,1.0,,3.9636,399,30,1,8,8,4,4,0.274957,0.030706,0.928571,1,0,0,2,C
G003,Softphone Erstanmeldung mit DLS PIN,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,erstmalig,4.0099,418,38,1,8,8,2,2,0.204455,-0.002984,0.571429,1,0,0,2,C
G004,Softphone vollstaendig beenden,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,symbol,3.9879,416,34,1,8,8,4,4,0.214675,-0.063897,0.714286,1,0,0,2,C
G005,Softphone Fusion Leiste Funktionen,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,optionen,3.9017,366,32,1,8,8,6,6,0.182569,-0.09386,0.642857,1,0,0,2,C
G006,Softphone praefiertes Endgeraet wechseln,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,praeferiert,4.0264,387,35,1,8,8,8,8,0.284691,0.056488,0.214286,1,0,0,1,C
G007,Softphone One Number Service konfigurieren,llama3:8b,hybrid,0.8,0.8688,1.0,1,1.0,,4.7794,1220,36,1,8,8,6,6,0.274542,0.021349,0.571429,1,0,0,2,C
G008,Softphone Rufnummernanzeige steuern (CLIR),llama3:8b,hybrid,1.0,1.0,1.0,1,0.0,clir,4.0067,374,32,1,8,8,3,3,0.370121,0.00039,0.214286,1,0,0,2,C
G009,Softphone Rufnummer fuer CLIR deaktivieren,llama3:8b,hybrid,1.0,1.0,1.0,1,0.0,deaktivieren,4.0207,475,34,1,8,8,8,8,0.266676,-0.020926,-0.214286,1,0,0,2,C
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,llama3:8b,hybrid,1.0,0.9675,1.0,1,0.6667,"rufnummer, uebergeben",3.9381,396,31,1,8,8,7,7,0.328789,0.016576,0.285714,1,0,0,2,C
G011,Softphone Konferenz planen,llama3:8b,hybrid,1.0,1.0,1.0,1,0.6667,"moderator, teilnehmer",4.027,392,31,1,8,8,7,7,0.312278,-0.015689,0.642857,1,0,0,2,C
G012,HP Drucker Papierstau beheben,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,modul,3.9379,398,27,1,8,8,8,8,0.285176,0.064053,0.642857,1,0,0,2,C
G013,HP Drucker Duplexmodul verwenden,llama3:8b,hybrid,1.0,0.9675,1.0,1,0.6667,"beidseitig, modul",3.9267,384,34,1,8,8,6,6,0.295873,0.115941,0.0,1,0,0,2,C
G014,HP Drucker Patronen reinigen,llama3:8b,hybrid,1.0,1.0,1.0,1,0.0,patrone,4.0201,402,29,1,8,8,7,7,0.334996,-0.0865,0.142857,1,0,0,1,C
G015,Abwesenheitsagent in Clerk anlegen,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,periodisch,4.3892,879,32,1,8,8,4,4,0.19183,-0.064798,0.714286,1,0,1,3,C
G016,Outlook Ordner fuer Stellvertreter freigeben,llama3:8b,hybrid,1.0,1.0,1.0,1,0.6667,"berechtigung, ordner",3.9588,408,30,1,8,8,3,3,0.177852,-0.054808,0.571429,1,0,0,2,C
G017,Raeume oder Ressourcen buchen,llama3:8b,hybrid,1.0,0.6309,0.5,2,0.8571,ressource,3.9125,364,34,1,8,5,8,5,0.229436,0.070628,0.785714,1,0,0,2,C
G018,Wie konfiguriere ich die Proxy-Einstellungen fuer agree21Internet manuell?,llama3:8b,hybrid,1.0,1.0,1.0,1,0.6667,"8080, kunden-proxy",4.1125,534,32,1,8,8,8,8,0.308178,-0.005714,0.285714,1,0,0,1,C
G019,Welche Aufgaben uebernimmt das Atruvia Secure Webgateway laut Funktionsbeschreibung?,llama3:8b,hybrid,1.0,0.5,0.3333,3,0.4,"filtern, malware, proxy",4.1273,457,33,1,8,8,8,8,0.199721,0.186682,0.357143,1,0,0,1,C
G020,Welche Ports empfiehlt die LDAP-Anleitung fuer StartTLS und LDAPS?,llama3:8b,hybrid,1.0,0.6309,0.5,2,1.0,,4.3408,947,33,0,8,8,2,2,0.324694,0.035442,0.214286,1,0,1,4,A
G021,Welche Forms-Regeln gelten laut Spielregeln M365?,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,3.9882,546,33,0,8,8,2,2,3.323676,3.316223,0.0,1,0,1,4,B
G022,Wie legt man Postfachregeln laut Anleitung in Outlook Online an?,llama3:8b,hybrid,1.0,0.6934,0.5,2,0.8571,regeln,4.0534,636,30,1,8,8,4,4,0.278543,0.045575,0.428571,1,0,0,1,C
G023,Wie aktiviert man Senden-von in Outlook laut Anleitung?,llama3:8b,hybrid,1.0,1.0,1.0,1,0.6667,"office.com, webclient",4.1844,873,37,1,8,8,2,2,0.219968,0.048561,0.357143,1,0,0,2,C
