question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001,Softphone Kennwort aendern,gemma:2b,hybrid,0.6667,0.7654,1.0,1,0.5714,,5.1497,838,9,1,12,11,1,0,0.203726,0.053473,0.757576,0,0,0,2,C
G002,Softphone Anmeldedaten speichern aktivieren,gemma:2b,hybrid,0.5,0.6131,1.0,1,0.8571,,2.8906,724,32,1,12,9,3,0,0.211208,0.12673,0.515152,0,0,0,4,C
G003,Softphone Erstanmeldung mit DLS PIN,gemma:2b,hybrid,0.5,0.6131,1.0,1,0.8571,,2.6987,362,20,1,12,11,1,0,0.155809,0.023594,0.818182,0,0,0,3,C
G004,Softphone vollstaendig beenden,gemma:2b,hybrid,0.5,0.6131,1.0,1,1.0,,3.0631,293,41,1,12,10,2,0,0.162527,0.049008,0.787879,0,0,0,9,C
G005,Softphone Fusion Leiste Funktionen,gemma:2b,hybrid,0.0,0.0,0.0,,0.6667,,2.8308,411,17,1,12,11,1,0,0.138791,0.013774,0.818182,0,0,0,3,B
G006,Softphone praefiertes Endgeraet wechseln,gemma:2b,hybrid,0.0,0.0,0.0,,0.8571,,2.5557,299,4,0,12,10,2,0,0.226759,0.11432,0.727273,0,0,0,4,B
G007,Softphone One Number Service konfigurieren,gemma:2b,hybrid,0.0,0.0,0.0,,1.0,,2.6811,926,4,1,12,10,2,0,0.696532,0.104382,0.575758,1,0,0,4,B
G008,Softphone Rufnummernanzeige steuern (CLIR),gemma:2b,hybrid,0.0,0.0,0.0,,0.6667,,2.771,374,16,1,12,8,4,0,0.746418,0.120166,0.848485,0,0,0,2,B
G009,Softphone Rufnummer fuer CLIR deaktivieren,gemma:2b,hybrid,0.0,0.0,0.0,,0.0,,2.7878,482,19,1,12,8,4,0,0.750501,0.188075,0.848485,0,0,0,2,B
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,gemma:2b,hybrid,0.3333,0.2346,0.3333,3,0.4,,2.932,289,28,1,12,9,3,0,0.756025,0.124065,0.818182,0,0,0,3,C
