question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001,Softphone Kennwort aendern,phi3:latest,hybrid,1.0,1.0,1.0,1,1.0,,6.136,968,22,0,12,12,4,4,0.267012,0.02223,0.090909,0,0,1,6,A
G002,Softphone Anmeldedaten speichern aktivieren,phi3:latest,hybrid,1.0,1.0,1.0,1,1.0,,3.4427,850,21,1,12,12,8,8,0.274957,0.045128,0.545455,0,0,1,5,C
G003,Softphone Erstanmeldung mit DLS PIN,phi3:latest,hybrid,1.0,1.0,1.0,1,0.8571,erstmalig,3.2655,406,27,0,12,12,9,9,0.204455,-0.001989,0.545455,1,0,0,3,A
G004,Softphone vollstaendig beenden,phi3:latest,hybrid,1.0,0.9675,1.0,1,0.8571,symbol,3.096,293,26,0,12,12,8,8,0.214675,-0.010988,0.606061,1,0,1,3,A
G005,Softphone Fusion Leiste Funktionen,phi3:latest,hybrid,1.0,1.0,1.0,1,1.0,,3.2417,424,22,1,12,12,12,12,0.182569,-0.062574,0.636364,1,0,0,3,C
G006,Softphone praefiertes Endgeraet wechseln,phi3:latest,hybrid,1.0,1.0,1.0,1,0.8571,fusion,3.2429,407,21,0,12,12,12,12,0.284691,0.01306,0.575758,1,0,0,3,A
G007,Softphone One Number Service konfigurieren,phi3:latest,hybrid,0.8,0.8688,1.0,1,0.0,one number,3.5535,747,26,0,12,12,6,6,0.274548,0.014235,0.666667,1,0,1,4,A
G008,Softphone Rufnummernanzeige steuern (CLIR),phi3:latest,hybrid,1.0,1.0,1.0,1,0.0,clir,3.1753,359,21,1,12,12,4,4,0.370121,0.00026,0.69697,1,0,0,2,C
G009,Softphone Rufnummer fuer CLIR deaktivieren,phi3:latest,hybrid,1.0,1.0,1.0,1,0.0,deaktivieren,3.5156,601,21,0,12,12,9,9,0.266676,0.050683,0.69697,1,0,1,4,A
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,phi3:latest,hybrid,1.0,0.9675,1.0,1,0.0,kontakte,3.0812,253,25,1,12,12,11,11,0.328789,-0.020585,0.424242,1,0,0,3,C
G011,Softphone Konferenz planen,phi3:latest,hybrid,1.0,1.0,1.0,1,0.8571,teilnehmer,3.278,418,21,1,12,12,8,8,0.312278,0.008736,0.515152,1,1,0,2,OK
G012,HP Drucker Papierstau beheben,phi3:latest,hybrid,1.0,1.0,1.0,1,1.0,,3.2824,398,26,1,12,12,12,12,0.285176,0.008174,0.606061,1,0,1,3,C
G013,HP Drucker Duplexmodul verwenden,phi3:latest,hybrid,0.6667,0.7039,1.0,1,0.8571,modul,3.1929,336,21,0,12,12,10,10,0.295873,0.003334,0.393939,1,0,0,3,A
G014,HP Drucker Patronen reinigen,phi3:latest,hybrid,1.0,1.0,1.0,1,0.6667,"kontakte, reinigen",3.2299,387,25,1,12,12,10,10,0.334996,0.025269,0.848485,1,0,0,2,C
G015,Abwesenheitsagent in Clerk anlegen,phi3:latest,hybrid,1.0,1.0,1.0,1,0.6667,"abwesenheit, periodisch",3.5783,1090,24,1,12,12,4,4,0.19183,-0.043199,0.575758,1,0,0,2,C
