question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001,Softphone Kennwort aendern,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.8889,tage,4.6745,1120,25,1,8,8,2,2,0.267266,0.033404,0.071429,0,0,0,3,C
G002,Softphone Anmeldedaten speichern aktivieren,mistral:instruct,hybrid,1.0,1.0,1.0,1,1.0,,3.8425,423,23,1,8,8,4,4,0.275001,0.03085,0.857143,1,0,0,1,C
G003,Softphone Erstanmeldung mit DLS PIN,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.8571,erstmalig,3.9311,420,29,1,8,8,2,2,0.204547,-0.003039,0.5,1,0,0,3,C
G004,Softphone vollstaendig beenden,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.0,taskleiste,3.8767,435,21,1,8,8,4,4,0.214649,-0.063875,0.714286,0,0,0,4,C
G005,Softphone Fusion Leiste Funktionen,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.6667,"favoriten, optionen",3.9235,434,18,1,8,8,6,6,0.182612,-0.093815,0.642857,0,0,0,4,C
G006,Softphone praefiertes Endgeraet wechseln,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.4,"fusion, praeferiert, softphone",3.9271,400,22,1,8,8,8,8,0.284962,0.084159,0.214286,0,0,0,2,C
G007,Softphone One Number Service konfigurieren,mistral:instruct,hybrid,0.8,0.8688,1.0,1,1.0,,4.0899,744,24,1,8,8,6,6,0.274662,0.008878,0.5,0,0,1,5,C
G008,Softphone Rufnummernanzeige steuern (CLIR),mistral:instruct,hybrid,1.0,1.0,1.0,1,0.0,clir,3.8868,411,23,1,8,8,3,3,0.374663,0.000839,0.5,1,0,0,2,C
G009,Softphone Rufnummer fuer CLIR deaktivieren,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.6667,"auswaehlen, endgeraet",3.9354,475,22,1,8,8,7,7,0.266904,0.029893,0.214286,0,0,1,5,C
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,mistral:instruct,hybrid,1.0,0.9675,1.0,1,0.0,kontakte,3.8721,405,30,1,8,8,8,8,0.328919,0.01829,0.214286,1,0,0,1,C
G011,Softphone Konferenz planen,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.4,"moderator, softphone, teilnehmer",3.8438,392,22,1,8,8,7,7,0.312183,-0.015716,0.642857,0,1,0,3,C
G012,HP Drucker Papierstau beheben,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.8571,modul,3.8726,398,24,1,8,8,8,8,0.285016,0.063802,0.642857,1,0,0,2,C
G013,HP Drucker Duplexmodul verwenden,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.8571,modul,3.8463,355,20,1,8,8,6,6,0.295864,0.117472,0.142857,0,0,0,3,C
G014,HP Drucker Patronen reinigen,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.0,patrone,3.9226,402,27,1,8,8,6,6,0.33478,-0.086725,0.142857,1,1,0,1,OK
G015,Abwesenheitsagent in Clerk anlegen,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.6667,"abwesenheit, periodisch",4.1396,823,21,1,8,8,4,4,0.191824,-0.064821,0.785714,0,0,0,2,C
G016,Outlook Ordner fuer Stellvertreter freigeben,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.8571,berechtigung,3.8457,456,27,1,8,8,3,3,0.177852,-0.054809,0.285714,1,0,0,2,C
G017,Raeume oder Ressourcen buchen,mistral:instruct,hybrid,1.0,0.6309,0.5,2,0.8571,outlook,3.8446,364,23,1,8,5,3,0,0.229445,0.070628,0.714286,0,0,0,2,C
G018,Wie konfiguriere ich die Proxy-Einstellungen fuer agree21Internet manuell?,mistral:instruct,hybrid,1.0,1.0,1.0,1,1.0,,4.0443,534,18,1,8,8,8,8,0.308135,-0.005983,0.285714,0,0,0,3,C
