question_id,model,retrieval_mode,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rank_first_rel,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,keyword_f1,factual_correct,error_bucket
G001,llama3:8b,hybrid,20,5,20,5,3.000000,0.973404,1.062279,0.263158,0.571400,1,C
G002,llama3:8b,hybrid,20,20,17,17,,6.031266,5.676181,0.189474,0.000000,1,B
G003,llama3:8b,hybrid,20,1,20,1,,0.528412,0.808671,0.315789,1.000000,0,B
G004,llama3:8b,hybrid,20,20,20,20,,2.994140,2.369673,-0.357895,1.000000,0,B
G005,llama3:8b,hybrid,20,20,19,19,2.000000,7.721554,6.371432,-0.263158,0.666700,1,C
G006,llama3:8b,hybrid,20,20,19,19,,1.789205,1.397471,-0.378947,0.000000,1,B
G007,llama3:8b,hybrid,20,1,20,1,,0.528412,0.808671,0.315789,1.000000,0,B
G008,llama3:8b,hybrid,20,20,20,20,,1.149290,0.996244,-0.147368,0.000000,1,B
G009,llama3:8b,hybrid,20,20,19,19,15.000000,1.158232,0.978375,-0.284211,0.666700,1,C
G010,llama3:8b,hybrid,20,1,20,1,,0.528412,0.808671,0.315789,0.000000,0,B
G011,llama3:8b,hybrid,20,1,20,1,,0.528412,0.808671,0.315789,0.666700,0,B
G012,llama3:8b,hybrid,20,14,20,14,,1.292540,1.466756,0.284211,0.666700,1,B
G013,llama3:8b,hybrid,20,5,17,2,,0.528412,0.783203,0.340426,0.666700,1,B
G014,llama3:8b,hybrid,20,19,13,12,,16.032304,12.645066,0.410526,0.000000,1,B
G015,llama3:8b,hybrid,20,17,12,9,,1.202554,1.071227,0.042105,1.000000,0,B
G016,llama3:8b,hybrid,20,3,20,3,,0.528412,0.765914,0.100529,0.857100,0,B
G017,llama3:8b,hybrid,20,16,14,10,,0.689822,0.791734,0.368421,0.666700,1,B
G018,llama3:8b,hybrid,20,1,20,1,17.000000,0.528412,0.808671,0.315789,0.666700,1,C
G019,llama3:8b,hybrid,20,1,20,1,,0.528412,0.808671,0.315789,0.400000,1,B
G020,llama3:8b,hybrid,20,1,20,1,,0.528412,0.808671,0.315789,1.000000,0,B
G021,llama3:8b,hybrid,20,15,15,10,,3.144326,3.043737,0.094737,0.666700,1,B
G022,llama3:8b,hybrid,20,7,17,4,,1.068642,1.022941,0.178947,0.857100,0,B
G023,llama3:8b,hybrid,20,1,20,1,,0.528412,0.808671,0.315789,1.000000,0,B
G024,llama3:8b,hybrid,20,17,19,16,17.000000,1.162931,1.175772,0.431579,0.666700,1,C
G025,llama3:8b,hybrid,20,2,18,0,,1.959473,1.936893,0.263158,0.857100,1,B
G026,llama3:8b,hybrid,20,15,12,7,11.000000,0.528412,0.722209,0.311475,0.000000,0,A
G027,llama3:8b,hybrid,20,20,14,14,,4.781114,3.602896,0.263158,0.000000,1,B
G028,llama3:8b,hybrid,20,20,19,19,10.000000,7.608604,7.201293,0.410526,0.666700,1,C
G029,llama3:8b,hybrid,20,7,18,5,,2.539111,2.376597,-0.284211,1.000000,1,B
G030,llama3:8b,hybrid,20,9,18,7,6.000000,1.302321,1.146235,0.252632,0.000000,1,C
G031,llama3:8b,hybrid,20,3,20,3,,0.585458,0.853224,0.240642,0.666700,0,B
G032,llama3:8b,hybrid,20,20,17,17,,0.652704,0.732165,0.411765,0.000000,1,B
G033,llama3:8b,hybrid,20,1,20,1,15.000000,0.528412,0.808671,0.315789,0.000000,1,C
G034,llama3:8b,hybrid,20,4,20,4,1.000000,3.282760,3.471004,0.115789,0.666700,0,A
G035,llama3:8b,hybrid,20,1,20,1,,26.727688,26.569528,0.000000,1.000000,0,B
G036,llama3:8b,hybrid,20,20,17,17,7.000000,2.498344,1.965258,-0.094737,0.000000,1,C
G037,llama3:8b,hybrid,20,11,11,2,,0.528412,0.734836,0.304813,0.666700,0,B
G038,llama3:8b,hybrid,20,1,20,1,,0.528412,0.808671,0.315789,0.666700,0,B
G039,llama3:8b,hybrid,20,20,18,18,,3.713543,3.736563,0.347368,0.857100,0,B
G040,llama3:8b,hybrid,20,15,20,15,,3.475966,3.403413,-0.010526,0.857100,0,B
G041,llama3:8b,hybrid,20,12,18,10,,0.542606,0.703427,0.494624,0.666700,0,B
