question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct
G001,Softphone Kennwort aendern,phi3:latest,hybrid,1.0,1.0,1.0,1,0.0,passwort,4.5485,698,17,0
G002,Softphone Anmeldedaten speichern aktivieren,phi3:latest,hybrid,1.0,1.0,1.0,1,1.0,,2.7109,617,8,0
G003,Softphone Erstanmeldung mit DLS PIN,phi3:latest,hybrid,1.0,1.0,1.0,1,0.0,"dls, pin",2.679,424,5,0
G004,Softphone vollstaendig beenden,phi3:latest,hybrid,1.0,1.0,1.0,1,0.0,taskleiste,3.1954,329,23,1
G005,Softphone Fusion Leiste Funktionen,phi3:latest,hybrid,1.0,1.0,1.0,1,0.0,"favoriten, fusion",3.1678,367,25,0
G006,Softphone praefiertes Endgeraet wechseln,phi3:latest,hybrid,1.0,1.0,1.0,1,0.8571,praeferiert,2.8462,357,9,0
G007,Softphone One Number Service konfigurieren,phi3:latest,hybrid,0.8,0.8688,1.0,1,1.0,,3.4297,674,30,0
G008,Softphone Rufnummernanzeige steuern (CLIR),phi3:latest,hybrid,1.0,1.0,1.0,1,0.0,rufnummer,2.8633,368,8,0
G009,Softphone Rufnummer fuer CLIR deaktivieren,phi3:latest,hybrid,1.0,1.0,1.0,1,0.0,"clir, deaktivieren",3.1086,418,14,0
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,phi3:latest,hybrid,1.0,0.9675,1.0,1,0.0,"kontakte, rufnummer",3.0656,362,16,0
G011,Softphone Konferenz planen,phi3:latest,hybrid,1.0,1.0,1.0,1,1.0,,3.1962,349,34,1
G012,HP Drucker Papierstau beheben,phi3:latest,hybrid,1.0,1.0,1.0,1,0.8571,modul,3.1918,355,17,0
G013,HP Drucker Duplexmodul verwenden,phi3:latest,hybrid,1.0,1.0,1.0,1,0.0,duplex,3.1614,312,15,0
G014,HP Drucker Patronen reinigen,phi3:latest,hybrid,1.0,1.0,1.0,1,1.0,,3.0615,357,15,0
G015,Abwesenheitsagent in Clerk anlegen,phi3:latest,hybrid,1.0,1.0,1.0,1,0.6667,"abwesenheit, periodisch",3.6888,1019,22,0
