question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001,Softphone Kennwort aendern,gemma:2b,hybrid,0.5,0.6367,1.0,1,0.75,,5.3233,909,19,1,12,12,2,2,0.204047,0.012216,0.121212,0,0,0,2,C
G002,Softphone Anmeldedaten speichern aktivieren,gemma:2b,hybrid,0.5,0.6131,1.0,1,0.8571,,2.6807,661,24,1,12,12,4,4,0.211407,0.006731,0.575758,0,0,1,3,C
G003,Softphone Erstanmeldung mit DLS PIN,gemma:2b,hybrid,0.5,0.6131,1.0,1,0.8571,,3.0492,931,33,1,12,12,2,2,0.15605,-0.011662,0.393939,0,0,0,3,C
G004,Softphone vollstaendig beenden,gemma:2b,hybrid,0.5,0.6131,1.0,1,0.0,,2.5703,372,9,1,12,12,4,4,0.162732,-0.05313,0.454545,0,0,0,2,C
G005,Softphone Fusion Leiste Funktionen,gemma:2b,hybrid,0.0,0.0,0.0,,0.6667,,2.8953,410,22,1,12,12,3,3,0.178088,-0.018963,0.30303,0,0,0,5,B
G006,Softphone praefiertes Endgeraet wechseln,gemma:2b,hybrid,0.0,0.0,0.0,,0.6667,,2.5338,396,7,1,12,12,4,4,0.241788,0.050256,0.484848,0,0,0,2,B
G007,Softphone One Number Service konfigurieren,gemma:2b,hybrid,0.0,0.0,0.0,,1.0,,2.752,753,13,1,12,12,4,4,0.240983,0.013725,0.636364,0,0,0,5,B
G008,Softphone Rufnummernanzeige steuern (CLIR),gemma:2b,hybrid,0.0,0.0,0.0,,0.6667,,2.799,411,21,1,12,12,3,3,0.330727,-0.011196,0.484848,0,0,0,2,B
G009,Softphone Rufnummer fuer CLIR deaktivieren,gemma:2b,hybrid,0.0,0.0,0.0,,0.6667,,2.8127,465,22,1,12,12,4,4,0.201145,0.040995,0.575758,0,0,0,3,B
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,gemma:2b,hybrid,0.25,0.1952,0.3333,3,0.4,,3.2158,404,44,1,12,12,4,4,0.267894,0.004473,0.363636,0,0,0,6,C
G011,Softphone Konferenz planen,gemma:2b,hybrid,0.0,0.0,0.0,,0.0,,3.1798,393,38,1,12,12,4,4,0.246221,0.028426,0.575758,0,0,0,10,B
G012,HP Drucker Papierstau beheben,gemma:2b,hybrid,0.25,0.3904,1.0,1,0.4,,2.9603,762,6,1,12,12,4,4,0.217439,0.011451,0.727273,0,0,0,6,C
G013,HP Drucker Duplexmodul verwenden,gemma:2b,hybrid,0.0,0.0,0.0,,0.0,,3.8715,425,106,1,12,4,10,2,0.238283,0.052997,0.575758,0,0,0,1,B
G014,HP Drucker Patronen reinigen,gemma:2b,hybrid,0.25,0.1952,0.3333,3,0.0,,3.5584,392,66,1,12,4,11,3,0.293196,-0.007462,0.575758,0,0,0,3,C
G015,Abwesenheitsagent in Clerk anlegen,gemma:2b,hybrid,1.0,0.8772,1.0,1,0.6667,,2.6853,966,4,1,12,4,12,4,0.150979,-0.053703,0.393939,0,0,0,1,C
G016,Outlook Ordner fuer Stellvertreter freigeben,gemma:2b,hybrid,0.5,0.6367,1.0,1,1.0,,3.2265,480,42,1,12,12,3,3,0.136095,-0.047506,0.515152,0,0,0,7,C
G017,Raeume oder Ressourcen buchen,gemma:2b,hybrid,0.5,0.6367,1.0,1,0.0,,3.3575,367,57,1,12,5,12,5,0.182887,0.028561,0.939394,0,0,0,2,C
G018,Wie konfiguriere ich die Proxy-Einstellungen fuer agree21Internet manuell?,gemma:2b,hybrid,0.5,0.6131,1.0,1,1.0,,3.5489,618,36,1,12,12,6,6,0.259894,0.022076,0.787879,0,0,0,3,C
