question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001,Softphone Kennwort aendern,llama3:70b,hybrid,0.5,0.6367,1.0,1,1.0,,143.8865,909,97,1,12,12,2,2,0.204047,0.012216,0.121212,1,1,0,5,OK
G002,Softphone Anmeldedaten speichern aktivieren,llama3:70b,hybrid,0.5,0.6131,1.0,1,1.0,,112.5196,661,70,1,12,12,4,4,0.211407,0.006731,0.575758,1,1,0,4,OK
G003,Softphone Erstanmeldung mit DLS PIN,llama3:70b,hybrid,0.5,0.6131,1.0,1,1.0,,106.7849,931,64,1,12,12,2,2,0.15605,-0.011662,0.393939,1,1,0,4,OK
G004,Softphone vollstaendig beenden,llama3:70b,hybrid,0.5,0.6131,1.0,1,1.0,,115.9196,372,78,1,12,12,4,4,0.162732,-0.05313,0.454545,1,1,0,4,OK
G005,Softphone Fusion Leiste Funktionen,llama3:70b,hybrid,0.0,0.0,0.0,,1.0,,83.008,410,56,1,12,12,3,3,0.178088,-0.018963,0.30303,1,0,1,4,B
G006,Softphone praefiertes Endgeraet wechseln,llama3:70b,hybrid,0.0,0.0,0.0,,1.0,,111.1846,396,66,1,12,12,4,4,0.241788,0.050256,0.484848,1,1,0,4,B
G007,Softphone One Number Service konfigurieren,llama3:70b,hybrid,0.0,0.0,0.0,,1.0,,82.5292,753,47,1,12,12,4,4,0.240983,0.013725,0.636364,1,0,1,4,B
G008,Softphone Rufnummernanzeige steuern (CLIR),llama3:70b,hybrid,0.0,0.0,0.0,,0.0,,107.4377,411,62,1,12,12,3,3,0.330727,-0.011196,0.484848,1,1,0,4,B
G009,Softphone Rufnummer fuer CLIR deaktivieren,llama3:70b,hybrid,0.0,0.0,0.0,,0.0,,143.2103,461,92,1,12,12,4,4,0.201145,0.040995,0.575758,1,0,0,4,B
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,llama3:70b,hybrid,0.25,0.1952,0.3333,3,1.0,,121.896,404,76,1,12,12,4,4,0.267894,0.004473,0.363636,1,0,1,4,C
