question_id,sample_index,run_label,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,embedding_model,chunk_strategy,chunk_size_tokens,chunk_overlap_tokens,reranker_enabled,index_base,error_bucket
G001_01,0,intfloat_e5_base_v2__semantic_overlap20__hybrid__noranker,Softphone Kennwort aendern,llama3:8b,hybrid,1.0,1.0,1.0,1,0.75,,3.7824,409,30,1,10,10,0,0,0.0,0.0,0.466667,1,0,0,2,intfloat/e5-base-v2,semantic_overlap20,420,84,0,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_intfloat_e5_base_v2_semantic_overlap20,C
G002_01,1,intfloat_e5_base_v2__semantic_overlap20__hybrid__noranker,Softphone Anmeldedaten speichern aktivieren,llama3:8b,hybrid,1.0,1.0,1.0,1,1.0,,3.9546,366,27,1,10,10,10,10,0.0,0.0,0.866667,1,0,0,2,intfloat/e5-base-v2,semantic_overlap20,420,84,0,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_intfloat_e5_base_v2_semantic_overlap20,C
G003_01,2,intfloat_e5_base_v2__semantic_overlap20__hybrid__noranker,Softphone Erstanmeldung mit DLS PIN,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,,4.0259,423,38,1,10,10,10,10,0.0,0.0,0.911111,1,0,0,2,intfloat/e5-base-v2,semantic_overlap20,420,84,0,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_intfloat_e5_base_v2_semantic_overlap20,C
G004_01,3,intfloat_e5_base_v2__semantic_overlap20__hybrid__noranker,Softphone vollstaendig beenden,llama3:8b,hybrid,0.6667,0.7654,1.0,1,0.8571,,3.9118,333,34,1,10,10,10,10,0.0,0.0,0.911111,1,0,0,2,intfloat/e5-base-v2,semantic_overlap20,420,84,0,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_intfloat_e5_base_v2_semantic_overlap20,C
G005_01,4,intfloat_e5_base_v2__semantic_overlap20__hybrid__noranker,Softphone Fusion Leiste Funktionen,llama3:8b,hybrid,1.0,0.6979,0.5,2,1.0,,3.8944,382,34,1,10,10,10,10,0.0,0.0,0.866667,1,0,1,4,intfloat/e5-base-v2,semantic_overlap20,420,84,0,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_intfloat_e5_base_v2_semantic_overlap20,C
G006_01,5,intfloat_e5_base_v2__semantic_overlap20__hybrid__noranker,Softphone praefiertes Endgeraet wechseln,llama3:8b,hybrid,0.6667,0.5307,0.5,2,0.8571,,3.996,389,31,1,10,10,10,10,0.0,0.0,0.955556,0,0,1,2,intfloat/e5-base-v2,semantic_overlap20,420,84,0,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_intfloat_e5_base_v2_semantic_overlap20,C
G007_01,6,intfloat_e5_base_v2__semantic_overlap20__hybrid__noranker,Softphone One Number Service konfigurieren,llama3:8b,hybrid,1.0,0.9747,1.0,1,1.0,,4.0122,449,35,1,10,10,10,10,0.0,0.0,0.377778,1,0,0,1,intfloat/e5-base-v2,semantic_overlap20,420,84,0,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_intfloat_e5_base_v2_semantic_overlap20,C
G008_01,7,intfloat_e5_base_v2__semantic_overlap20__hybrid__noranker,Softphone Rufnummernanzeige steuern (CLIR),llama3:8b,hybrid,0.5,0.1934,0.125,8,0.6667,,3.8803,326,30,1,10,10,10,10,0.0,0.0,0.822222,1,0,0,2,intfloat/e5-base-v2,semantic_overlap20,420,84,0,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_intfloat_e5_base_v2_semantic_overlap20,C
G009_01,8,intfloat_e5_base_v2__semantic_overlap20__hybrid__noranker,Softphone Rufnummer fuer CLIR deaktivieren,llama3:8b,hybrid,0.6667,0.6508,1.0,1,0.6667,,3.9263,373,34,1,10,10,10,10,0.0,0.0,0.733333,1,0,0,2,intfloat/e5-base-v2,semantic_overlap20,420,84,0,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_intfloat_e5_base_v2_semantic_overlap20,C
G010_01,9,intfloat_e5_base_v2__semantic_overlap20__hybrid__noranker,Softphone Rufnummernanzeige fuer Kontakte anpassen,llama3:8b,hybrid,1.0,0.6797,0.5,2,0.8571,,3.9686,394,30,1,10,10,10,10,0.0,0.0,0.955556,1,0,0,2,intfloat/e5-base-v2,semantic_overlap20,420,84,0,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_intfloat_e5_base_v2_semantic_overlap20,C
G011_01,10,intfloat_e5_base_v2__semantic_overlap20__hybrid__noranker,Softphone Konferenz planen,llama3:8b,hybrid,1.0,0.3869,0.2,5,0.8571,,3.8378,355,33,1,10,10,10,10,0.0,0.0,0.955556,1,0,0,2,intfloat/e5-base-v2,semantic_overlap20,420,84,0,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_intfloat_e5_base_v2_semantic_overlap20,C
G012_01,11,intfloat_e5_base_v2__semantic_overlap20__hybrid__noranker,HP Drucker Papierstau beheben,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,,4.0522,415,28,1,10,10,10,10,0.0,0.0,0.822222,1,0,0,2,intfloat/e5-base-v2,semantic_overlap20,420,84,0,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_intfloat_e5_base_v2_semantic_overlap20,C
