question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct
G001,Softphone Kennwort aendern,mistral:instruct,dense,1.0,1.0,1.0,1,0.5714,"90, self-service, tage",3.8135,370,30,0
G002,Softphone Anmeldedaten speichern aktivieren,mistral:instruct,dense,1.0,1.0,1.0,1,1.0,,3.8823,371,30,1
G003,Softphone Erstanmeldung mit DLS PIN,mistral:instruct,dense,1.0,1.0,1.0,1,0.8571,erstmalig,3.8841,427,30,1
G004,Softphone vollstaendig beenden,mistral:instruct,dense,1.0,1.0,1.0,1,1.0,,3.8098,388,31,1
G005,Softphone Fusion Leiste Funktionen,mistral:instruct,dense,1.0,1.0,1.0,1,0.0,favoriten,3.8202,385,22,1
G006,Softphone praefiertes Endgeraet wechseln,mistral:instruct,dense,1.0,1.0,1.0,1,0.0,"endgeraet, fusion",3.8258,363,24,1
G007,Softphone One Number Service konfigurieren,mistral:instruct,dense,0.8,0.8688,1.0,1,1.0,,3.9692,546,33,1
G008,Softphone Rufnummernanzeige steuern (CLIR),mistral:instruct,dense,1.0,1.0,1.0,1,0.0,rufnummer,3.8646,368,26,1
G009,Softphone Rufnummer fuer CLIR deaktivieren,mistral:instruct,dense,1.0,1.0,1.0,1,0.6667,"auswaehlen, geraet",3.8764,422,27,1
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,mistral:instruct,dense,1.0,0.9675,1.0,1,0.6667,"anruf, uebergeben",3.8259,362,22,1
G011,Softphone Konferenz planen,mistral:instruct,dense,1.0,1.0,1.0,1,0.0,moderator,3.8224,368,28,1
G012,HP Drucker Papierstau beheben,mistral:instruct,dense,1.0,1.0,1.0,1,0.8571,modul,3.8492,348,26,1
G013,HP Drucker Duplexmodul verwenden,mistral:instruct,dense,1.0,1.0,1.0,1,0.0,duplex,3.8324,335,23,1
G014,HP Drucker Patronen reinigen,mistral:instruct,dense,0.6667,0.7654,1.0,1,0.6667,"drucker, kontakte",3.8304,351,25,0
G015,Abwesenheitsagent in Clerk anlegen,mistral:instruct,dense,1.0,1.0,1.0,1,0.6667,"abwesenheit, periodisch",4.5505,929,24,0
G016,Outlook Ordner fuer Stellvertreter freigeben,mistral:instruct,dense,1.0,1.0,1.0,1,0.0,ordner,3.8104,322,26,1
G017,Raeume oder Ressourcen buchen,mistral:instruct,dense,0.0,0.0,0.0,,0.0,buchung,4.4791,1153,28,0
G018,Wie konfiguriere ich die Proxy-Einstellungen fuer agree21Internet manuell?,mistral:instruct,dense,1.0,1.0,1.0,1,0.0,webgateway,4.0646,466,26,1
G019,Welche Aufgaben uebernimmt das Atruvia Secure Webgateway laut Funktionsbeschreibung?,mistral:instruct,dense,1.0,0.4307,0.25,4,0.4,"filtern, malware, proxy",3.7709,337,20,1
G020,Welche Ports empfiehlt die LDAP-Anleitung fuer StartTLS und LDAPS?,mistral:instruct,dense,1.0,0.6309,0.5,2,1.0,,4.1887,888,25,1
G021,Welche Forms-Regeln gelten laut Spielregeln M365?,mistral:instruct,dense,0.0,0.0,0.0,,0.0,betriebsrat,2.7508,339,5,0
G022,Wie legt man Postfachregeln laut Anleitung in Outlook Online an?,mistral:instruct,dense,1.0,0.6934,0.5,2,0.0,"postfach, regeln",3.9991,476,33,1
G023,Wie aktiviert man Senden-von in Outlook laut Anleitung?,mistral:instruct,dense,1.0,1.0,1.0,1,1.0,,3.8747,515,29,0
G024,Wie erteilt man Outlook-Zugriff fuer Stellvertreter laut Guidance?,mistral:instruct,dense,0.0,0.0,0.0,,0.6667,"freigabe, hinzufuegen",3.611,225,25,1
G025,Wie erstellt man Screenshots mit Greenshot laut Anleitung?,mistral:instruct,dense,0.0,0.0,0.0,,0.0,screenshot,4.1796,778,28,1
