question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001,Softphone Kennwort aendern,llama3:8b,hybrid,1.0,1.0,1.0,1,0.5714,"90, self-service, tage",4.3066,747,31,1,10,10,4,4,0.267012,0.026676,0.2,1,0,0,2,C
G002,Softphone Anmeldedaten speichern aktivieren,llama3:8b,hybrid,1.0,1.0,1.0,1,1.0,,4.1871,568,27,1,10,10,8,8,0.274957,0.054154,0.733333,1,0,0,2,C
G003,Softphone Erstanmeldung mit DLS PIN,llama3:8b,hybrid,1.0,1.0,1.0,1,0.6667,"erstmalig, pin",4.0764,550,35,1,10,10,7,7,0.204455,-0.002387,0.777778,1,0,0,2,C
G004,Softphone vollstaendig beenden,llama3:8b,hybrid,1.0,0.9675,1.0,1,0.8571,symbol,3.7907,293,34,1,10,10,8,8,0.214675,-0.013185,0.644444,1,0,0,2,C
G005,Softphone Fusion Leiste Funktionen,llama3:8b,hybrid,1.0,1.0,1.0,1,1.0,,3.9479,352,36,1,10,10,10,10,0.182569,-0.034316,0.777778,1,0,1,4,C
G006,Softphone praefiertes Endgeraet wechseln,llama3:8b,hybrid,1.0,1.0,1.0,1,0.0,endgeraet,3.9136,299,35,0,10,10,10,10,0.284691,0.015672,0.422222,0,0,0,2,A
G007,Softphone One Number Service konfigurieren,llama3:8b,hybrid,0.8,0.8688,1.0,1,1.0,,4.3716,882,32,1,10,10,6,6,0.274542,0.017079,0.6,1,0,0,2,C
G008,Softphone Rufnummernanzeige steuern (CLIR),llama3:8b,hybrid,1.0,1.0,1.0,1,0.0,clir,3.9781,373,31,1,10,10,4,4,0.370121,0.000312,0.644444,1,0,0,1,C
G009,Softphone Rufnummer fuer CLIR deaktivieren,llama3:8b,hybrid,1.0,1.0,1.0,1,0.6667,"auswaehlen, endgeraet",4.3271,672,32,1,10,10,8,8,0.266676,0.06082,0.6,1,0,0,2,C
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,llama3:8b,hybrid,1.0,0.9675,1.0,1,0.0,kontakte,3.9014,300,28,1,10,10,9,9,0.328789,-0.007161,0.377778,1,0,1,3,C
G011,Softphone Konferenz planen,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,teilnehmer,4.0121,418,34,1,10,10,8,8,0.312278,0.010483,0.555556,1,0,1,2,C
