question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001,Softphone Kennwort aendern,llama3:8b,hybrid,0.0,0.0,0.0,,0.75,,5.8154,341,33,1,5,5,5,5,0.0,0.0,1.0,1,0,0,2,B
G002,Softphone Anmeldedaten speichern aktivieren,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,3.7658,372,31,1,5,5,5,5,0.0,0.0,0.6,1,0,0,2,B
G003,Softphone Erstanmeldung mit DLS PIN,llama3:8b,hybrid,0.0,0.0,0.0,,0.8571,,3.9679,412,38,1,5,5,4,4,0.0,0.0,0.6,1,0,0,2,B
G004,Softphone vollstaendig beenden,llama3:8b,hybrid,0.0,0.0,0.0,,0.8571,,3.8641,333,34,1,5,5,5,5,0.0,0.0,0.8,1,0,0,2,B
G005,Softphone Fusion Leiste Funktionen,llama3:8b,hybrid,0.0,0.0,0.0,,0.6667,,3.9349,438,35,1,5,5,5,5,0.0,0.0,0.4,1,0,0,1,B
G006,Softphone praefiertes Endgeraet wechseln,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,3.9689,374,31,1,5,5,5,5,0.0,0.0,0.8,1,0,1,2,B
G007,Softphone One Number Service konfigurieren,llama3:8b,hybrid,0.0,0.0,0.0,,0.0,,3.9468,429,36,1,5,5,5,5,0.0,0.0,0.0,1,0,0,1,B
G008,Softphone Rufnummernanzeige steuern (CLIR),llama3:8b,hybrid,0.0,0.0,0.0,,0.0,,3.9283,326,36,1,5,5,5,5,0.0,0.0,0.4,1,0,0,2,B
G009,Softphone Rufnummer fuer CLIR deaktivieren,llama3:8b,hybrid,0.0,0.0,0.0,,0.6667,,3.9622,394,35,0,5,5,5,5,0.0,0.0,0.4,1,0,0,2,B
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,llama3:8b,hybrid,0.0,0.0,0.0,,0.4,,3.9809,394,29,0,5,5,5,5,0.0,0.0,0.6,0,0,0,2,B
G011,Softphone Konferenz planen,llama3:8b,hybrid,0.0,0.0,0.0,,0.6667,,3.9344,355,32,1,5,5,5,5,0.0,0.0,1.0,0,0,0,2,B
G012,HP Drucker Papierstau beheben,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,3.9867,365,30,1,5,5,5,5,0.0,0.0,1.0,1,0,0,2,B
G013,HP Drucker Duplexmodul verwenden,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,3.9637,372,32,0,5,5,4,4,0.0,0.0,0.6,1,0,1,4,B
G014,HP Drucker Patronen reinigen,llama3:8b,hybrid,0.0,0.0,0.0,,0.0,,3.9239,346,29,1,5,5,4,4,0.0,0.0,1.0,0,0,0,2,B
G015,Abwesenheitsagent in Clerk anlegen,llama3:8b,hybrid,1.0,0.9197,1.0,1,0.8571,,3.9689,393,32,1,5,5,5,5,0.0,0.0,1.0,1,0,0,2,C
G016,Outlook Ordner fuer Stellvertreter freigeben,llama3:8b,hybrid,0.0,0.0,0.0,,0.8571,,3.8785,276,34,1,5,5,5,5,0.0,0.0,1.0,1,0,0,2,B
G017,Raeume oder Ressourcen buchen,llama3:8b,hybrid,0.0,0.0,0.0,,0.8571,,3.8734,364,38,1,5,5,5,5,0.0,0.0,0.8,1,0,0,2,B
G018,Wie konfiguriere ich die Proxy-Einstellungen fuer agree21Internet manuell?,llama3:8b,hybrid,0.0,0.0,0.0,15,0.6667,,4.098,570,26,1,5,5,5,5,0.0,0.0,0.6,1,0,0,2,C
G019,Welche Aufgaben uebernimmt das Atruvia Secure Webgateway laut Funktionsbeschreibung?,llama3:8b,hybrid,0.0,0.0,0.0,8,0.4,,4.0758,436,33,1,5,5,5,5,0.0,0.0,0.8,1,0,0,1,C
G020,Welche Ports empfiehlt die LDAP-Anleitung fuer StartTLS und LDAPS?,llama3:8b,hybrid,0.0,0.0,0.0,,0.8571,,3.956,395,31,0,5,5,3,3,0.0,0.0,0.4,1,0,0,2,B
G021,Welche Forms-Regeln gelten laut Spielregeln M365?,llama3:8b,hybrid,0.0,0.0,0.0,,0.8571,,3.8987,385,31,1,5,5,4,4,0.0,0.0,1.0,1,0,1,3,B
G022,Wie legt man Postfachregeln laut Anleitung in Outlook Online an?,llama3:8b,hybrid,0.0,0.0,0.0,,0.8571,,4.1283,564,34,1,5,5,5,5,0.0,0.0,1.0,1,0,0,2,B
G023,Wie aktiviert man Senden-von in Outlook laut Anleitung?,llama3:8b,hybrid,0.0,0.0,0.0,,0.8571,,3.9473,395,40,1,5,5,4,4,0.0,0.0,0.8,1,0,0,2,B
G024,Wie erteilt man Outlook-Zugriff fuer Stellvertreter laut Guidance?,llama3:8b,hybrid,0.0,0.0,0.0,,0.6667,,3.9368,393,29,1,5,5,5,5,0.0,0.0,1.0,1,0,0,1,B
G025,Wie erstellt man Screenshots mit Greenshot laut Anleitung?,llama3:8b,hybrid,0.0,0.0,0.0,,0.6667,,4.0125,466,32,1,5,5,3,3,0.0,0.0,0.8,1,0,0,2,B
