question_id,sample_index,run_label,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,embedding_model,chunk_strategy,chunk_size_tokens,chunk_overlap_tokens,reranker_enabled,index_base,error_bucket
G001_01,0,,Softphone Kennwort aendern,llama3:8b,hybrid,1.0,1.0,1.0,1,0.5714,,3.8143,409,31,0,5,5,5,5,0.0,0.0,1.0,0,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,A
G002_01,1,,Softphone Anmeldedaten speichern aktivieren,llama3:8b,hybrid,1.0,1.0,1.0,1,1.0,,3.8822,372,30,0,5,5,5,5,0.0,0.0,0.6,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,A
G003_01,2,,Softphone Erstanmeldung mit DLS PIN,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,,3.9269,409,38,1,5,5,4,4,0.0,0.0,0.6,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G004_01,3,,Softphone vollstaendig beenden,llama3:8b,hybrid,0.6667,0.7654,1.0,1,0.8571,,3.9249,335,34,0,5,5,5,5,0.0,0.0,0.8,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,A
G005_01,4,,Softphone Fusion Leiste Funktionen,llama3:8b,hybrid,1.0,0.9469,1.0,1,0.6667,,3.965,438,33,0,5,5,5,5,0.0,0.0,0.4,1,0,0,1,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,A
G006_01,5,,Softphone praefiertes Endgeraet wechseln,llama3:8b,hybrid,0.6667,0.7039,1.0,1,0.8571,,3.9101,360,31,0,5,5,5,5,0.0,0.0,0.8,0,0,1,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,A
G007_01,6,,Softphone One Number Service konfigurieren,llama3:8b,hybrid,0.6,0.7227,1.0,1,0.4,,4.0569,429,36,1,5,5,5,5,0.0,0.0,0.0,1,0,0,1,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G008_01,7,,Softphone Rufnummernanzeige steuern (CLIR),llama3:8b,hybrid,0.0,0.0,0.0,7,0.4,,3.9197,328,36,0,5,5,5,5,0.0,0.0,0.4,0,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,A
G009_01,8,,Softphone Rufnummer fuer CLIR deaktivieren,llama3:8b,hybrid,0.3333,0.4693,1.0,1,0.6667,,3.969,382,35,0,5,5,5,5,0.0,0.0,0.4,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,A
G010_01,9,,Softphone Rufnummernanzeige fuer Kontakte anpassen,llama3:8b,hybrid,0.6667,0.7039,1.0,1,0.6667,,3.9128,331,30,0,5,5,5,5,0.0,0.0,0.6,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,A
G011_01,10,,Softphone Konferenz planen,llama3:8b,hybrid,1.0,0.3869,0.2,5,0.6667,,3.8902,355,29,0,5,5,5,5,0.0,0.0,1.0,0,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,A
G012_01,11,,HP Drucker Papierstau beheben,llama3:8b,hybrid,1.0,1.0,1.0,1,1.0,,3.9441,365,28,1,5,5,5,5,0.0,0.0,1.0,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G013_01,12,,HP Drucker Duplexmodul verwenden,llama3:8b,hybrid,0.6667,0.5307,0.5,2,1.0,,3.9474,372,32,0,5,5,4,4,0.0,0.0,0.6,1,0,1,4,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,A
G014_01,13,,HP Drucker Patronen reinigen,llama3:8b,hybrid,0.6667,0.6714,1.0,1,0.6667,,3.9088,346,29,0,5,5,4,4,0.0,0.0,1.0,0,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,A
G015_01,14,,Abwesenheitsagent in Clerk anlegen,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,,3.9376,393,32,0,5,5,5,5,0.0,0.0,1.0,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,A
G016_01,15,,Outlook Ordner fuer Stellvertreter freigeben,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,,3.8743,276,34,0,5,5,5,5,0.0,0.0,1.0,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,A
G017_01,16,,Raeume oder Ressourcen buchen,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,,3.965,364,36,1,5,5,5,5,0.0,0.0,0.8,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G018_01,17,,Wie konfiguriere ich die Proxy-Einstellungen fuer agree21Internet manuell?,llama3:8b,hybrid,1.0,0.6309,0.5,2,0.6667,,4.1535,570,28,1,5,5,5,5,0.0,0.0,0.6,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G019_01,18,,Welche Aufgaben uebernimmt das Atruvia Secure Webgateway laut Funktionsbeschreibung?,llama3:8b,hybrid,1.0,0.5,0.3333,3,0.4,,4.0413,436,34,0,5,5,5,5,0.0,0.0,0.8,1,0,0,1,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,A
G020_01,19,,Welche Ports empfiehlt die LDAP-Anleitung fuer StartTLS und LDAPS?,llama3:8b,hybrid,1.0,1.0,1.0,1,0.6667,,3.9869,395,32,0,5,5,3,3,0.0,0.0,0.4,1,0,1,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,A
G021_01,20,,Welche Forms-Regeln gelten laut Spielregeln M365?,llama3:8b,hybrid,1.0,0.5,0.3333,3,0.8571,,3.996,385,31,0,5,5,4,4,0.0,0.0,1.0,1,0,1,3,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,A
G022_01,21,,Wie legt man Postfachregeln laut Anleitung in Outlook Online an?,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,,4.0825,564,34,0,5,5,5,5,0.0,0.0,1.0,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,A
G023_01,22,,Wie aktiviert man Senden-von in Outlook laut Anleitung?,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,,3.9191,395,40,1,5,5,4,4,0.0,0.0,0.8,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G024_01,23,,Wie erteilt man Outlook-Zugriff fuer Stellvertreter laut Guidance?,llama3:8b,hybrid,0.0,0.0,0.0,,0.6667,,3.9472,393,29,0,5,5,5,5,0.0,0.0,1.0,1,0,0,1,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,B
G025_01,24,,Wie erstellt man Screenshots mit Greenshot laut Anleitung?,llama3:8b,hybrid,0.0,0.0,0.0,,0.6667,,4.0947,466,33,0,5,5,3,3,0.0,0.0,0.8,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,B
G026_01,25,,Welche Abwesenheitsarten mussen Mitarbeitende im Clerk-Abwesenheitsagenten eintragen und welche Schritte sind fur die Anlage einer periodischen Serie inklusive Namen und Zeitraum notwendig?,llama3:8b,hybrid,0.5,0.3869,0.5,2,0.4,,4.0185,400,28,1,5,5,3,3,0.0,0.0,0.2,1,0,0,1,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G027_01,26,,Wie werden im Clerk-Abwesenheitsagenten halbtagige Abwesenheiten konfiguriert und welche Optionen sollten bei einer wochentlich wiederkehrenden Teilzeitabwesenheit gesetzt werden?,llama3:8b,hybrid,0.5,0.3869,0.5,2,0.4,,4.231,533,30,0,5,5,4,4,0.0,0.0,0.4,1,0,0,1,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,A
G028_01,27,,"Welche Einstellungen sind in Outlook erforderlich, damit sowohl neue als auch bereits bestehende Ordner automatisch fur Stellvertreter freigegeben sind?",llama3:8b,hybrid,0.0,0.0,0.0,,0.8571,,3.9531,292,28,0,5,5,5,5,0.0,0.0,0.6,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,B
