question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001,Softphone Kennwort aendern,llama3:8b,hybrid,0.25,0.1089,0.0909,11,1.0,,6.2997,936,84,1,12,12,0,0,5.728184,5.557562,0.30303,1,0,1,5,C
G002,Softphone Anmeldedaten speichern aktivieren,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,4.8192,1087,34,0,12,12,0,0,13.538064,12.801033,-0.030303,1,0,1,4,B
G003,Softphone Erstanmeldung mit DLS PIN,llama3:8b,hybrid,0.0,0.0,0.0,38,1.0,,5.6068,818,61,0,12,12,0,0,5.698438,5.380668,-0.060606,1,0,1,5,A
G004,Softphone vollstaendig beenden,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,6.2229,816,73,0,12,12,0,0,5.698438,5.380668,-0.060606,1,0,1,4,B
G005,Softphone Fusion Leiste Funktionen,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,5.3992,889,47,0,12,12,0,0,8.022989,7.993176,0.363636,1,0,0,4,B
G006,Softphone praefiertes Endgeraet wechseln,llama3:8b,hybrid,0.0,0.0,0.0,,0.8571,,5.7512,817,63,0,12,12,0,0,5.698438,5.380668,-0.060606,0,0,1,4,B
G007,Softphone One Number Service konfigurieren,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,5.1774,1498,46,0,12,12,0,0,11.330431,10.842565,0.090909,1,0,1,4,B
G008,Softphone Rufnummernanzeige steuern (CLIR),llama3:8b,hybrid,0.0,0.0,0.0,,0.0,,6.053,817,59,0,12,12,0,0,5.698438,5.380668,-0.060606,1,0,1,4,B
G009,Softphone Rufnummer fuer CLIR deaktivieren,llama3:8b,hybrid,0.0,0.0,0.0,,0.0,,4.6623,818,33,0,12,12,0,0,5.698438,5.380668,-0.060606,1,0,1,4,B
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,llama3:8b,hybrid,0.0,0.0,0.0,39,0.0,,6.3357,818,62,0,12,12,0,0,5.698438,5.380668,-0.060606,1,0,1,4,A
G011,Softphone Konferenz planen,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,4.7642,816,36,0,12,12,0,0,5.698438,5.380668,-0.060606,1,0,1,4,B
G012,HP Drucker Papierstau beheben,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,5.13,1020,42,0,12,12,0,0,13.044532,12.539262,-0.181818,1,0,1,4,B
G013,HP Drucker Duplexmodul verwenden,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,4.7258,1266,32,0,12,12,0,0,7.328698,6.944343,-0.030303,1,0,1,4,B
G014,HP Drucker Patronen reinigen,llama3:8b,hybrid,0.0,0.0,0.0,,0.0,,4.3305,732,31,0,12,3,9,0,16.511983,16.62201,0.030303,0,0,1,4,B
G015,Abwesenheitsagent in Clerk anlegen,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,4.4006,817,25,0,12,12,0,0,5.698438,5.380668,-0.060606,1,0,1,4,B
G016,Outlook Ordner fuer Stellvertreter freigeben,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,6.4443,818,65,0,12,12,0,0,5.698438,5.380668,-0.060606,1,0,1,4,B
G017,Raeume oder Ressourcen buchen,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,5.7313,817,63,0,12,12,0,0,5.698438,5.380668,-0.060606,1,0,1,4,B
G018,Wie konfiguriere ich die Proxy-Einstellungen fuer agree21Internet manuell?,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,5.8159,943,66,0,12,12,0,0,5.698438,5.380668,-0.060606,1,0,1,3,B
G019,Welche Aufgaben uebernimmt das Atruvia Secure Webgateway laut Funktionsbeschreibung?,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,5.1902,823,47,0,12,12,0,0,5.698438,5.380668,-0.060606,1,0,1,1,B
G020,Welche Ports empfiehlt die LDAP-Anleitung fuer StartTLS und LDAPS?,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,5.0727,823,43,0,12,12,0,0,5.698438,5.380668,-0.060606,1,0,1,4,B
G021,Welche Forms-Regeln gelten laut Spielregeln M365?,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,6.4742,820,79,0,12,12,0,0,5.698438,5.380668,-0.060606,1,0,1,4,B
G022,Wie legt man Postfachregeln laut Anleitung in Outlook Online an?,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,6.4362,825,80,0,12,12,0,0,5.698438,5.380668,-0.060606,1,0,1,4,B
