question_id,sample_index,run_label,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,embedding_model,chunk_strategy,chunk_size_tokens,chunk_overlap_tokens,reranker_enabled,index_base,error_bucket
G001_01,0,sentence_transformers_all_minilm_l6_v2__fixed_500__bm25__reranker,Softphone Kennwort aendern,llama3:8b,bm25,1.0,1.0,1.0,1,0.5714,,6.0909,657,31,1,10,10,0,0,0.267796,0.02638,0.6,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,C
G002_01,1,sentence_transformers_all_minilm_l6_v2__fixed_500__bm25__reranker,Softphone Anmeldedaten speichern aktivieren,llama3:8b,bm25,1.0,1.0,1.0,1,0.8571,,3.7828,547,31,1,10,10,0,0,0.275288,0.026021,0.688889,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,C
G003_01,2,sentence_transformers_all_minilm_l6_v2__fixed_500__bm25__reranker,Softphone Erstanmeldung mit DLS PIN,llama3:8b,bm25,1.0,1.0,1.0,1,0.6667,,4.0566,730,35,1,10,10,0,0,0.204649,-0.00269,0.555556,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,C
G004_01,3,sentence_transformers_all_minilm_l6_v2__fixed_500__bm25__reranker,Softphone vollstaendig beenden,llama3:8b,bm25,1.0,1.0,1.0,1,0.8571,,3.8478,372,34,1,10,10,0,0,0.214857,-0.051419,0.466667,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,C
G005_01,4,sentence_transformers_all_minilm_l6_v2__fixed_500__bm25__reranker,Softphone Fusion Leiste Funktionen,llama3:8b,bm25,1.0,1.0,1.0,1,0.8571,,3.9501,366,32,1,10,10,0,0,0.204674,-0.06932,0.644444,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,C
G006_01,5,sentence_transformers_all_minilm_l6_v2__fixed_500__bm25__reranker,Softphone praefiertes Endgeraet wechseln,llama3:8b,bm25,1.0,1.0,1.0,1,0.8571,,3.9989,400,33,1,10,10,0,0,0.287927,0.034612,0.511111,1,0,1,2,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,C
G007_01,6,sentence_transformers_all_minilm_l6_v2__fixed_500__bm25__reranker,Softphone One Number Service konfigurieren,llama3:8b,bm25,0.8,0.8688,1.0,1,0.6667,,4.0911,617,32,1,10,10,0,0,0.267925,0.006674,0.822222,1,0,1,2,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,C
G008_01,7,sentence_transformers_all_minilm_l6_v2__fixed_500__bm25__reranker,Softphone Rufnummernanzeige steuern (CLIR),llama3:8b,bm25,1.0,1.0,1.0,1,0.4,,3.9733,411,30,1,10,10,0,0,0.361958,-0.001606,0.422222,1,1,0,1,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,OK
G009_01,8,sentence_transformers_all_minilm_l6_v2__fixed_500__bm25__reranker,Softphone Rufnummer fuer CLIR deaktivieren,llama3:8b,bm25,1.0,1.0,1.0,1,0.6667,,4.0512,465,34,1,10,10,0,0,0.267443,0.041805,0.466667,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,C
G010_01,9,sentence_transformers_all_minilm_l6_v2__fixed_500__bm25__reranker,Softphone Rufnummernanzeige fuer Kontakte anpassen,llama3:8b,bm25,1.0,0.9675,1.0,1,0.4,,3.97,405,32,1,10,10,0,0,0.326355,-0.019992,0.422222,1,1,0,1,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,OK
G011_01,10,sentence_transformers_all_minilm_l6_v2__fixed_500__bm25__reranker,Softphone Konferenz planen,llama3:8b,bm25,1.0,1.0,1.0,1,0.6667,,3.9151,392,31,1,10,10,0,0,0.304276,-0.015291,0.644444,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,C
G012_01,11,sentence_transformers_all_minilm_l6_v2__fixed_500__bm25__reranker,HP Drucker Papierstau beheben,llama3:8b,bm25,1.0,1.0,1.0,1,0.8571,,3.998,398,28,1,10,10,0,0,0.284834,0.047654,0.6,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,C
G013_01,12,sentence_transformers_all_minilm_l6_v2__fixed_500__bm25__reranker,HP Drucker Duplexmodul verwenden,llama3:8b,bm25,0.6667,0.7039,1.0,1,0.6667,,3.8999,332,31,1,10,10,0,0,0.29538,0.078657,0.022222,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,C
