question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001,Softphone Kennwort aendern,llama3:8b,hybrid,1.0,1.0,1.0,1,0.5714,,4.146,758,30,1,10,10,2,2,0.267915,0.026855,0.288889,1,0,0,2,C
G002,Softphone Anmeldedaten speichern aktivieren,llama3:8b,hybrid,1.0,1.0,1.0,1,1.0,,3.8987,375,29,1,10,10,4,4,0.274957,0.024565,0.777778,1,0,0,2,C
G003,Softphone Erstanmeldung mit DLS PIN,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,,3.9719,447,38,1,10,10,2,2,0.204649,-0.002321,0.377778,1,0,0,2,C
G004,Softphone vollstaendig beenden,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,,3.9103,435,34,1,10,10,4,4,0.214978,-0.050988,0.422222,1,0,0,2,C
G005,Softphone Fusion Leiste Funktionen,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,,3.9731,410,34,1,10,10,6,6,0.182914,-0.074824,0.733333,1,1,0,2,OK
G006,Softphone praefiertes Endgeraet wechseln,llama3:8b,hybrid,1.0,1.0,1.0,1,1.0,,3.9529,374,32,1,10,10,9,9,0.285045,0.016037,0.422222,1,0,0,2,C
G007,Softphone One Number Service konfigurieren,llama3:8b,hybrid,0.8,0.8688,1.0,1,1.0,,4.3126,769,36,1,10,10,6,6,0.274707,0.017175,0.6,1,0,0,2,C
G008,Softphone Rufnummernanzeige steuern (CLIR),llama3:8b,hybrid,1.0,1.0,1.0,1,0.0,,3.9974,374,33,1,10,10,3,3,0.370121,0.000312,0.244444,1,0,0,2,C
G009,Softphone Rufnummer fuer CLIR deaktivieren,llama3:8b,hybrid,1.0,1.0,1.0,1,0.0,,4.0742,475,33,1,10,10,8,8,0.266676,-0.016741,0.244444,1,0,0,2,C
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,llama3:8b,hybrid,1.0,0.9675,1.0,1,0.6667,,3.9727,396,31,1,10,10,9,9,0.329128,-0.024366,0.2,1,0,0,2,C
G011,Softphone Konferenz planen,llama3:8b,hybrid,1.0,1.0,1.0,1,0.6667,,3.9362,392,32,1,10,10,7,7,0.312406,-0.012467,0.644444,1,0,0,2,C
G012,HP Drucker Papierstau beheben,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,,3.9917,398,28,1,10,10,10,10,0.285176,0.051313,0.555556,1,0,0,2,C
G013,HP Drucker Duplexmodul verwenden,llama3:8b,hybrid,1.0,0.9675,1.0,1,0.6667,,4.0569,384,34,1,10,10,7,7,0.295873,0.087903,0.066667,1,0,0,2,C
G014,HP Drucker Patronen reinigen,llama3:8b,hybrid,1.0,1.0,1.0,1,0.0,,3.9399,400,29,1,10,10,9,9,0.334996,-0.123134,0.288889,1,1,0,1,OK
G015,Abwesenheitsagent in Clerk anlegen,llama3:8b,hybrid,1.0,1.0,1.0,1,1.0,,4.6823,1344,27,0,10,10,4,4,0.191948,-0.051787,0.555556,1,0,1,4,A
G016,Outlook Ordner fuer Stellvertreter freigeben,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,,3.9681,416,32,1,10,10,3,3,0.17787,-0.043839,0.555556,1,0,0,2,C
G017,Raeume oder Ressourcen buchen,llama3:8b,hybrid,1.0,0.6309,0.5,2,0.8571,,3.9463,386,34,1,10,5,10,5,0.229436,0.056503,0.822222,1,0,0,2,C
G018,Wie konfiguriere ich die Proxy-Einstellungen fuer agree21Internet manuell?,llama3:8b,hybrid,1.0,1.0,1.0,1,0.6667,,4.0756,432,32,1,10,10,9,9,0.308222,-0.027596,0.333333,1,0,0,1,C
G019,Welche Aufgaben uebernimmt das Atruvia Secure Webgateway laut Funktionsbeschreibung?,llama3:8b,hybrid,1.0,0.5,0.3333,3,0.4,,4.0724,457,34,1,10,10,10,10,0.200529,0.170796,0.288889,1,0,0,1,C
G020,Welche Ports empfiehlt die LDAP-Anleitung fuer StartTLS und LDAPS?,llama3:8b,hybrid,1.0,0.6309,0.5,2,1.0,,4.2094,779,31,0,10,10,2,2,0.324911,0.028399,0.422222,1,0,1,3,A
G021,Welche Forms-Regeln gelten laut Spielregeln M365?,llama3:8b,hybrid,0.0,0.0,0.0,,0.4,,4.0401,693,35,0,10,10,0,0,3.323676,3.316073,0.244444,1,0,0,1,B
G022,Wie legt man Postfachregeln laut Anleitung in Outlook Online an?,llama3:8b,hybrid,1.0,0.6934,0.5,2,0.6667,,4.4887,989,38,1,10,10,4,4,0.27904,0.036646,0.377778,1,0,0,1,C
G023,Wie aktiviert man Senden-von in Outlook laut Anleitung?,llama3:8b,hybrid,1.0,1.0,1.0,1,0.6667,,4.2067,649,35,1,10,10,2,2,0.219968,0.038849,0.2,1,0,0,2,C
G024,Wie erteilt man Outlook-Zugriff fuer Stellvertreter laut Guidance?,llama3:8b,hybrid,0.0,0.0,0.0,,0.6667,,4.2863,786,29,1,10,10,1,1,0.270658,0.027066,0.244444,1,0,0,1,B
G025,Wie erstellt man Screenshots mit Greenshot laut Anleitung?,llama3:8b,hybrid,0.0,0.0,0.0,,0.8571,,4.0218,427,34,1,10,10,1,1,0.287837,0.028784,0.333333,1,0,0,2,B
G026,Welche Abwesenheitsarten mussen Mitarbeitende im Clerk-Abwesenheitsagenten eintragen und welche Schritte sind fur die Anlage einer periodischen Serie inklusive Namen und Zeitraum notwendig?,llama3:8b,hybrid,1.0,0.9197,1.0,1,0.4,,4.0498,503,28,1,10,10,5,5,0.367605,0.079639,0.644444,1,0,0,1,C
G027,Wie werden im Clerk-Abwesenheitsagenten halbtagige Abwesenheiten konfiguriert und welche Optionen sollten bei einer wochentlich wiederkehrenden Teilzeitabwesenheit gesetzt werden?,llama3:8b,hybrid,0.5,0.3066,0.3333,3,0.4,,3.9799,368,27,0,10,10,8,8,0.284594,0.012397,0.422222,1,0,0,1,A
G028,"Welche Einstellungen sind in Outlook erforderlich, damit sowohl neue als auch bereits bestehende Ordner automatisch fur Stellvertreter freigegeben sind?",llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,4.3057,901,27,1,10,10,6,6,0.205182,0.047533,0.688889,1,0,0,2,B
G029,"Welche Schritte sind laut PDF-Crypt-Anleitung erforderlich, um Kundenpassworter einzusehen und anschliessend ein neues Passwort zu vergeben?",llama3:8b,hybrid,1.0,1.0,1.0,1,1.0,,4.1255,533,34,0,10,10,4,4,0.264707,0.021021,0.377778,1,0,1,4,A
G030,"Welche Schritte verlangt die Anleitung, um Postfachregeln serverseitig uber Outlook Online einzurichten, und wie wird die Regel anschliessend aktiviert?",llama3:8b,hybrid,0.3333,0.2961,0.5,2,0.8571,,4.229,569,33,1,10,10,8,8,0.330967,0.028954,0.511111,1,0,0,2,C
G031,Welche Varianten zum Buchen eines Besprechungsraums beschreibt die Ressourcendokumentation und welche Schritte sind fur die Kalendergruppe notwendig?,llama3:8b,hybrid,0.0,0.0,0.0,,0.0,,4.0356,442,37,1,10,10,9,9,0.420651,0.009066,0.6,1,0,0,2,B
G032,Welche Hinweise und Warnungen nennt das HP-Druckerhandbuch fur den Umgang mit dem Gerat und welche Leistungsmerkmale werden hervorgehoben?,llama3:8b,hybrid,0.3333,0.2961,0.5,2,0.6667,,3.9517,399,32,1,10,10,10,10,0.310731,0.000748,0.155556,1,0,0,2,C
G033,Welche technischen Komponenten des Atruvia Secure Webgateway werden genannt und welche Filter- sowie SSL-Analysefunktionen stehen laut Dokumentation zur Verfugung?,llama3:8b,hybrid,0.3333,0.1672,0.1667,6,0.0,,4.2507,582,36,1,10,10,10,10,0.288003,0.245159,0.244444,1,0,0,2,C
G034,"Welche Schritte sind laut LDAP-Anleitung notwendig, um die Vertrauensstellung zu aktivieren und das Root-Zertifikat zu installieren?",llama3:8b,hybrid,0.3333,0.2961,0.5,2,0.8571,,4.1693,740,31,1,10,10,5,5,0.349775,0.027712,0.377778,1,0,1,3,C
G035,Wie lassen sich laut Anleitung die Firefox-Lesezeichen vor dem Import nach Edge bereinigen und welche Schritte sind fur den erneuten Import erforderlich?,llama3:8b,hybrid,1.0,1.0,1.0,1,1.0,,4.2893,640,33,0,10,10,6,6,0.263664,0.026366,0.422222,1,0,1,3,A
G036,Wie erstellt man im agree21Voice Softphone ein benutzerdefiniertes Anrufumleitungsprofil und welche Optionen fur Regeln und Prasenzstatus konnen festgelegt werden?,llama3:8b,hybrid,0.6667,0.4982,0.5,2,0.0,,4.0215,405,32,1,10,10,10,10,0.30498,0.207292,0.466667,1,0,0,1,C
G037,"Welche Voraussetzungen mussen im agree21Voice Softphone erfullt sein, damit eine einfache Anrufumleitung wirksam bleibt, und wie deaktiviert man sie wieder?",llama3:8b,hybrid,0.0,0.0,0.0,25,0.4,,3.9543,410,30,1,10,10,10,10,0.411272,0.038777,-0.155556,1,0,0,1,C
G038,Wie erfolgt die Administration des Atruvia Secure Webgateway in SAGA und wie konnen Internetprofile kopiert und angepasst werden?,llama3:8b,hybrid,0.6667,0.6173,1.0,1,0.6667,,4.0526,478,31,1,10,10,10,10,0.246941,0.124207,0.244444,1,0,0,2,C
