question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001_01,Softphone Kennwort aendern,gemma:2b,hybrid,1.0,1.0,1.0,1,0.5714,,6.9998,758,23,1,10,10,2,2,0.267915,0.026855,0.288889,0,0,0,7,C
G002_01,Softphone Anmeldedaten speichern aktivieren,gemma:2b,hybrid,1.0,1.0,1.0,1,0.8571,,2.6296,375,27,1,10,10,4,4,0.274957,0.024565,0.777778,0,0,1,4,C
G003_01,Softphone Erstanmeldung mit DLS PIN,gemma:2b,hybrid,1.0,1.0,1.0,1,0.8571,,2.9389,445,27,1,10,10,2,2,0.204649,-0.002321,0.377778,0,0,0,4,C
G004_01,Softphone vollstaendig beenden,gemma:2b,hybrid,1.0,1.0,1.0,1,0.6667,,2.6143,435,9,1,10,10,4,4,0.214978,-0.050988,0.422222,0,0,0,2,C
G005_01,Softphone Fusion Leiste Funktionen,gemma:2b,hybrid,1.0,1.0,1.0,1,0.6667,,2.9476,410,22,1,10,10,6,6,0.182914,-0.074824,0.733333,0,0,0,5,C
G006_01,Softphone praefiertes Endgeraet wechseln,gemma:2b,hybrid,1.0,1.0,1.0,1,0.6667,,2.9809,374,35,1,10,10,9,9,0.285045,0.016037,0.422222,0,0,0,4,C
G007_01,Softphone One Number Service konfigurieren,gemma:2b,hybrid,0.8,0.8688,1.0,1,0.0,,3.1392,769,12,1,10,10,6,6,0.274707,0.017175,0.6,0,0,0,0,C
G008_01,Softphone Rufnummernanzeige steuern (CLIR),gemma:2b,hybrid,1.0,1.0,1.0,1,0.4,,2.7255,374,15,1,10,10,3,3,0.370121,0.000312,0.244444,0,0,0,2,C
G009_01,Softphone Rufnummer fuer CLIR deaktivieren,gemma:2b,hybrid,1.0,1.0,1.0,1,0.8571,,2.726,475,12,1,10,10,8,8,0.266676,-0.016741,0.244444,0,0,1,3,C
G010_01,Softphone Rufnummernanzeige fuer Kontakte anpassen,gemma:2b,hybrid,1.0,0.9675,1.0,1,0.4,,2.9722,396,37,1,10,10,9,9,0.329128,-0.024366,0.2,0,0,0,2,C
G011_01,Softphone Konferenz planen,gemma:2b,hybrid,1.0,1.0,1.0,1,0.4,,2.9923,393,29,1,10,10,7,7,0.312406,-0.012467,0.644444,0,0,0,8,C
G012_01,HP Drucker Papierstau beheben,gemma:2b,hybrid,1.0,1.0,1.0,1,0.8571,,2.7948,398,8,1,10,10,10,10,0.285176,0.051313,0.555556,0,0,0,7,C
G013_01,HP Drucker Duplexmodul verwenden,gemma:2b,hybrid,1.0,0.9675,1.0,1,0.4,,2.9911,384,21,1,10,10,7,7,0.295873,0.087903,0.066667,0,0,0,8,C
G014_01,HP Drucker Patronen reinigen,gemma:2b,hybrid,1.0,1.0,1.0,1,0.6667,,2.9658,400,37,1,10,10,9,9,0.334996,-0.123134,0.288889,0,0,0,3,C
G015_01,Abwesenheitsagent in Clerk anlegen,gemma:2b,hybrid,1.0,1.0,1.0,1,0.6667,,2.8892,1344,15,0,10,10,4,4,0.191948,-0.051787,0.555556,0,0,0,2,A
G016_01,Outlook Ordner fuer Stellvertreter freigeben,gemma:2b,hybrid,1.0,1.0,1.0,1,0.8571,,2.823,416,27,1,10,10,3,3,0.17787,-0.043839,0.555556,0,0,0,4,C
G017_01,Raeume oder Ressourcen buchen,gemma:2b,hybrid,1.0,0.6309,0.5,2,0.6667,,2.9046,386,26,1,10,5,10,5,0.229436,0.056503,0.822222,0,0,0,2,C
G018_01,Wie konfiguriere ich die Proxy-Einstellungen fuer agree21Internet manuell?,gemma:2b,hybrid,1.0,1.0,1.0,1,1.0,,3.0608,432,25,1,10,10,9,9,0.308222,-0.027596,0.333333,0,0,0,3,C
G019_01,Welche Aufgaben uebernimmt das Atruvia Secure Webgateway laut Funktionsbeschreibung?,gemma:2b,hybrid,1.0,0.5,0.3333,3,0.8571,,2.5498,457,3,1,10,10,10,10,0.200529,0.170796,0.288889,1,0,0,3,C
G020_01,Welche Ports empfiehlt die LDAP-Anleitung fuer StartTLS und LDAPS?,gemma:2b,hybrid,1.0,0.6309,0.5,2,1.0,,2.6774,779,4,1,10,10,2,2,0.324911,0.028399,0.422222,1,0,0,4,C
G021_01,Welche Forms-Regeln gelten laut Spielregeln M365?,gemma:2b,hybrid,0.0,0.0,0.0,,1.0,,2.625,693,4,0,10,10,0,0,3.323676,3.316073,0.244444,0,0,0,1,B
G022_01,Wie legt man Postfachregeln laut Anleitung in Outlook Online an?,gemma:2b,hybrid,1.0,0.6934,0.5,2,0.8571,,3.1519,989,36,1,10,10,4,4,0.27904,0.036646,0.377778,0,0,0,3,C
G023_01,Wie aktiviert man Senden-von in Outlook laut Anleitung?,gemma:2b,hybrid,1.0,1.0,1.0,1,0.6667,,2.6418,649,7,0,10,10,2,2,0.219968,0.038849,0.2,0,0,0,3,A
G024_01,Wie erteilt man Outlook-Zugriff fuer Stellvertreter laut Guidance?,gemma:2b,hybrid,0.0,0.0,0.0,,0.0,,2.9309,786,24,1,10,10,1,1,0.270658,0.027066,0.244444,0,0,0,3,B
G025_01,Wie erstellt man Screenshots mit Greenshot laut Anleitung?,gemma:2b,hybrid,0.0,0.0,0.0,,0.4,,2.6092,427,10,0,10,10,1,1,0.287837,0.028784,0.333333,0,0,0,2,B
G026_01,Welche Abwesenheitsarten mussen Mitarbeitende im Clerk-Abwesenheitsagenten eintragen und welche Schritte sind fur die Anlage einer periodischen Serie inklusive Namen und Zeitraum notwendig?,gemma:2b,hybrid,1.0,0.9197,1.0,1,0.0,,2.9892,503,37,1,10,10,5,5,0.367605,0.079639,0.644444,0,0,0,4,C
G027_01,Wie werden im Clerk-Abwesenheitsagenten halbtagige Abwesenheiten konfiguriert und welche Optionen sollten bei einer wochentlich wiederkehrenden Teilzeitabwesenheit gesetzt werden?,gemma:2b,hybrid,0.5,0.3066,0.3333,3,0.6667,,2.8514,368,27,1,10,10,8,8,0.284594,0.012397,0.422222,0,0,0,7,C
G028_01,"Welche Einstellungen sind in Outlook erforderlich, damit sowohl neue als auch bereits bestehende Ordner automatisch fur Stellvertreter freigegeben sind?",gemma:2b,hybrid,0.0,0.0,0.0,,0.6667,,2.8782,901,24,1,10,10,6,6,0.205182,0.047533,0.688889,0,0,0,3,B
G029_01,"Welche Schritte sind laut PDF-Crypt-Anleitung erforderlich, um Kundenpassworter einzusehen und anschliessend ein neues Passwort zu vergeben?",gemma:2b,hybrid,1.0,1.0,1.0,1,0.4,,2.9642,533,19,1,10,10,4,4,0.264707,0.021021,0.377778,0,0,0,12,C
G030_01,"Welche Schritte verlangt die Anleitung, um Postfachregeln serverseitig uber Outlook Online einzurichten, und wie wird die Regel anschliessend aktiviert?",gemma:2b,hybrid,0.3333,0.2961,0.5,2,0.0,,3.0227,569,28,1,10,10,8,8,0.330967,0.028954,0.511111,0,0,0,4,C
G031_01,Welche Varianten zum Buchen eines Besprechungsraums beschreibt die Ressourcendokumentation und welche Schritte sind fur die Kalendergruppe notwendig?,gemma:2b,hybrid,0.0,0.0,0.0,,0.6667,,2.8872,442,28,1,10,10,9,9,0.420651,0.009066,0.6,1,0,0,2,B
G032_01,Welche Hinweise und Warnungen nennt das HP-Druckerhandbuch fur den Umgang mit dem Gerat und welche Leistungsmerkmale werden hervorgehoben?,gemma:2b,hybrid,0.3333,0.2961,0.5,2,0.0,,2.7002,399,22,1,10,10,10,10,0.310731,0.000748,0.155556,0,0,0,2,C
G033_01,Welche technischen Komponenten des Atruvia Secure Webgateway werden genannt und welche Filter- sowie SSL-Analysefunktionen stehen laut Dokumentation zur Verfugung?,gemma:2b,hybrid,0.3333,0.1672,0.1667,6,0.4,,2.5498,582,4,1,10,10,10,10,0.288003,0.245159,0.244444,0,0,0,2,C
G034_01,"Welche Schritte sind laut LDAP-Anleitung notwendig, um die Vertrauensstellung zu aktivieren und das Root-Zertifikat zu installieren?",gemma:2b,hybrid,0.3333,0.2961,0.5,2,0.0,,2.95,740,29,1,10,10,5,5,0.349775,0.027712,0.377778,0,0,0,3,C
G035_01,Wie lassen sich laut Anleitung die Firefox-Lesezeichen vor dem Import nach Edge bereinigen und welche Schritte sind fur den erneuten Import erforderlich?,gemma:2b,hybrid,1.0,1.0,1.0,1,0.5,,3.1008,640,35,1,10,10,6,6,0.263664,0.026366,0.422222,0,0,0,3,C
