question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001,Softphone Kennwort aendern,llama3:70b,hybrid,0.6667,0.7654,1.0,1,1.0,,161.5279,897,82,1,12,12,4,4,0.204706,0.013259,0.757576,1,1,0,5,OK
G002,Softphone Anmeldedaten speichern aktivieren,llama3:70b,hybrid,0.5,0.6131,1.0,1,1.0,,113.3924,724,67,1,12,12,4,4,0.211609,0.031592,0.606061,1,1,0,4,OK
G003,Softphone Erstanmeldung mit DLS PIN,llama3:70b,hybrid,0.5,0.6131,1.0,1,1.0,,153.2121,410,109,1,12,12,2,2,0.156746,-0.010817,0.909091,1,1,0,4,OK
G004,Softphone vollstaendig beenden,llama3:70b,hybrid,0.5,0.6131,1.0,1,1.0,,147.5994,230,112,1,12,12,3,3,0.16312,-0.01893,0.848485,1,0,0,4,C
G005,Softphone Fusion Leiste Funktionen,llama3:70b,hybrid,0.0,0.0,0.0,36,1.0,,94.357,424,64,1,12,12,5,5,0.145266,-0.075394,0.545455,1,0,1,4,C
G006,Softphone praefiertes Endgeraet wechseln,llama3:70b,hybrid,0.0,0.0,0.0,48,1.0,,115.1245,374,70,1,12,12,8,8,0.228908,-0.041529,0.424242,1,0,0,4,C
G007,Softphone One Number Service konfigurieren,llama3:70b,hybrid,0.0,0.0,0.0,41,1.0,,76.1494,537,52,1,12,12,6,6,0.255205,-0.016782,0.666667,1,0,1,4,C
G008,Softphone Rufnummernanzeige steuern (CLIR),llama3:70b,hybrid,0.0,0.0,0.0,32,0.0,,132.6078,374,80,1,12,12,4,4,0.344183,-0.018742,0.787879,1,1,0,4,OK
G009,Softphone Rufnummer fuer CLIR deaktivieren,llama3:70b,hybrid,0.0,0.0,0.0,15,0.0,,120.051,419,69,1,12,12,7,7,0.219711,0.022241,0.636364,1,1,0,4,OK
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,llama3:70b,hybrid,0.3333,0.2346,0.3333,3,1.0,,124.3775,426,78,1,12,12,8,8,0.279651,-0.018611,0.545455,1,0,1,4,C
G011,Softphone Konferenz planen,llama3:70b,hybrid,0.0,0.0,0.0,45,1.0,,61.3787,360,35,1,12,12,7,7,0.149079,-0.035615,0.69697,1,0,1,4,C
G012,HP Drucker Papierstau beheben,llama3:70b,hybrid,0.25,0.3904,1.0,1,1.0,,138.7747,445,87,1,12,12,9,9,0.218594,-0.023792,0.666667,1,1,0,4,OK
G013,HP Drucker Duplexmodul verwenden,llama3:70b,hybrid,0.0,0.0,0.0,,1.0,,93.3134,384,54,1,12,12,6,6,0.246012,-0.03347,0.484848,1,0,1,4,B
G014,HP Drucker Patronen reinigen,llama3:70b,hybrid,0.25,0.1952,0.3333,3,1.0,,113.9633,387,72,1,12,12,5,5,0.294606,-0.007469,0.484848,1,1,0,4,OK
G015,Abwesenheitsagent in Clerk anlegen,llama3:70b,hybrid,1.0,0.8772,1.0,1,1.0,,99.3481,1161,50,1,12,12,4,4,0.148739,-0.051909,0.484848,1,0,1,4,C
G016,Outlook Ordner fuer Stellvertreter freigeben,llama3:70b,hybrid,0.6667,0.7654,1.0,1,1.0,,94.2154,406,63,1,12,12,2,2,0.136954,-0.046463,0.151515,1,1,0,4,OK
G017,Raeume oder Ressourcen buchen,llama3:70b,hybrid,0.5,0.6367,1.0,1,1.0,,123.6964,420,73,1,12,12,7,7,0.177876,0.027221,0.727273,1,0,0,4,C
G018,Wie konfiguriere ich die Proxy-Einstellungen fuer agree21Internet manuell?,llama3:70b,hybrid,0.5,0.6131,1.0,1,1.0,,101.7967,458,60,1,12,12,5,5,0.26191,0.016643,0.636364,1,1,0,4,OK
G019,Welche Aufgaben uebernimmt das Atruvia Secure Webgateway laut Funktionsbeschreibung?,llama3:70b,hybrid,1.0,0.4486,0.25,4,1.0,,141.428,382,93,1,12,12,12,12,0.149827,0.167692,0.393939,1,0,1,4,C
G020,Welche Ports empfiehlt die LDAP-Anleitung fuer StartTLS und LDAPS?,llama3:70b,hybrid,0.5,0.3869,0.5,2,1.0,,55.092,414,33,1,12,12,2,2,0.299954,0.017785,0.424242,1,0,1,4,C
G021,Welche Forms-Regeln gelten laut Spielregeln M365?,llama3:70b,hybrid,0.0,0.0,0.0,38,1.0,,88.6254,854,57,0,12,12,2,2,3.25346,3.153118,-0.363636,1,0,1,4,A
G022,Wie legt man Postfachregeln laut Anleitung in Outlook Online an?,llama3:70b,hybrid,0.5,0.3066,0.3333,3,1.0,,123.2335,632,81,1,12,12,4,4,0.226437,0.011414,0.575758,1,0,0,4,C
G023,Wie aktiviert man Senden-von in Outlook laut Anleitung?,llama3:70b,hybrid,0.5,0.6131,1.0,1,1.0,,88.9622,775,62,1,12,12,2,2,0.168667,0.027337,0.333333,1,0,1,4,C
G024,Wie erteilt man Outlook-Zugriff fuer Stellvertreter laut Guidance?,llama3:70b,hybrid,0.3333,0.2346,0.3333,3,1.0,,150.0067,436,96,1,12,12,2,2,0.203348,0.016946,0.393939,1,1,0,4,OK
G025,Wie erstellt man Screenshots mit Greenshot laut Anleitung?,llama3:70b,hybrid,0.5,0.6131,1.0,1,1.0,,105.5518,565,70,1,12,12,1,1,0.220127,0.018344,0.272727,1,1,0,4,OK
G026,Welche Abwesenheitsarten mussen Mitarbeitende im Clerk-Abwesenheitsagenten eintragen und welche Schritte sind fur die Anlage einer periodischen Serie inklusive Namen und Zeitraum notwendig?,llama3:70b,hybrid,0.5,0.3869,0.5,2,0.0,,105.2818,496,63,0,12,12,3,3,0.272571,0.030992,0.636364,1,0,1,4,A
G027,Wie werden im Clerk-Abwesenheitsagenten halbtagige Abwesenheiten konfiguriert und welche Optionen sollten bei einer wochentlich wiederkehrenden Teilzeitabwesenheit gesetzt werden?,llama3:70b,hybrid,0.5,0.3869,0.5,2,1.0,,78.25,713,40,0,12,12,9,9,0.239558,0.030641,0.545455,1,0,1,4,A
G028,"Welche Einstellungen sind in Outlook erforderlich, damit sowohl neue als auch bereits bestehende Ordner automatisch fur Stellvertreter freigegeben sind?",llama3:70b,hybrid,0.2,0.3392,1.0,1,1.0,,132.4161,641,77,1,12,12,4,4,0.14463,0.024427,0.727273,1,0,1,4,C
G029,"Welche Schritte sind laut PDF-Crypt-Anleitung erforderlich, um Kundenpassworter einzusehen und anschliessend ein neues Passwort zu vergeben?",llama3:70b,hybrid,0.6667,0.7654,1.0,1,1.0,,80.0509,627,48,1,12,12,2,2,0.20005,0.010318,0.393939,1,0,1,4,C
G030,"Welche Schritte verlangt die Anleitung, um Postfachregeln serverseitig uber Outlook Online einzurichten, und wie wird die Regel anschliessend aktiviert?",llama3:70b,hybrid,0.0,0.0,0.0,43,1.0,,104.3918,388,72,1,12,12,2,2,0.283037,0.047251,0.151515,1,0,1,4,C
G031,Welche Varianten zum Buchen eines Besprechungsraums beschreibt die Ressourcendokumentation und welche Schritte sind fur die Kalendergruppe notwendig?,llama3:70b,hybrid,0.0,0.0,0.0,31,0.8571,,96.8822,484,63,1,12,12,6,6,0.401886,0.047688,0.363636,1,0,1,4,C
G032,Welche Hinweise und Warnungen nennt das HP-Druckerhandbuch fur den Umgang mit dem Gerat und welche Leistungsmerkmale werden hervorgehoben?,llama3:70b,hybrid,0.2,0.214,0.5,2,1.0,,92.1321,404,58,1,12,12,7,7,0.248321,0.025421,0.636364,1,0,1,4,C
G033,Welche technischen Komponenten des Atruvia Secure Webgateway werden genannt und welche Filter- sowie SSL-Analysefunktionen stehen laut Dokumentation zur Verfugung?,llama3:70b,hybrid,1.0,0.6788,0.5,2,1.0,,136.1317,495,87,1,12,12,12,12,0.260304,0.129353,0.333333,1,0,1,4,C
G034,"Welche Schritte sind laut LDAP-Anleitung notwendig, um die Vertrauensstellung zu aktivieren und das Root-Zertifikat zu installieren?",llama3:70b,hybrid,0.1667,0.1909,0.5,2,1.0,,71.313,378,44,1,12,12,2,2,0.337313,0.025778,0.272727,1,0,1,4,C
G035,Wie lassen sich laut Anleitung die Firefox-Lesezeichen vor dem Import nach Edge bereinigen und welche Schritte sind fur den erneuten Import erforderlich?,llama3:70b,hybrid,0.5,0.6131,1.0,1,1.0,,63.3557,666,31,1,12,12,3,3,0.205467,0.017122,0.424242,1,0,1,3,C
G036,Wie erstellt man im agree21Voice Softphone ein benutzerdefiniertes Anrufumleitungsprofil und welche Optionen fur Regeln und Prasenzstatus konnen festgelegt werden?,llama3:70b,hybrid,0.4,0.2717,0.3333,3,1.0,,145.4092,405,94,1,12,12,11,11,0.214651,0.157534,0.484848,1,0,0,4,C
G037,"Welche Voraussetzungen mussen im agree21Voice Softphone erfullt sein, damit eine einfache Anrufumleitung wirksam bleibt, und wie deaktiviert man sie wieder?",llama3:70b,hybrid,0.0,0.0,0.0,24,1.0,,130.2153,470,76,1,12,12,8,8,0.40056,0.050829,0.454545,1,0,1,4,C
G038,Wie erfolgt die Administration des Atruvia Secure Webgateway in SAGA und wie konnen Internetprofile kopiert und angepasst werden?,llama3:70b,hybrid,0.5714,0.5782,1.0,1,1.0,,105.7356,502,62,0,12,12,12,12,0.209694,0.122573,0.545455,1,0,1,4,A
G039,Welche Exportoptionen bietet Greenshot nach einer Bereichsauswahl laut Anleitung?,llama3:70b,hybrid,0.5,0.6131,1.0,1,1.0,,181.4805,470,124,1,12,12,0,0,0.234978,0.019581,0.30303,0,1,0,8,C
G040,Wie wird nach der Einrichtung von LDAPS im LDAP-Handbuch die Verbindung getestet und was zeigt einen erfolgreichen Test an?,llama3:70b,hybrid,0.5,0.6131,1.0,1,1.0,,129.5813,446,87,1,12,12,2,2,0.178855,0.020058,0.454545,1,1,0,4,OK
G041,"Wie stellt man laut HP-Druckerhandbuch die Druckqualitat uber die Druckersoftware und die Druckqualitatsauswahltaste ein, und welche Qualitatsmodi stehen zur Verfugung?",llama3:70b,hybrid,0.25,0.2463,0.5,2,1.0,,116.5824,389,66,1,12,12,9,9,0.349363,0.042918,0.363636,1,1,0,4,OK
