question_id,keyword_f1_gemma_2b,keyword_f1_llama3_8b,keyword_f1_llama3_70b
G001_01,0.571400,0.750000,0.750000
G002_01,0.857100,1.000000,1.000000
G003_01,0.857100,0.666700,0.857100
G004_01,0.666700,0.857100,0.666700
G005_01,0.666700,0.857100,1.000000
G006_01,0.666700,0.857100,1.000000
G007_01,0.000000,1.000000,1.000000
G008_01,0.400000,0.400000,0.666700
G009_01,0.857100,0.666700,0.666700
G010_01,0.400000,0.400000,0.666700
G011_01,0.400000,0.666700,0.666700
G012_01,0.857100,0.857100,0.857100
G013_01,0.400000,0.666700,0.666700
G014_01,0.666700,0.666700,0.857100
G015_01,0.666700,1.000000,0.857100
G016_01,0.857100,0.857100,0.857100
G017_01,0.666700,0.857100,0.857100
G018_01,1.000000,0.666700,1.000000
G019_01,0.857100,0.400000,0.400000
G020_01,1.000000,1.000000,1.000000
G021_01,1.000000,0.400000,1.000000
G022_01,0.857100,0.666700,0.857100
G023_01,0.666700,0.666700,0.666700
G024_01,0.000000,0.666700,0.400000
G025_01,0.400000,0.857100,0.857100
G026_01,0.000000,0.400000,1.000000
G027_01,0.666700,0.400000,1.000000
G028_01,0.666700,1.000000,0.666700
G029_01,0.400000,1.000000,0.857100
G030_01,0.000000,0.857100,0.666700
G031_01,0.666700,0.666700,0.666700
G032_01,0.000000,0.666700,0.400000
G033_01,0.400000,0.666700,0.666700
G034_01,0.000000,0.666700,0.666700
G035_01,0.500000,1.000000,1.000000
G036_01,0.400000,0.666700,0.666700
G037_01,0.400000,0.400000,0.666700
G038_01,0.666700,0.666700,0.666700
G039_01,0.000000,0.400000,0.400000
G040_01,0.666700,0.857100,0.857100
G041_01,0.666700,0.666700,0.666700
G001_02,0.571400,0.571400,0.750000
G002_02,0.857100,1.000000,1.000000
G003_02,0.857100,0.666700,0.857100
G004_02,0.666700,0.857100,0.666700
G005_02,0.666700,0.857100,1.000000
G006_02,0.666700,0.666700,1.000000
G007_02,0.000000,1.000000,1.000000
G008_02,0.400000,0.400000,0.666700
G009_02,0.857100,0.666700,0.666700
G010_02,0.400000,0.400000,0.666700
G011_02,0.400000,0.666700,0.666700
G012_02,0.857100,0.857100,0.857100
G013_02,0.400000,0.666700,0.666700
G014_02,0.666700,0.666700,0.857100
G015_02,0.666700,1.000000,0.857100
G016_02,0.857100,0.857100,0.857100
G017_02,0.857100,0.857100,0.857100
G018_02,1.000000,0.666700,1.000000
G019_02,0.857100,0.400000,0.400000
G020_02,1.000000,1.000000,1.000000
G021_02,1.000000,0.857100,1.000000
G022_02,0.857100,0.666700,0.857100
G023_02,0.666700,0.666700,0.666700
G024_02,0.000000,0.666700,0.400000
G025_02,0.400000,0.857100,0.666700
G026_02,0.000000,0.400000,0.857100
G027_02,0.666700,0.400000,1.000000
G028_02,0.400000,1.000000,0.666700
G029_02,0.857100,1.000000,0.857100
G030_02,0.000000,0.857100,0.666700
G031_02,0.666700,0.666700,0.666700
G032_02,0.000000,0.666700,0.400000
G033_02,0.400000,0.666700,0.666700
G034_02,0.000000,0.857100,1.000000
G035_02,0.500000,1.000000,1.000000
G036_02,0.400000,0.666700,0.666700
G037_02,0.400000,0.400000,0.666700
G038_02,0.666700,0.666700,0.666700
G039_02,0.000000,0.400000,0.400000
G040_02,0.666700,0.857100,0.857100
G041_02,0.666700,0.666700,0.666700
G001_03,0.571400,0.750000,0.750000
G002_03,0.857100,1.000000,1.000000
G003_03,0.857100,0.666700,0.857100
G004_03,0.666700,0.857100,0.857100
G005_03,0.666700,0.857100,1.000000
G006_03,0.666700,0.666700,1.000000
G007_03,0.000000,1.000000,1.000000
G008_03,0.666700,0.400000,0.666700
G009_03,0.857100,0.666700,0.666700
G010_03,0.400000,0.400000,0.666700
G011_03,0.400000,0.666700,0.857100
G012_03,0.857100,0.857100,0.857100
G013_03,0.400000,0.666700,0.666700
G014_03,0.666700,0.666700,0.857100
G015_03,0.666700,1.000000,0.857100
G016_03,1.000000,0.857100,0.857100
G017_03,0.857100,0.857100,0.857100
G018_03,1.000000,0.666700,1.000000
