question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001,Softphone Kennwort aendern,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,5.9474,1468,51,0,12,12,0,0,3.918195,3.374393,-0.242424,1,0,1,5,B
G002,Softphone Anmeldedaten speichern aktivieren,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,5.3498,1192,43,0,12,12,0,0,13.685039,13.209999,-0.242424,1,0,1,4,B
G003,Softphone Erstanmeldung mit DLS PIN,llama3:8b,hybrid,0.0,0.0,0.0,58,0.8571,,4.9592,1563,25,0,12,12,0,0,3.918195,3.374393,-0.242424,0,0,1,4,A
G004,Softphone vollstaendig beenden,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,5.3586,1598,33,0,12,12,0,0,3.918195,3.374393,-0.242424,1,0,1,4,B
G005,Softphone Fusion Leiste Funktionen,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,5.0253,992,41,0,12,12,0,0,7.910559,7.871074,0.181818,1,0,1,4,B
G006,Softphone praefiertes Endgeraet wechseln,llama3:8b,hybrid,0.0,0.0,0.0,,0.8571,,5.8939,718,63,0,12,12,0,0,4.261482,4.005846,-0.181818,0,0,1,4,B
G007,Softphone One Number Service konfigurieren,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,5.1532,1389,42,0,12,12,0,0,4.366265,4.218616,0.242424,1,0,1,4,B
G008,Softphone Rufnummernanzeige steuern (CLIR),llama3:8b,hybrid,0.0,0.0,0.0,,0.0,,5.468,1599,33,0,12,12,0,0,3.918195,3.374393,-0.242424,0,0,1,4,B
G009,Softphone Rufnummer fuer CLIR deaktivieren,llama3:8b,hybrid,0.0,0.0,0.0,,0.0,,5.3818,1600,33,0,12,12,0,0,3.918195,3.374393,-0.242424,1,0,1,4,B
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,5.7348,1600,36,0,12,12,0,0,3.918195,3.374393,-0.242424,1,0,1,4,B
G011,Softphone Konferenz planen,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,5.0751,1598,23,0,12,12,0,0,3.918195,3.374393,-0.242424,1,0,1,4,B
G012,HP Drucker Papierstau beheben,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,5.7855,1599,35,0,12,12,0,0,3.918195,3.374393,-0.242424,1,0,1,4,B
G013,HP Drucker Duplexmodul verwenden,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,5.4451,1599,35,0,12,12,0,0,3.918195,3.374393,-0.242424,1,0,1,4,B
G014,HP Drucker Patronen reinigen,llama3:8b,hybrid,0.0,0.0,0.0,,0.0,,4.6055,357,42,0,12,1,11,0,16.570997,16.513563,-0.121212,0,0,1,4,B
G015,Abwesenheitsagent in Clerk anlegen,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,5.6389,1599,37,0,12,12,0,0,3.918195,3.374393,-0.242424,1,0,1,4,B
G016,Outlook Ordner fuer Stellvertreter freigeben,llama3:8b,hybrid,0.0,0.0,0.0,60,1.0,,5.7111,1600,36,0,12,12,0,0,3.918195,3.374393,-0.242424,1,0,1,4,A
G017,Raeume oder Ressourcen buchen,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,6.1446,1599,46,0,12,12,0,0,3.918195,3.374393,-0.242424,1,0,1,4,B
G018,Wie konfiguriere ich die Proxy-Einstellungen fuer agree21Internet manuell?,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,4.9112,1605,19,0,12,12,0,0,3.918195,3.374393,-0.242424,1,0,1,4,B
G019,Welche Aufgaben uebernimmt das Atruvia Secure Webgateway laut Funktionsbeschreibung?,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,7.0123,1605,73,0,12,12,0,0,3.918195,3.374393,-0.242424,1,0,1,4,B
