question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001,Softphone Kennwort aendern,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.8889,tage,4.6586,1120,25,1,10,10,2,2,0.267266,0.026723,0.333333,0,0,0,3,C
G002,Softphone Anmeldedaten speichern aktivieren,mistral:instruct,hybrid,1.0,1.0,1.0,1,1.0,,3.8637,423,23,1,10,10,4,4,0.275001,0.02468,0.911111,1,0,0,1,C
G003,Softphone Erstanmeldung mit DLS PIN,mistral:instruct,hybrid,1.0,1.0,1.0,1,1.0,,4.0302,573,26,1,10,10,2,2,0.204547,-0.002431,0.244444,0,0,0,3,C
G004,Softphone vollstaendig beenden,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.0,taskleiste,3.8578,435,21,1,10,10,4,4,0.214649,-0.0511,0.511111,0,0,0,4,C
G005,Softphone Fusion Leiste Funktionen,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.6667,"favoriten, optionen",3.8951,434,18,1,10,10,6,6,0.182612,-0.075052,0.6,0,0,0,4,C
G006,Softphone praefiertes Endgeraet wechseln,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.6667,"fusion, praeferiert",3.9334,413,19,1,10,10,10,10,0.284962,0.037883,0.377778,0,0,0,2,C
G007,Softphone One Number Service konfigurieren,mistral:instruct,hybrid,0.8,0.8688,1.0,1,1.0,,4.0833,744,24,1,10,10,6,6,0.274662,0.007102,0.555556,0,0,1,5,C
G008,Softphone Rufnummernanzeige steuern (CLIR),mistral:instruct,hybrid,1.0,1.0,1.0,1,0.0,clir,3.9429,411,23,1,10,10,3,3,0.374663,0.000671,0.333333,1,0,0,2,C
G009,Softphone Rufnummer fuer CLIR deaktivieren,mistral:instruct,hybrid,1.0,1.0,1.0,1,1.0,,3.9722,461,22,0,10,10,7,7,0.266904,0.023915,0.466667,0,0,1,5,A
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,mistral:instruct,hybrid,1.0,0.9675,1.0,1,0.0,kontakte,3.8914,405,30,1,10,10,10,10,0.328919,-0.017171,0.333333,1,0,0,1,C
G011,Softphone Konferenz planen,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.8571,softphone,3.8353,392,22,1,10,10,7,7,0.312183,-0.012573,0.688889,0,0,0,2,C
G012,HP Drucker Papierstau beheben,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.8571,modul,3.8917,398,24,1,10,10,10,10,0.285016,0.051077,0.555556,1,0,0,2,C
G013,HP Drucker Duplexmodul verwenden,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.8571,modul,3.8231,355,20,1,10,10,8,8,0.295864,0.089125,0.155556,0,0,0,3,C
G014,HP Drucker Patronen reinigen,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.0,patrone,3.8753,402,27,1,10,10,8,8,0.33478,-0.123349,0.288889,1,1,0,1,OK
G015,Abwesenheitsagent in Clerk anlegen,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.6667,"abwesenheit, periodisch",4.1073,823,21,1,10,10,4,4,0.191824,-0.051857,0.6,0,0,0,2,C
G016,Outlook Ordner fuer Stellvertreter freigeben,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.8571,berechtigung,3.8638,456,27,1,10,10,3,3,0.177852,-0.043847,0.2,1,0,0,2,C
G017,Raeume oder Ressourcen buchen,mistral:instruct,hybrid,1.0,0.6309,0.5,2,0.8571,outlook,3.8317,364,23,1,10,5,5,0,0.229445,0.056502,0.555556,0,0,0,2,C
G018,Wie konfiguriere ich die Proxy-Einstellungen fuer agree21Internet manuell?,mistral:instruct,hybrid,1.0,1.0,1.0,1,1.0,,4.1112,534,18,1,10,10,10,10,0.308135,-0.048525,0.333333,0,0,0,3,C
G019,Welche Aufgaben uebernimmt das Atruvia Secure Webgateway laut Funktionsbeschreibung?,mistral:instruct,hybrid,1.0,0.5,0.3333,3,0.6667,"malware, proxy",3.9792,457,22,1,10,10,10,10,0.203205,0.179326,0.288889,1,0,0,1,C
G020,Welche Ports empfiehlt die LDAP-Anleitung fuer StartTLS und LDAPS?,mistral:instruct,hybrid,1.0,0.6309,0.5,2,1.0,,4.2688,866,21,0,10,10,3,3,0.327413,0.028322,0.377778,0,0,1,5,A
G021,Welche Forms-Regeln gelten laut Spielregeln M365?,mistral:instruct,hybrid,0.0,0.0,0.0,,1.0,,3.8708,547,22,0,10,10,2,2,3.321423,3.314931,0.111111,0,0,1,5,B
G022,Wie legt man Postfachregeln laut Anleitung in Outlook Online an?,mistral:instruct,hybrid,1.0,0.6934,0.5,2,0.8571,weiteres postfach,4.0174,575,29,1,10,10,4,4,0.278378,0.036494,0.466667,0,0,0,2,C
G023,Wie aktiviert man Senden-von in Outlook laut Anleitung?,mistral:instruct,hybrid,1.0,1.0,1.0,1,1.0,,4.752,1134,31,0,10,10,2,2,0.219779,0.038805,0.555556,0,0,1,2,A
G024,Wie erteilt man Outlook-Zugriff fuer Stellvertreter laut Guidance?,mistral:instruct,hybrid,0.0,0.0,0.0,,0.6667,"freigabe, hinzufuegen",4.0283,627,23,0,10,10,1,1,0.2702,0.02702,0.288889,1,0,0,1,B
G025,Wie erstellt man Screenshots mit Greenshot laut Anleitung?,mistral:instruct,hybrid,0.0,0.0,0.0,,0.0,greenshot,4.6201,1053,29,0,10,10,1,1,0.287755,0.028775,0.155556,0,1,0,1,B
G026,Welche Abwesenheitsarten mussen Mitarbeitende im Clerk-Abwesenheitsagenten eintragen und welche Schritte sind fur die Anlage einer periodischen Serie inklusive Namen und Zeitraum notwendig?,mistral:instruct,hybrid,1.0,0.9197,1.0,1,0.4,"beschreibung, periodisch, zeitraum",4.8242,1010,18,0,10,3,10,3,0.367553,0.07963,0.777778,0,0,0,3,A
G027,Wie werden im Clerk-Abwesenheitsagenten halbtagige Abwesenheiten konfiguriert und welche Optionen sollten bei einer wochentlich wiederkehrenden Teilzeitabwesenheit gesetzt werden?,mistral:instruct,hybrid,0.5,0.3066,0.3333,3,0.6667,"wiederholungsrhythmus, zeiten",4.6626,1004,22,0,10,4,10,4,0.284977,0.012519,0.6,1,0,0,2,A
G028,"Welche Einstellungen sind in Outlook erforderlich, damit sowohl neue als auch bereits bestehende Ordner automatisch fur Stellvertreter freigegeben sind?",mistral:instruct,hybrid,0.0,0.0,0.0,,0.6667,"bestehende ordner, neue ordner",4.0202,572,21,1,10,10,6,6,0.205097,0.047518,0.822222,1,0,0,2,B
G029,"Welche Schritte sind laut PDF-Crypt-Anleitung erforderlich, um Kundenpassworter einzusehen und anschliessend ein neues Passwort zu vergeben?",mistral:instruct,hybrid,1.0,1.0,1.0,1,0.0,passwortmanager,4.4046,883,24,1,10,10,2,2,0.26408,0.020919,0.333333,0,0,0,1,C
G030,"Welche Schritte verlangt die Anleitung, um Postfachregeln serverseitig uber Outlook Online einzurichten, und wie wird die Regel anschliessend aktiviert?",mistral:instruct,hybrid,0.3333,0.2961,0.5,2,0.8571,aktivierung,4.0699,611,25,1,10,10,4,4,0.33006,0.000622,0.644444,0,0,1,3,C
G031,Welche Varianten zum Buchen eines Besprechungsraums beschreibt die Ressourcendokumentation und welche Schritte sind fur die Kalendergruppe notwendig?,mistral:instruct,hybrid,0.0,0.0,0.0,,0.0,kalendergruppe,3.7565,334,22,1,10,6,10,6,0.420397,-0.033293,0.644444,0,0,0,2,B
G032,Welche Hinweise und Warnungen nennt das HP-Druckerhandbuch fur den Umgang mit dem Gerat und welche Leistungsmerkmale werden hervorgehoben?,mistral:instruct,hybrid,0.3333,0.2961,0.5,2,0.0,warnungen,3.8951,399,26,1,10,10,10,10,0.310736,0.005745,0.288889,0,0,0,3,C
G033,Welche technischen Komponenten des Atruvia Secure Webgateway werden genannt und welche Filter- sowie SSL-Analysefunktionen stehen laut Dokumentation zur Verfugung?,mistral:instruct,hybrid,0.3333,0.1672,0.1667,6,0.0,ssl-analyse,4.1409,582,24,1,10,10,10,10,0.287971,0.259864,0.555556,1,0,0,2,C
G034,"Welche Schritte sind laut LDAP-Anleitung notwendig, um die Vertrauensstellung zu aktivieren und das Root-Zertifikat zu installieren?",mistral:instruct,hybrid,0.3333,0.2961,0.5,2,0.8571,assistent,4.184,736,24,0,10,10,8,8,0.349253,0.028933,0.333333,0,0,1,4,A
G035,Wie lassen sich laut Anleitung die Firefox-Lesezeichen vor dem Import nach Edge bereinigen und welche Schritte sind fur den erneuten Import erforderlich?,mistral:instruct,hybrid,1.0,1.0,1.0,1,1.0,,4.9724,1085,31,0,10,6,5,1,0.264882,0.026488,0.066667,1,0,1,3,A
G036,Wie erstellt man im agree21Voice Softphone ein benutzerdefiniertes Anrufumleitungsprofil und welche Optionen fur Regeln und Prasenzstatus konnen festgelegt werden?,mistral:instruct,hybrid,0.6667,0.4982,0.5,2,0.0,prasenzstatus,4.0227,455,22,1,10,10,10,10,0.305281,0.207795,0.466667,1,0,0,2,C
G037,"Welche Voraussetzungen mussen im agree21Voice Softphone erfullt sein, damit eine einfache Anrufumleitung wirksam bleibt, und wie deaktiviert man sie wieder?",mistral:instruct,hybrid,0.0,0.0,0.0,15,0.4,"fusion-leiste, praferiertes endgerat, profil",3.7493,321,25,0,10,10,10,10,0.410599,0.055463,-0.244444,0,0,0,2,A
G038,Wie erfolgt die Administration des Atruvia Secure Webgateway in SAGA und wie konnen Internetprofile kopiert und angepasst werden?,mistral:instruct,hybrid,0.6667,0.6105,1.0,1,0.6667,"anpassen, klonen",4.041,528,23,1,10,10,10,10,0.245977,0.13623,0.155556,1,0,0,2,C
G039,Welche Exportoptionen bietet Greenshot nach einer Bereichsauswahl laut Anleitung?,mistral:instruct,hybrid,0.0,0.0,0.0,,1.0,,4.2324,709,22,1,10,10,0,0,0.310135,0.031014,0.288889,0,0,0,2,B
G040,Wie wird nach der Einrichtung von LDAPS im LDAP-Handbuch die Verbindung getestet und was zeigt einen erfolgreichen Test an?,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.8571,ldap-server,4.2683,828,26,1,10,10,5,5,0.236031,-0.025183,0.377778,1,0,0,2,C
G041,"Wie stellt man laut HP-Druckerhandbuch die Druckqualitat uber die Druckersoftware und die Druckqualitatsauswahltaste ein, und welche Qualitatsmodi stehen zur Verfugung?",mistral:instruct,hybrid,1.0,1.0,1.0,1,0.6667,"optimal, taste",3.8675,370,27,1,10,10,10,10,0.396908,0.211018,0.333333,0,0,0,1,C
