question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001,Softphone Kennwort aendern,llama3:8b,hybrid,0.25,0.1128,0.1,10,1.0,,6.0613,736,82,1,10,10,0,0,5.728184,5.606068,0.333333,1,0,1,5,C
G001,Softphone Kennwort aendern,gemma:2b,hybrid,0.25,0.1128,0.1,10,0.5714,,2.6866,736,11,1,10,10,0,0,5.728184,5.606068,0.333333,0,0,0,2,C
G001,Softphone Kennwort aendern,phi3:latest,hybrid,0.25,0.1128,0.1,10,0.75,,4.6287,736,53,0,10,10,0,0,5.728184,5.606068,0.333333,0,0,0,5,A
G002,Softphone Anmeldedaten speichern aktivieren,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,5.8373,983,78,0,10,10,0,0,13.538064,12.867147,-0.244444,1,0,1,4,B
G002,Softphone Anmeldedaten speichern aktivieren,gemma:2b,hybrid,0.0,0.0,0.0,,0.8571,,3.2692,983,42,0,10,10,0,0,13.538064,12.867147,-0.244444,0,0,0,4,B
G002,Softphone Anmeldedaten speichern aktivieren,phi3:latest,hybrid,0.0,0.0,0.0,,1.0,,4.5824,983,40,0,10,10,0,0,13.538064,12.867147,-0.244444,1,1,1,4,B
G003,Softphone Erstanmeldung mit DLS PIN,llama3:8b,hybrid,0.0,0.0,0.0,36,1.0,,5.7028,818,63,0,10,10,0,0,5.698438,5.417863,0.2,1,0,1,5,A
G003,Softphone Erstanmeldung mit DLS PIN,gemma:2b,hybrid,0.0,0.0,0.0,36,0.8571,,3.0329,818,31,1,10,10,0,0,5.698438,5.417863,0.2,0,0,0,2,C
G003,Softphone Erstanmeldung mit DLS PIN,phi3:latest,hybrid,0.0,0.0,0.0,36,1.0,,4.9362,818,59,0,10,10,0,0,5.698438,5.417863,0.2,0,0,0,5,A
G004,Softphone vollstaendig beenden,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,6.06,816,73,0,10,10,0,0,5.698438,5.417863,0.2,1,0,1,4,B
G004,Softphone vollstaendig beenden,gemma:2b,hybrid,0.0,0.0,0.0,,0.0,,2.7394,816,6,0,10,10,0,0,5.698438,5.417863,0.2,0,0,0,2,B
G004,Softphone vollstaendig beenden,phi3:latest,hybrid,0.0,0.0,0.0,,1.0,,5.018,816,40,0,10,10,0,0,5.698438,5.417863,0.2,1,0,1,4,B
G005,Softphone Fusion Leiste Funktionen,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,6.0123,677,74,0,10,10,0,0,8.022989,7.991927,0.377778,1,0,1,4,B
G005,Softphone Fusion Leiste Funktionen,gemma:2b,hybrid,0.0,0.0,0.0,,0.8571,,3.3055,677,66,1,10,10,0,0,8.022989,7.991927,0.377778,0,0,0,4,B
G005,Softphone Fusion Leiste Funktionen,phi3:latest,hybrid,0.0,0.0,0.0,,1.0,,3.7131,677,38,0,10,10,0,0,8.022989,7.991927,0.377778,1,0,1,4,B
G006,Softphone praefiertes Endgeraet wechseln,llama3:8b,hybrid,0.0,0.0,0.0,,0.8571,,5.6878,817,62,0,10,10,0,0,5.698438,5.417863,0.2,0,0,1,4,B
G006,Softphone praefiertes Endgeraet wechseln,gemma:2b,hybrid,0.0,0.0,0.0,,0.6667,,2.7823,817,7,0,10,10,0,0,5.698438,5.417863,0.2,0,0,0,3,B
G006,Softphone praefiertes Endgeraet wechseln,phi3:latest,hybrid,0.0,0.0,0.0,,1.0,,3.6218,817,18,0,10,10,0,0,5.698438,5.417863,0.2,1,0,1,4,B
