question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct
G001,Softphone Kennwort aendern,mistral:instruct,bm25,1.0,1.0,1.0,1,0.5714,"90, self-service, tage",4.0295,672,23,1
G002,Softphone Anmeldedaten speichern aktivieren,mistral:instruct,bm25,1.0,1.0,1.0,1,1.0,,3.9315,617,26,1
G003,Softphone Erstanmeldung mit DLS PIN,mistral:instruct,bm25,1.0,1.0,1.0,1,0.8571,erstmalig,3.794,427,33,1
G004,Softphone vollstaendig beenden,mistral:instruct,bm25,1.0,1.0,1.0,1,0.0,taskleiste,3.7814,329,33,1
G005,Softphone Fusion Leiste Funktionen,mistral:instruct,bm25,1.0,1.0,1.0,1,0.0,favoriten,3.8304,367,24,1
G006,Softphone praefiertes Endgeraet wechseln,mistral:instruct,bm25,1.0,1.0,1.0,1,0.0,"endgeraet, fusion",3.8196,331,27,1
G007,Softphone One Number Service konfigurieren,mistral:instruct,bm25,0.8,0.8688,1.0,1,1.0,,4.0863,674,32,1
G008,Softphone Rufnummernanzeige steuern (CLIR),mistral:instruct,bm25,1.0,1.0,1.0,1,0.0,rufnummer,3.7976,331,25,0
G009,Softphone Rufnummer fuer CLIR deaktivieren,mistral:instruct,bm25,1.0,1.0,1.0,1,0.6667,"auswaehlen, geraet",3.9098,422,26,1
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,mistral:instruct,bm25,1.0,0.9675,1.0,1,0.0,rufnummer,3.8085,353,20,0
G011,Softphone Konferenz planen,mistral:instruct,bm25,1.0,1.0,1.0,1,0.0,moderator,3.7243,350,29,0
G012,HP Drucker Papierstau beheben,mistral:instruct,bm25,1.0,1.0,1.0,1,0.8571,modul,3.8231,355,26,1
G013,HP Drucker Duplexmodul verwenden,mistral:instruct,bm25,1.0,1.0,1.0,1,0.0,duplex,3.816,312,25,1
G014,HP Drucker Patronen reinigen,mistral:instruct,bm25,1.0,1.0,1.0,1,0.0,reinigen,3.8117,357,32,1
G015,Abwesenheitsagent in Clerk anlegen,mistral:instruct,bm25,1.0,1.0,1.0,1,0.6667,"abwesenheit, periodisch",4.1418,828,23,0
G016,Outlook Ordner fuer Stellvertreter freigeben,mistral:instruct,bm25,1.0,1.0,1.0,1,0.8571,berechtigung,3.7842,359,29,0
G017,Raeume oder Ressourcen buchen,mistral:instruct,bm25,1.0,0.6309,0.5,2,0.0,"buchung, raum",3.9296,426,30,0
G018,Wie konfiguriere ich die Proxy-Einstellungen fuer agree21Internet manuell?,mistral:instruct,bm25,1.0,1.0,1.0,1,0.0,webgateway,4.0991,496,23,1
G019,Welche Aufgaben uebernimmt das Atruvia Secure Webgateway laut Funktionsbeschreibung?,mistral:instruct,bm25,1.0,0.5,0.3333,3,0.4,"filtern, malware, proxy",3.9316,414,24,1
G020,Welche Ports empfiehlt die LDAP-Anleitung fuer StartTLS und LDAPS?,mistral:instruct,bm25,1.0,0.6309,0.5,2,0.6667,"389, 636",3.8639,414,31,0
