question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001,Softphone Kennwort aendern,llama3:8b,hybrid,0.5,0.6367,1.0,1,0.8889,,6.2072,624,74,1,12,12,2,2,0.274181,0.02181,0.181818,1,0,0,4,C
G001,Softphone Kennwort aendern,gemma:2b,hybrid,0.5,0.6367,1.0,1,0.5714,,3.0084,624,31,1,12,12,2,2,0.274181,0.02181,0.181818,0,0,0,2,C
G001,Softphone Kennwort aendern,phi3:latest,hybrid,0.5,0.6367,1.0,1,1.0,,4.645,624,62,1,12,12,2,2,0.274181,0.02181,0.181818,0,0,1,6,C
G002,Softphone Anmeldedaten speichern aktivieren,llama3:8b,hybrid,0.5,0.6131,1.0,1,1.0,,6.4143,750,74,1,12,12,3,3,0.288813,0.038153,0.636364,1,0,0,4,C
G002,Softphone Anmeldedaten speichern aktivieren,gemma:2b,hybrid,0.5,0.6131,1.0,1,0.8571,,3.3649,750,54,1,12,12,3,3,0.288813,0.038153,0.636364,0,0,0,5,C
G002,Softphone Anmeldedaten speichern aktivieren,phi3:latest,hybrid,0.5,0.6131,1.0,1,0.0,,4.9196,750,67,1,12,12,3,3,0.288813,0.038153,0.636364,0,0,0,5,C
G003,Softphone Erstanmeldung mit DLS PIN,llama3:8b,hybrid,0.5,0.6131,1.0,1,1.0,,6.1114,593,83,1,12,12,2,2,0.166132,0.007174,0.0,1,0,0,4,C
G003,Softphone Erstanmeldung mit DLS PIN,gemma:2b,hybrid,0.5,0.6131,1.0,1,0.8571,,3.0791,593,40,1,12,12,2,2,0.166132,0.007174,0.0,0,0,0,2,C
G003,Softphone Erstanmeldung mit DLS PIN,phi3:latest,hybrid,0.5,0.6131,1.0,1,1.0,,4.6286,593,68,0,12,12,2,2,0.166132,0.007174,0.0,1,0,0,4,A
G004,Softphone vollstaendig beenden,llama3:8b,hybrid,0.5,0.6131,1.0,1,1.0,,5.9668,339,87,1,12,12,2,2,0.164932,-0.001441,0.818182,1,0,0,4,C
G004,Softphone vollstaendig beenden,gemma:2b,hybrid,0.5,0.6131,1.0,1,0.0,,2.5704,339,12,1,12,12,2,2,0.164932,-0.001441,0.818182,0,0,0,3,C
G004,Softphone vollstaendig beenden,phi3:latest,hybrid,0.5,0.6131,1.0,1,1.0,,4.3219,339,73,1,12,12,2,2,0.164932,-0.001441,0.818182,0,0,0,5,C
G005,Softphone Fusion Leiste Funktionen,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,4.8675,205,56,1,12,12,7,7,0.129783,0.001801,0.515152,1,0,1,4,B
G005,Softphone Fusion Leiste Funktionen,gemma:2b,hybrid,0.0,0.0,0.0,,0.6667,,2.4891,205,10,1,12,12,7,7,0.129783,0.001801,0.515152,0,0,0,2,B
G005,Softphone Fusion Leiste Funktionen,phi3:latest,hybrid,0.0,0.0,0.0,,0.8571,,3.6009,205,45,1,12,12,7,7,0.129783,0.001801,0.515152,0,0,1,3,B
G006,Softphone praefiertes Endgeraet wechseln,llama3:8b,hybrid,0.0,0.0,0.0,,0.8571,,5.7602,236,73,1,12,12,4,4,0.241724,0.041022,0.545455,0,0,0,3,B
G006,Softphone praefiertes Endgeraet wechseln,gemma:2b,hybrid,0.0,0.0,0.0,,0.6667,,3.2882,236,47,1,12,12,4,4,0.241724,0.041022,0.545455,0,0,0,6,B
G006,Softphone praefiertes Endgeraet wechseln,phi3:latest,hybrid,0.0,0.0,0.0,,1.0,,3.8711,236,45,1,12,12,4,4,0.241724,0.041022,0.545455,1,1,1,4,B
G007,Softphone One Number Service konfigurieren,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,5.8563,761,68,1,12,12,4,4,0.253191,0.027277,0.363636,1,0,1,4,B
G007,Softphone One Number Service konfigurieren,gemma:2b,hybrid,0.0,0.0,0.0,,0.0,,2.9904,761,17,1,12,12,4,4,0.253191,0.027277,0.363636,0,0,0,11,B
G007,Softphone One Number Service konfigurieren,phi3:latest,hybrid,0.0,0.0,0.0,,1.0,,3.4555,761,26,1,12,12,4,4,0.253191,0.027277,0.363636,1,0,0,4,B
G008,Softphone Rufnummernanzeige steuern (CLIR),llama3:8b,hybrid,0.0,0.0,0.0,,0.0,,6.0208,569,71,1,12,12,1,1,0.26307,0.021922,0.30303,1,0,0,4,B
G008,Softphone Rufnummernanzeige steuern (CLIR),gemma:2b,hybrid,0.0,0.0,0.0,,0.6667,,2.8075,569,22,1,12,12,1,1,0.26307,0.021922,0.30303,0,0,0,2,B
G008,Softphone Rufnummernanzeige steuern (CLIR),phi3:latest,hybrid,0.0,0.0,0.0,,1.0,,4.5441,569,50,1,12,12,1,1,0.26307,0.021922,0.30303,0,0,0,5,B
G009,Softphone Rufnummer fuer CLIR deaktivieren,llama3:8b,hybrid,0.0,0.0,0.0,,0.0,,5.9717,368,72,1,12,12,8,8,0.224127,0.028163,0.212121,1,0,0,3,B
G009,Softphone Rufnummer fuer CLIR deaktivieren,gemma:2b,hybrid,0.0,0.0,0.0,,0.0,,2.9025,368,26,1,12,12,8,8,0.224127,0.028163,0.212121,0,0,1,5,B
G009,Softphone Rufnummer fuer CLIR deaktivieren,phi3:latest,hybrid,0.0,0.0,0.0,,0.0,,3.6901,368,37,0,12,12,8,8,0.224127,0.028163,0.212121,1,0,1,4,B
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,llama3:8b,hybrid,0.3333,0.2346,0.3333,3,0.8571,,6.0105,425,68,1,12,12,8,8,0.275594,0.006504,0.515152,0,0,0,4,C
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,gemma:2b,hybrid,0.3333,0.2346,0.3333,3,0.6667,,3.8995,425,90,1,12,12,8,8,0.275594,0.006504,0.515152,0,0,1,3,C
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,phi3:latest,hybrid,0.3333,0.2346,0.3333,3,0.8571,,4.4447,425,72,0,12,12,8,8,0.275594,0.006504,0.515152,0,0,1,4,A
G011,Softphone Konferenz planen,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,5.994,376,68,1,12,12,4,4,0.197492,0.048375,0.515152,1,0,1,4,B
G011,Softphone Konferenz planen,gemma:2b,hybrid,0.0,0.0,0.0,,0.0,,3.5521,376,71,1,12,12,4,4,0.197492,0.048375,0.515152,0,0,0,6,B
G011,Softphone Konferenz planen,phi3:latest,hybrid,0.0,0.0,0.0,,1.0,,4.3462,376,61,1,12,12,4,4,0.197492,0.048375,0.515152,0,0,0,6,B
G012,HP Drucker Papierstau beheben,llama3:8b,hybrid,0.25,0.3904,1.0,1,1.0,,6.2008,575,65,1,12,12,5,5,0.284051,0.024043,0.69697,1,0,0,4,C
G012,HP Drucker Papierstau beheben,gemma:2b,hybrid,0.25,0.3904,1.0,1,0.8571,,2.5887,575,3,1,12,12,5,5,0.284051,0.024043,0.69697,1,0,0,3,C
G012,HP Drucker Papierstau beheben,phi3:latest,hybrid,0.25,0.3904,1.0,1,1.0,,4.6407,575,68,0,12,12,5,5,0.284051,0.024043,0.69697,1,0,0,4,A
G013,HP Drucker Duplexmodul verwenden,llama3:8b,hybrid,0.25,0.1681,0.25,4,1.0,,5.9654,323,73,1,12,4,10,3,0.272282,0.069652,0.854545,1,0,0,4,C
G013,HP Drucker Duplexmodul verwenden,gemma:2b,hybrid,0.25,0.1681,0.25,4,0.0,,3.194,323,55,1,12,4,10,3,0.272282,0.069652,0.854545,0,0,0,4,C
G013,HP Drucker Duplexmodul verwenden,phi3:latest,hybrid,0.25,0.1681,0.25,4,1.0,,4.3211,323,49,1,12,4,10,3,0.272282,0.069652,0.854545,0,0,1,7,C
G014,HP Drucker Patronen reinigen,llama3:8b,hybrid,0.25,0.2463,0.5,2,0.0,,6.1056,736,66,1,12,7,6,3,0.329483,0.034798,0.511111,0,0,1,4,C
G014,HP Drucker Patronen reinigen,gemma:2b,hybrid,0.25,0.2463,0.5,2,0.0,,3.7671,736,74,1,12,7,6,3,0.329483,0.034798,0.511111,0,0,0,5,C
G014,HP Drucker Patronen reinigen,phi3:latest,hybrid,0.25,0.2463,0.5,2,1.0,,4.326,736,49,0,12,7,6,3,0.329483,0.034798,0.511111,0,0,1,5,A
G015,Abwesenheitsagent in Clerk anlegen,llama3:8b,hybrid,0.5,0.6131,1.0,1,1.0,,6.9791,1375,69,1,12,12,2,2,0.177306,-0.004518,0.212121,1,0,0,4,C
G015,Abwesenheitsagent in Clerk anlegen,gemma:2b,hybrid,0.5,0.6131,1.0,1,0.6667,,2.7655,1375,4,1,12,12,2,2,0.177306,-0.004518,0.212121,0,0,0,1,C
G015,Abwesenheitsagent in Clerk anlegen,phi3:latest,hybrid,0.5,0.6131,1.0,1,0.6667,,5.5935,1375,46,0,12,12,2,2,0.177306,-0.004518,0.212121,1,0,0,9,A
G016,Outlook Ordner fuer Stellvertreter freigeben,llama3:8b,hybrid,0.25,0.3904,1.0,1,0.8571,,5.9303,356,73,1,12,12,1,1,0.134345,0.011195,-0.212121,1,0,0,3,C
G016,Outlook Ordner fuer Stellvertreter freigeben,gemma:2b,hybrid,0.25,0.3904,1.0,1,0.8571,,3.8242,356,88,1,12,12,1,1,0.134345,0.011195,-0.212121,0,0,0,6,C
G016,Outlook Ordner fuer Stellvertreter freigeben,phi3:latest,hybrid,0.25,0.3904,1.0,1,1.0,,4.2946,356,76,0,12,12,1,1,0.134345,0.011195,-0.212121,1,0,0,4,A
G017,Raeume oder Ressourcen buchen,llama3:8b,hybrid,0.5,0.6367,1.0,1,1.0,,5.6786,335,69,1,12,8,12,8,0.224331,0.043763,0.606061,1,1,0,4,OK
G017,Raeume oder Ressourcen buchen,gemma:2b,hybrid,0.5,0.6367,1.0,1,0.0,,3.2039,335,53,1,12,8,12,8,0.224331,0.043763,0.606061,0,0,0,2,C
G017,Raeume oder Ressourcen buchen,phi3:latest,hybrid,0.5,0.6367,1.0,1,0.8571,,3.1101,335,18,0,12,8,12,8,0.224331,0.043763,0.606061,0,0,1,4,A
