question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct
G001,Softphone Kennwort aendern,phi3:latest,hybrid,1.0,1.0,1.0,1,0.0,passwort,4.5709,698,17,0
G002,Softphone Anmeldedaten speichern aktivieren,phi3:latest,hybrid,1.0,1.0,1.0,1,1.0,,2.784,617,9,0
G003,Softphone Erstanmeldung mit DLS PIN,phi3:latest,hybrid,1.0,1.0,1.0,1,1.0,,3.2073,427,24,0
G004,Softphone vollstaendig beenden,phi3:latest,hybrid,1.0,1.0,1.0,1,0.0,taskleiste,3.1768,329,22,1
G005,Softphone Fusion Leiste Funktionen,phi3:latest,hybrid,1.0,1.0,1.0,1,0.0,favoriten,3.226,367,26,0
G006,Softphone praefiertes Endgeraet wechseln,phi3:latest,hybrid,1.0,1.0,1.0,1,0.0,endgeraet,3.1546,331,22,1
G007,Softphone One Number Service konfigurieren,phi3:latest,hybrid,0.8,0.8688,1.0,1,1.0,,3.4243,674,30,0
G008,Softphone Rufnummernanzeige steuern (CLIR),phi3:latest,hybrid,1.0,1.0,1.0,1,0.0,rufnummer,2.7632,331,7,0
G009,Softphone Rufnummer fuer CLIR deaktivieren,phi3:latest,hybrid,1.0,1.0,1.0,1,0.0,"clir, deaktivieren",3.1499,432,13,0
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,phi3:latest,hybrid,1.0,0.9675,1.0,1,0.0,"kontakte, rufnummer",3.168,353,18,1
G011,Softphone Konferenz planen,phi3:latest,hybrid,1.0,1.0,1.0,1,0.8571,softphone,3.1946,350,21,1
G012,HP Drucker Papierstau beheben,phi3:latest,hybrid,1.0,1.0,1.0,1,1.0,,3.1863,355,18,1
G013,HP Drucker Duplexmodul verwenden,phi3:latest,hybrid,1.0,1.0,1.0,1,0.0,duplex,3.2034,312,15,0
G014,HP Drucker Patronen reinigen,phi3:latest,hybrid,1.0,1.0,1.0,1,1.0,,3.182,357,19,1
G015,Abwesenheitsagent in Clerk anlegen,phi3:latest,hybrid,1.0,1.0,1.0,1,1.0,,3.501,828,18,0
G016,Outlook Ordner fuer Stellvertreter freigeben,phi3:latest,hybrid,1.0,1.0,1.0,1,1.0,,3.2087,359,23,1
G017,Raeume oder Ressourcen buchen,phi3:latest,hybrid,1.0,0.6309,0.5,2,0.0,"buchung, raum",3.1826,343,19,1
G018,Wie konfiguriere ich die Proxy-Einstellungen fuer agree21Internet manuell?,phi3:latest,hybrid,1.0,1.0,1.0,1,0.0,"proxy, webgateway",3.4605,496,21,1
G019,Welche Aufgaben uebernimmt das Atruvia Secure Webgateway laut Funktionsbeschreibung?,phi3:latest,hybrid,1.0,0.5,0.3333,3,0.0,"secure, webgateway",3.2785,414,22,1
G020,Welche Ports empfiehlt die LDAP-Anleitung fuer StartTLS und LDAPS?,phi3:latest,hybrid,1.0,0.6309,0.5,2,0.6667,"389, 636",2.9236,414,11,1
G021,Welche Forms-Regeln gelten laut Spielregeln M365?,phi3:latest,hybrid,0.0,0.0,0.0,,0.0,forms,3.1958,504,29,0
G022,Wie legt man Postfachregeln laut Anleitung in Outlook Online an?,phi3:latest,hybrid,1.0,0.6934,0.5,2,0.0,"postfach, regeln",3.8816,746,30,0
G023,Wie aktiviert man Senden-von in Outlook laut Anleitung?,phi3:latest,hybrid,1.0,1.0,1.0,1,0.0,"outlook, senden von",3.5987,712,30,0
G024,Wie erteilt man Outlook-Zugriff fuer Stellvertreter laut Guidance?,phi3:latest,hybrid,0.0,0.0,0.0,,0.6667,"freigabe, hinzufuegen",3.3443,630,26,0
