question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct
G001,Softphone Kennwort aendern,gemma:2b,hybrid,1.0,1.0,1.0,1,0.0,softphone,4.256,672,18,1
G002,Softphone Anmeldedaten speichern aktivieren,gemma:2b,hybrid,1.0,1.0,1.0,1,0.0,"anmeldedaten, softphone",2.8445,617,32,0
G003,Softphone Erstanmeldung mit DLS PIN,gemma:2b,hybrid,1.0,1.0,1.0,1,0.8571,erstmalig,2.9565,427,39,1
G004,Softphone vollstaendig beenden,gemma:2b,hybrid,1.0,1.0,1.0,1,0.0,"beenden, taskleiste",2.5567,329,14,1
G005,Softphone Fusion Leiste Funktionen,gemma:2b,hybrid,1.0,1.0,1.0,1,0.0,favoriten,2.969,367,40,1
G006,Softphone praefiertes Endgeraet wechseln,gemma:2b,hybrid,1.0,1.0,1.0,1,0.0,endgeraet,2.5611,331,17,1
G007,Softphone One Number Service konfigurieren,gemma:2b,hybrid,0.8,0.8688,1.0,1,1.0,,3.0485,674,34,0
G008,Softphone Rufnummernanzeige steuern (CLIR),gemma:2b,hybrid,1.0,1.0,1.0,1,0.0,clir,2.6641,331,19,1
G009,Softphone Rufnummer fuer CLIR deaktivieren,gemma:2b,hybrid,1.0,1.0,1.0,1,0.6667,"auswaehlen, geraet",2.829,422,24,0
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,gemma:2b,hybrid,1.0,0.9675,1.0,1,0.6667,"anruf, uebergeben",2.7638,353,28,1
G011,Softphone Konferenz planen,gemma:2b,hybrid,1.0,1.0,1.0,1,0.0,moderator,2.6375,350,15,0
G012,HP Drucker Papierstau beheben,gemma:2b,hybrid,1.0,1.0,1.0,1,0.0,drucker,2.9076,355,40,0
G013,HP Drucker Duplexmodul verwenden,gemma:2b,hybrid,1.0,1.0,1.0,1,0.0,"drucker, duplex",2.6589,312,24,0
