question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001,Softphone Kennwort aendern,llama3:8b,hybrid,0.25,0.1089,0.0909,11,1.0,,7.6103,936,110,1,12,12,0,0,5.728184,5.557562,0.30303,1,0,1,5,C
G001,Softphone Kennwort aendern,gemma:2b,hybrid,0.25,0.1089,0.0909,11,0.5714,,2.7461,936,12,1,12,12,0,0,5.728184,5.557562,0.30303,0,0,0,2,C
G001,Softphone Kennwort aendern,phi3:latest,hybrid,0.25,0.1089,0.0909,11,1.0,,4.8143,936,58,0,12,12,0,0,5.728184,5.557562,0.30303,0,0,1,8,A
G002,Softphone Anmeldedaten speichern aktivieren,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,5.4961,1087,53,0,12,12,0,0,13.538064,12.801033,-0.030303,1,0,1,4,B
G002,Softphone Anmeldedaten speichern aktivieren,gemma:2b,hybrid,0.0,0.0,0.0,,0.8571,,2.9453,1087,24,0,12,12,0,0,13.538064,12.801033,-0.030303,0,0,0,3,B
G002,Softphone Anmeldedaten speichern aktivieren,phi3:latest,hybrid,0.0,0.0,0.0,,1.0,,3.5315,1087,18,0,12,12,0,0,13.538064,12.801033,-0.030303,1,0,1,4,B
G003,Softphone Erstanmeldung mit DLS PIN,llama3:8b,hybrid,0.0,0.0,0.0,38,1.0,,6.0157,818,72,0,12,12,0,0,5.698438,5.380668,-0.060606,1,0,1,5,A
G003,Softphone Erstanmeldung mit DLS PIN,gemma:2b,hybrid,0.0,0.0,0.0,38,0.8571,,2.8459,818,15,0,12,12,0,0,5.698438,5.380668,-0.060606,0,0,0,4,A
G003,Softphone Erstanmeldung mit DLS PIN,phi3:latest,hybrid,0.0,0.0,0.0,38,1.0,,5.034,818,64,0,12,12,0,0,5.698438,5.380668,-0.060606,0,0,1,6,A
G004,Softphone vollstaendig beenden,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,6.1243,816,73,0,12,12,0,0,5.698438,5.380668,-0.060606,1,0,1,4,B
G004,Softphone vollstaendig beenden,gemma:2b,hybrid,0.0,0.0,0.0,,0.0,,2.7552,816,6,0,12,12,0,0,5.698438,5.380668,-0.060606,0,0,0,2,B
G004,Softphone vollstaendig beenden,phi3:latest,hybrid,0.0,0.0,0.0,,1.0,,4.1207,816,27,0,12,12,0,0,5.698438,5.380668,-0.060606,1,0,1,4,B
G005,Softphone Fusion Leiste Funktionen,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,5.3743,889,47,0,12,12,0,0,8.022989,7.993176,0.363636,1,0,0,4,B
G005,Softphone Fusion Leiste Funktionen,gemma:2b,hybrid,0.0,0.0,0.0,,0.6667,,2.7046,889,9,0,12,12,0,0,8.022989,7.993176,0.363636,0,0,0,2,B
G005,Softphone Fusion Leiste Funktionen,phi3:latest,hybrid,0.0,0.0,0.0,,1.0,,3.9895,889,42,0,12,12,0,0,8.022989,7.993176,0.363636,1,0,1,4,B
G006,Softphone praefiertes Endgeraet wechseln,llama3:8b,hybrid,0.0,0.0,0.0,,0.8571,,5.67,817,60,0,12,12,0,0,5.698438,5.380668,-0.060606,0,0,1,4,B
G006,Softphone praefiertes Endgeraet wechseln,gemma:2b,hybrid,0.0,0.0,0.0,,0.6667,,2.8019,817,7,0,12,12,0,0,5.698438,5.380668,-0.060606,0,0,0,3,B
G006,Softphone praefiertes Endgeraet wechseln,phi3:latest,hybrid,0.0,0.0,0.0,,1.0,,3.5893,817,18,0,12,12,0,0,5.698438,5.380668,-0.060606,1,0,1,4,B
G007,Softphone One Number Service konfigurieren,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,5.5321,1498,53,0,12,12,0,0,11.330431,10.842565,0.090909,1,0,1,4,B
G007,Softphone One Number Service konfigurieren,gemma:2b,hybrid,0.0,0.0,0.0,,0.0,,3.1323,1498,30,1,12,12,0,0,11.330431,10.842565,0.090909,0,0,0,5,B
G007,Softphone One Number Service konfigurieren,phi3:latest,hybrid,0.0,0.0,0.0,,0.0,,3.6614,1498,16,0,12,12,0,0,11.330431,10.842565,0.090909,1,0,1,4,B
G008,Softphone Rufnummernanzeige steuern (CLIR),llama3:8b,hybrid,0.0,0.0,0.0,,0.0,,5.7007,817,63,0,12,12,0,0,5.698438,5.380668,-0.060606,0,0,1,4,B
