question_id,sample_index,run_label,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,embedding_model,chunk_strategy,chunk_size_tokens,chunk_overlap_tokens,reranker_enabled,index_base,error_bucket
G001_01,0,,Softphone Kennwort aendern,llama3:8b,dense,1.0,0.5,0.3333,3,0.75,,3.8071,416,35,1,10,0,10,0,0.0,0.0,0.333333,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G002_01,1,,Softphone Anmeldedaten speichern aktivieren,llama3:8b,dense,1.0,0.3869,0.2,5,0.6667,,3.8538,431,33,1,10,0,10,0,0.0,0.0,0.644444,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G003_01,2,,Softphone Erstanmeldung mit DLS PIN,llama3:8b,dense,1.0,1.0,1.0,1,0.8571,,3.9676,446,38,1,10,0,10,0,0.0,0.0,0.688889,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G004_01,3,,Softphone vollstaendig beenden,llama3:8b,dense,1.0,0.8072,1.0,1,0.8571,,4.0211,342,35,1,10,0,10,0,0.0,0.0,0.6,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G005_01,4,,Softphone Fusion Leiste Funktionen,llama3:8b,dense,1.0,0.906,1.0,1,1.0,,3.9729,438,30,1,10,0,10,0,0.0,0.0,0.822222,1,0,1,3,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G006_01,5,,Softphone praefiertes Endgeraet wechseln,llama3:8b,dense,0.6667,0.4776,0.5,2,0.6667,,4.0312,429,37,1,10,0,10,0,0.0,0.0,0.511111,0,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G007_01,6,,Softphone One Number Service konfigurieren,llama3:8b,dense,1.0,1.0,1.0,1,1.0,,4.0142,449,35,1,10,0,10,0,0.0,0.0,0.155556,1,0,0,1,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G008_01,7,,Softphone Rufnummernanzeige steuern (CLIR),llama3:8b,dense,1.0,0.4416,0.2,5,0.4,,4.0138,413,36,1,10,0,10,0,0.0,0.0,0.511111,1,0,0,1,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G009_01,8,,Softphone Rufnummer fuer CLIR deaktivieren,llama3:8b,dense,0.3333,0.4693,1.0,1,0.4,,3.9809,420,33,1,10,0,10,0,0.0,0.0,0.688889,1,0,0,1,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G010_01,9,,Softphone Rufnummernanzeige fuer Kontakte anpassen,llama3:8b,dense,0.3333,0.1672,0.1667,6,0.4,,3.92,359,36,1,10,0,10,0,0.0,0.0,0.644444,1,0,0,1,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G011_01,10,,Softphone Konferenz planen,llama3:8b,dense,0.0,0.0,0.0,20,0.6667,,4.02,430,29,1,10,0,10,0,0.0,0.0,0.644444,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G012_01,11,,HP Drucker Papierstau beheben,llama3:8b,dense,0.0,0.0,0.0,16,0.6667,,4.0007,382,33,1,10,0,10,0,0.0,0.0,0.377778,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G013_01,12,,HP Drucker Duplexmodul verwenden,llama3:8b,dense,0.3333,0.2961,0.5,2,0.8571,,4.0401,384,37,1,10,0,10,0,0.0,0.0,0.644444,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G014_01,13,,HP Drucker Patronen reinigen,llama3:8b,dense,0.6667,0.3585,0.25,4,0.6667,,3.9929,389,32,1,10,0,10,0,0.0,0.0,0.066667,0,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
