question_id,sample_index,run_label,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,embedding_model,chunk_strategy,chunk_size_tokens,chunk_overlap_tokens,reranker_enabled,index_base,error_bucket
G001_01,0,,Softphone Kennwort aendern,llama3:8b,dense,1.0,1.0,1.0,1,0.5714,,5.8861,316,34,1,10,0,10,0,0.658783,0.101252,1.0,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,C
G002_01,1,,Softphone Anmeldedaten speichern aktivieren,llama3:8b,dense,1.0,1.0,1.0,1,1.0,,3.7877,413,26,1,10,0,10,0,0.661761,0.15984,0.422222,0,0,1,4,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,C
G003_01,2,,Softphone Erstanmeldung mit DLS PIN,llama3:8b,dense,1.0,1.0,1.0,1,0.6667,,3.9943,470,35,1,10,0,10,0,0.607681,0.081057,0.333333,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,C
G004_01,3,,Softphone vollstaendig beenden,llama3:8b,dense,1.0,1.0,1.0,1,0.8571,,3.9731,438,34,1,10,0,10,0,0.617181,0.079733,0.6,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,C
G005_01,4,,Softphone Fusion Leiste Funktionen,llama3:8b,dense,1.0,1.0,1.0,1,1.0,,3.9556,412,35,1,10,0,10,0,0.584823,0.133497,0.555556,1,0,1,3,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,C
G006_01,5,,Softphone praefiertes Endgeraet wechseln,llama3:8b,dense,1.0,1.0,1.0,1,1.0,,3.9748,400,32,1,10,0,10,0,0.666216,0.31122,0.466667,1,0,1,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,C
G007_01,6,,Softphone One Number Service konfigurieren,llama3:8b,dense,0.8,0.8688,1.0,1,1.0,,4.1171,629,36,1,10,0,10,0,0.600625,0.223768,0.511111,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,C
G008_01,7,,Softphone Rufnummernanzeige steuern (CLIR),llama3:8b,dense,1.0,1.0,1.0,1,0.4,,4.0157,411,31,1,10,0,10,0,0.666498,0.087143,0.333333,1,0,0,1,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,C
G009_01,8,,Softphone Rufnummer fuer CLIR deaktivieren,llama3:8b,dense,1.0,1.0,1.0,1,0.6667,,4.0255,475,33,1,10,0,10,0,0.666316,0.255871,0.2,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,C
G010_01,9,,Softphone Rufnummernanzeige fuer Kontakte anpassen,llama3:8b,dense,1.0,0.9675,1.0,1,0.4,,3.9074,405,35,1,10,0,10,0,0.679034,0.289947,0.2,1,0,0,1,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,C
G011_01,10,,Softphone Konferenz planen,llama3:8b,dense,1.0,1.0,1.0,1,0.6667,,3.9919,392,31,1,10,0,10,0,0.661162,0.230711,0.466667,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,C
G012_01,11,,HP Drucker Papierstau beheben,llama3:8b,dense,1.0,1.0,1.0,1,0.8571,,3.9993,391,28,1,10,0,10,0,0.661966,0.354036,0.111111,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,C
G013_01,12,,HP Drucker Duplexmodul verwenden,llama3:8b,dense,0.6667,0.7654,1.0,1,0.8571,,3.9331,375,35,1,10,0,10,0,0.665431,0.340185,0.111111,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,C
G014_01,13,,HP Drucker Patronen reinigen,llama3:8b,dense,0.6667,0.7654,1.0,1,0.6667,,3.9901,384,28,0,10,0,10,0,0.666467,0.142955,-0.022222,1,0,0,1,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,A
G015_01,14,,Abwesenheitsagent in Clerk anlegen,llama3:8b,dense,1.0,1.0,1.0,1,0.6667,,4.1263,767,30,1,10,0,10,0,0.594705,0.078528,0.511111,0,0,1,3,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,C
G016_01,15,,Outlook Ordner fuer Stellvertreter freigeben,llama3:8b,dense,1.0,1.0,1.0,1,0.8571,,3.9151,397,32,1,10,0,10,0,0.580151,0.066149,0.466667,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,C
G017_01,16,,Raeume oder Ressourcen buchen,llama3:8b,dense,1.0,0.6309,0.5,2,0.8571,,3.9835,395,34,1,10,0,10,0,0.627216,0.24289,0.688889,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,C
G018_01,17,,Wie konfiguriere ich die Proxy-Einstellungen fuer agree21Internet manuell?,llama3:8b,dense,1.0,1.0,1.0,1,0.6667,,4.1774,539,32,1,10,0,10,0,0.655528,0.255027,0.244444,1,0,0,1,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,C
G019_01,18,,Welche Aufgaben uebernimmt das Atruvia Secure Webgateway laut Funktionsbeschreibung?,llama3:8b,dense,1.0,0.4307,0.25,4,0.4,,3.9884,380,32,1,10,0,10,0,0.596314,0.483467,0.2,1,0,0,1,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,C
G020_01,19,,Welche Ports empfiehlt die LDAP-Anleitung fuer StartTLS und LDAPS?,llama3:8b,dense,1.0,0.6309,0.5,2,0.8571,,3.9679,433,31,0,10,0,10,0,0.648676,0.099318,0.422222,1,0,1,3,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,A
G021_01,20,,Welche Forms-Regeln gelten laut Spielregeln M365?,llama3:8b,dense,0.0,0.0,0.0,,1.0,,3.9244,491,32,0,10,0,10,0,3.500701,3.494602,0.377778,1,0,1,4,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,B
G022_01,21,,Wie legt man Postfachregeln laut Anleitung in Outlook Online an?,llama3:8b,dense,1.0,0.6934,0.5,2,0.8571,,4.3117,808,31,0,10,0,10,0,0.639703,0.192033,0.688889,1,0,0,1,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,A
G023_01,22,,Wie aktiviert man Senden-von in Outlook laut Anleitung?,llama3:8b,dense,1.0,1.0,1.0,1,0.6667,,4.2178,701,35,1,10,0,10,0,0.62342,0.10497,0.155556,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,C
G024_01,23,,Wie erteilt man Outlook-Zugriff fuer Stellvertreter laut Guidance?,llama3:8b,dense,0.0,0.0,0.0,,0.6667,,3.9371,455,31,1,10,0,10,0,0.673353,0.067335,0.155556,1,0,0,1,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,B
G025_01,24,,Wie erstellt man Screenshots mit Greenshot laut Anleitung?,llama3:8b,dense,0.0,0.0,0.0,,0.6667,,4.1543,615,30,1,10,0,10,0,0.69132,0.069132,0.644444,1,0,0,1,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,B
G026_01,25,,Welche Abwesenheitsarten mussen Mitarbeitende im Clerk-Abwesenheitsagenten eintragen und welche Schritte sind fur die Anlage einer periodischen Serie inklusive Namen und Zeitraum notwendig?,llama3:8b,dense,1.0,0.9197,1.0,1,0.6667,,4.1843,542,21,1,10,0,10,0,0.689058,0.166619,0.511111,0,0,1,3,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,C
G027_01,26,,Wie werden im Clerk-Abwesenheitsagenten halbtagige Abwesenheiten konfiguriert und welche Optionen sollten bei einer wochentlich wiederkehrenden Teilzeitabwesenheit gesetzt werden?,llama3:8b,dense,0.5,0.2641,0.25,4,0.6667,,3.9655,550,31,1,10,0,10,0,0.665597,0.144394,0.333333,1,0,1,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,C
G028_01,27,,"Welche Einstellungen sind in Outlook erforderlich, damit sowohl neue als auch bereits bestehende Ordner automatisch fur Stellvertreter freigegeben sind?",llama3:8b,dense,0.0,0.0,0.0,,0.8571,,4.425,817,30,1,10,0,10,0,0.607467,0.216918,0.688889,1,0,0,1,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,B
G029_01,28,,"Welche Schritte sind laut PDF-Crypt-Anleitung erforderlich, um Kundenpassworter einzusehen und anschliessend ein neues Passwort zu vergeben?",llama3:8b,dense,1.0,1.0,1.0,1,0.8571,,3.885,470,34,0,10,0,10,0,0.657906,0.091458,0.555556,1,0,1,3,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,A
G030_01,29,,"Welche Schritte verlangt die Anleitung, um Postfachregeln serverseitig uber Outlook Online einzurichten, und wie wird die Regel anschliessend aktiviert?",llama3:8b,dense,0.3333,0.4693,1.0,1,0.8571,,4.1307,628,37,0,10,0,10,0,0.662024,0.142274,0.244444,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,A
G031_01,30,,Welche Varianten zum Buchen eines Besprechungsraums beschreibt die Ressourcendokumentation und welche Schritte sind fur die Kalendergruppe notwendig?,llama3:8b,dense,0.0,0.0,0.0,,0.6667,,4.0338,437,37,1,10,0,10,0,0.68919,0.152937,0.777778,1,0,1,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,B
G032_01,31,,Welche Hinweise und Warnungen nennt das HP-Druckerhandbuch fur den Umgang mit dem Gerat und welche Leistungsmerkmale werden hervorgehoben?,llama3:8b,dense,0.3333,0.2961,0.5,2,0.6667,,3.9374,399,32,1,10,0,10,0,0.68601,0.331427,0.066667,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,C
G033_01,32,,Welche technischen Komponenten des Atruvia Secure Webgateway werden genannt und welche Filter- sowie SSL-Analysefunktionen stehen laut Dokumentation zur Verfugung?,llama3:8b,dense,0.6667,0.3378,0.25,4,0.6667,,4.1778,540,31,1,10,0,10,0,0.632798,0.57294,0.422222,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,C
G034_01,33,,"Welche Schritte sind laut LDAP-Anleitung notwendig, um die Vertrauensstellung zu aktivieren und das Root-Zertifikat zu installieren?",llama3:8b,dense,0.3333,0.2961,0.5,2,1.0,,4.2543,872,29,0,10,0,10,0,0.635995,0.096772,0.555556,1,0,1,4,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,A
G035_01,34,,Wie lassen sich laut Anleitung die Firefox-Lesezeichen vor dem Import nach Edge bereinigen und welche Schritte sind fur den erneuten Import erforderlich?,llama3:8b,dense,1.0,1.0,1.0,1,1.0,,4.071,395,28,0,10,0,10,0,0.655583,0.065558,0.155556,0,0,1,4,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,A
G036_01,35,,Wie erstellt man im agree21Voice Softphone ein benutzerdefiniertes Anrufumleitungsprofil und welche Optionen fur Regeln und Prasenzstatus konnen festgelegt werden?,llama3:8b,dense,0.6667,0.4982,0.5,2,0.6667,,3.9435,405,32,1,10,0,10,0,0.646315,0.528618,-0.111111,1,0,0,1,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,C
G037_01,36,,"Welche Voraussetzungen mussen im agree21Voice Softphone erfullt sein, damit eine einfache Anrufumleitung wirksam bleibt, und wie deaktiviert man sie wieder?",llama3:8b,dense,0.0,0.0,0.0,18,0.4,,3.9284,405,28,1,10,0,10,0,0.657027,0.317247,0.377778,1,0,0,1,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,C
G038_01,37,,Wie erfolgt die Administration des Atruvia Secure Webgateway in SAGA und wie konnen Internetprofile kopiert und angepasst werden?,llama3:8b,dense,0.3333,0.4693,1.0,1,0.6667,,4.1043,502,33,1,10,0,10,0,0.615442,0.467034,0.422222,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,C
G039_01,38,,Welche Exportoptionen bietet Greenshot nach einer Bereichsauswahl laut Anleitung?,llama3:8b,dense,0.0,0.0,0.0,,0.4,,4.0199,385,27,1,10,0,10,0,0.711364,0.071136,0.333333,0,0,0,3,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,B
G040_01,39,,Wie wird nach der Einrichtung von LDAPS im LDAP-Handbuch die Verbindung getestet und was zeigt einen erfolgreichen Test an?,llama3:8b,dense,1.0,1.0,1.0,1,0.8571,,3.937,523,33,1,10,0,10,0,0.641761,0.159089,0.6,0,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,1,app\chatbot\data\faiss_index\index,C
