query,model,recall@k,ndcg@k,mrr,keyword_f1,time_s,factual_correct
Wie finde ich das Kapitel zur Kennwortänderung im agree21Voice Handbuch?,mistral:instruct,0.0,0.0,0.0,0.24,4.1486,1
Wie finde ich das Kapitel zur Kennwortänderung im agree21Voice Handbuch?,gemma:2b,0.0,0.0,0.0,0.2727,2.7539,1
Wie finde ich das Kapitel zur Kennwortänderung im agree21Voice Handbuch?,phi3:latest,0.0,0.0,0.0,0.0588,3.3927,0
Wo steht etwas über die Initial-PIN beim Softphone Start?,mistral:instruct,0.0,0.0,0.0,0.1875,4.0935,1
Wo steht etwas über die Initial-PIN beim Softphone Start?,gemma:2b,0.0,0.0,0.0,0.0769,2.8386,1
Wo steht etwas über die Initial-PIN beim Softphone Start?,phi3:latest,0.0,0.0,0.0,0.0588,3.476,1
In welchem Kapitel wird der One Number Service erläutert?,mistral:instruct,0.0,0.0,0.0,0.2,4.1396,1
In welchem Kapitel wird der One Number Service erläutert?,gemma:2b,0.0,0.0,0.0,0.4615,2.6352,1
In welchem Kapitel wird der One Number Service erläutert?,phi3:latest,0.0,0.0,0.0,0.1579,3.5422,0
Wo finde ich Informationen zur Anrufumleitung in der Softphone Dokumentation?,mistral:instruct,1.0,0.5,0.3333,0.0909,4.2516,1
Wo finde ich Informationen zur Anrufumleitung in der Softphone Dokumentation?,gemma:2b,1.0,0.5,0.3333,0.1538,2.7538,1
Wo finde ich Informationen zur Anrufumleitung in der Softphone Dokumentation?,phi3:latest,1.0,0.5,0.3333,0.1379,3.6543,1
Wie speichere ich einen Greenshot Bereich als PNG?,mistral:instruct,1.0,1.0,1.0,0.1935,3.8003,1
Wie speichere ich einen Greenshot Bereich als PNG?,gemma:2b,1.0,1.0,1.0,0.1935,2.8886,1
Wie speichere ich einen Greenshot Bereich als PNG?,phi3:latest,1.0,1.0,1.0,0.1935,3.2292,1
Welche Option kopiert den Greenshot in die Zwischenablage?,mistral:instruct,1.0,1.0,1.0,0.1739,3.7913,1
