question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001,Softphone Kennwort aendern,llama3:70b,hybrid,0.0,0.0,0.0,,1.0,,108.5574,1554,37,0,12,12,0,0,3.57169,3.216399,0.090909,1,0,1,5,B
G002,Softphone Anmeldedaten speichern aktivieren,llama3:70b,hybrid,0.0,0.0,0.0,,1.0,,94.0734,1250,32,0,12,12,1,1,6.480399,6.219687,-0.212121,1,0,1,4,B
G003,Softphone Erstanmeldung mit DLS PIN,llama3:70b,hybrid,0.0,0.0,0.0,,1.0,,101.4552,1588,32,0,12,12,0,0,3.57169,3.216399,0.090909,1,0,1,4,B
G004,Softphone vollstaendig beenden,llama3:70b,hybrid,0.0,0.0,0.0,,1.0,,109.8736,1784,32,0,12,12,0,0,3.57169,3.216399,0.090909,1,0,1,4,B
G005,Softphone Fusion Leiste Funktionen,llama3:70b,hybrid,0.0,0.0,0.0,,1.0,,104.0911,971,38,0,12,12,0,0,8.015945,7.986263,0.636364,1,0,1,4,B
G006,Softphone praefiertes Endgeraet wechseln,llama3:70b,hybrid,0.0,0.0,0.0,,1.0,,124.9963,1528,49,0,12,12,0,0,3.57169,3.616996,0.393939,1,0,1,4,B
G007,Softphone One Number Service konfigurieren,llama3:70b,hybrid,0.0,0.0,0.0,13,0.0,,139.1231,1748,71,1,12,12,0,0,3.57169,3.216399,0.090909,1,0,1,4,C
G008,Softphone Rufnummernanzeige steuern (CLIR),llama3:70b,hybrid,0.0,0.0,0.0,,0.0,,113.6514,1785,32,0,12,12,0,0,3.57169,3.216399,0.090909,1,0,1,4,B
G009,Softphone Rufnummer fuer CLIR deaktivieren,llama3:70b,hybrid,0.0,0.0,0.0,,0.0,,113.8233,1786,32,0,12,12,0,0,3.57169,3.216399,0.090909,1,0,1,4,B
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,llama3:70b,hybrid,0.0,0.0,0.0,,0.0,,113.6143,1786,32,0,12,12,0,0,3.57169,3.216399,0.090909,1,0,1,4,B
