question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001,Softphone Kennwort aendern,mistral:instruct,hybrid,0.5,0.6367,1.0,1,1.0,,36.7471,322,65,1,20,2,2,2,0.0,0.0,1.0,0,0,0,6,C
G001,Softphone Kennwort aendern,gemma:2b,hybrid,0.5,0.6367,1.0,1,0.8889,,2.3966,322,5,1,20,2,2,2,0.0,0.0,1.0,1,0,0,4,C
G001,Softphone Kennwort aendern,phi3:latest,hybrid,0.5,0.6367,1.0,1,1.0,,5.8933,322,66,1,20,2,2,2,0.0,0.0,1.0,1,0,0,5,C
G002,Softphone Anmeldedaten speichern aktivieren,mistral:instruct,hybrid,0.5,0.6131,1.0,1,1.0,,89.9444,988,43,1,20,20,7,7,0.0,0.0,0.68254,0,0,0,4,C
G002,Softphone Anmeldedaten speichern aktivieren,gemma:2b,hybrid,0.5,0.6131,1.0,1,1.0,,2.5285,988,4,1,20,20,7,7,0.0,0.0,0.68254,1,0,0,4,C
G002,Softphone Anmeldedaten speichern aktivieren,phi3:latest,hybrid,0.5,0.6131,1.0,1,1.0,,6.5653,988,54,0,20,20,7,7,0.0,0.0,0.68254,1,0,1,4,A
G003,Softphone Erstanmeldung mit DLS PIN,mistral:instruct,hybrid,0.5,0.6131,1.0,1,1.0,,20.9534,348,64,1,20,2,2,2,0.0,0.0,1.0,0,0,0,5,C
G003,Softphone Erstanmeldung mit DLS PIN,gemma:2b,hybrid,0.5,0.6131,1.0,1,0.8571,,2.6911,348,22,1,20,2,2,2,0.0,0.0,1.0,0,0,0,3,C
G003,Softphone Erstanmeldung mit DLS PIN,phi3:latest,hybrid,0.5,0.6131,1.0,1,1.0,,5.9177,348,65,1,20,2,2,2,0.0,0.0,1.0,0,1,0,6,C
G004,Softphone vollstaendig beenden,mistral:instruct,hybrid,0.5,0.6131,1.0,1,1.0,,7.017,1179,53,1,20,20,12,12,0.0,0.0,0.819149,1,0,1,2,C
G004,Softphone vollstaendig beenden,gemma:2b,hybrid,0.5,0.6131,1.0,1,0.8571,,4.3275,1179,22,1,20,20,12,12,0.0,0.0,0.819149,0,0,0,3,C
G004,Softphone vollstaendig beenden,phi3:latest,hybrid,0.5,0.6131,1.0,1,1.0,,5.4565,1179,23,0,20,20,12,12,0.0,0.0,0.819149,1,0,1,4,A
G005,Softphone Fusion Leiste Funktionen,mistral:instruct,hybrid,0.0,0.0,0.0,,1.0,,27.977,212,54,1,20,2,2,2,0.0,0.0,1.0,0,0,1,6,B
G005,Softphone Fusion Leiste Funktionen,gemma:2b,hybrid,0.0,0.0,0.0,,0.8571,,2.4095,212,7,1,20,2,2,2,0.0,0.0,1.0,0,0,0,4,B
G005,Softphone Fusion Leiste Funktionen,phi3:latest,hybrid,0.0,0.0,0.0,,1.0,,5.418,212,48,0,20,2,2,2,0.0,0.0,1.0,1,0,1,4,B
G006,Softphone praefiertes Endgeraet wechseln,mistral:instruct,hybrid,0.0,0.0,0.0,,0.8571,,27.1782,240,59,1,20,2,2,2,0.0,0.0,-1.0,0,0,1,4,B
G006,Softphone praefiertes Endgeraet wechseln,gemma:2b,hybrid,0.0,0.0,0.0,,0.6667,,2.681,240,13,1,20,2,2,2,0.0,0.0,-1.0,0,0,0,3,B
G006,Softphone praefiertes Endgeraet wechseln,phi3:latest,hybrid,0.0,0.0,0.0,,1.0,,5.7074,240,46,0,20,2,2,2,0.0,0.0,-1.0,1,0,1,4,B
G007,Softphone One Number Service konfigurieren,mistral:instruct,hybrid,0.0,0.0,0.0,,1.0,,26.1944,374,48,1,20,2,2,2,0.0,0.0,1.0,1,0,0,4,B
G007,Softphone One Number Service konfigurieren,gemma:2b,hybrid,0.0,0.0,0.0,,1.0,,2.5438,374,18,1,20,2,2,2,0.0,0.0,1.0,1,0,0,4,B
G007,Softphone One Number Service konfigurieren,phi3:latest,hybrid,0.0,0.0,0.0,,1.0,,5.9872,374,59,1,20,2,2,2,0.0,0.0,1.0,1,1,1,4,B
G008,Softphone Rufnummernanzeige steuern (CLIR),mistral:instruct,hybrid,0.0,0.0,0.0,,1.0,,540.9241,1315,30,0,20,20,2,2,0.0,0.0,0.904255,0,0,1,5,B
G008,Softphone Rufnummernanzeige steuern (CLIR),gemma:2b,hybrid,0.0,0.0,0.0,,0.0,,3.5101,1315,62,1,20,20,2,2,0.0,0.0,0.904255,0,0,0,3,B
G008,Softphone Rufnummernanzeige steuern (CLIR),phi3:latest,hybrid,0.0,0.0,0.0,,1.0,,3.9859,1315,18,0,20,20,2,2,0.0,0.0,0.904255,1,0,1,4,B
G009,Softphone Rufnummer fuer CLIR deaktivieren,mistral:instruct,hybrid,0.0,0.0,0.0,,0.6667,,25.8086,308,18,0,20,2,2,2,0.0,0.0,0.0,0,0,1,4,B
G009,Softphone Rufnummer fuer CLIR deaktivieren,gemma:2b,hybrid,0.0,0.0,0.0,,0.0,,2.5161,308,17,1,20,2,2,2,0.0,0.0,0.0,0,0,1,3,B
G009,Softphone Rufnummer fuer CLIR deaktivieren,phi3:latest,hybrid,0.0,0.0,0.0,,0.0,,5.9757,308,54,1,20,2,2,2,0.0,0.0,0.0,0,0,1,5,B
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,mistral:instruct,hybrid,0.25,0.3904,1.0,1,1.0,,25.7854,313,47,0,20,2,2,2,0.0,0.0,1.0,0,0,1,8,A
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,gemma:2b,hybrid,0.25,0.3904,1.0,1,0.4,,2.8623,313,40,1,20,2,2,2,0.0,0.0,1.0,0,0,0,3,C
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,phi3:latest,hybrid,0.25,0.3904,1.0,1,0.0,,5.708,313,55,0,20,2,2,2,0.0,0.0,1.0,0,0,0,6,A
G011,Softphone Konferenz planen,mistral:instruct,hybrid,0.0,0.0,0.0,,1.0,,26.0017,239,69,1,20,2,2,2,0.0,0.0,1.0,1,0,1,4,B
G011,Softphone Konferenz planen,gemma:2b,hybrid,0.0,0.0,0.0,,0.0,,2.6112,239,24,1,20,2,2,2,0.0,0.0,1.0,0,0,0,4,B
G011,Softphone Konferenz planen,phi3:latest,hybrid,0.0,0.0,0.0,,1.0,,5.7984,239,64,0,20,2,2,2,0.0,0.0,1.0,0,0,0,6,B
G012,HP Drucker Papierstau beheben,mistral:instruct,hybrid,0.25,0.3904,1.0,1,1.0,,28.155,1217,46,1,20,20,2,2,0.0,0.0,0.893617,0,0,0,6,C
G012,HP Drucker Papierstau beheben,gemma:2b,hybrid,0.25,0.3904,1.0,1,0.0,,3.6157,1217,82,1,20,20,2,2,0.0,0.0,0.893617,0,0,0,9,C
G012,HP Drucker Papierstau beheben,phi3:latest,hybrid,0.25,0.3904,1.0,1,1.0,,5.8917,1217,38,0,20,20,2,2,0.0,0.0,0.893617,1,0,1,4,A
G013,HP Drucker Duplexmodul verwenden,mistral:instruct,hybrid,0.0,0.0,0.0,,1.0,,27.9102,1324,17,0,20,20,4,4,0.0,0.0,0.62766,0,0,1,5,B
G013,HP Drucker Duplexmodul verwenden,gemma:2b,hybrid,0.0,0.0,0.0,,0.0,,3.9023,1324,101,1,20,20,4,4,0.0,0.0,0.62766,0,0,0,11,B
G013,HP Drucker Duplexmodul verwenden,phi3:latest,hybrid,0.0,0.0,0.0,,0.0,,6.01,1324,35,0,20,20,4,4,0.0,0.0,0.62766,0,0,1,7,B
G014,HP Drucker Patronen reinigen,mistral:instruct,hybrid,0.0,0.0,0.0,,1.0,,27.8942,1169,28,0,20,20,3,3,0.0,0.0,0.776596,0,0,1,6,B
G014,HP Drucker Patronen reinigen,gemma:2b,hybrid,0.0,0.0,0.0,,0.0,,2.7163,1169,18,1,20,20,3,3,0.0,0.0,0.776596,0,0,0,2,B
G014,HP Drucker Patronen reinigen,phi3:latest,hybrid,0.0,0.0,0.0,,0.0,,5.1462,1169,11,0,20,20,3,3,0.0,0.0,0.776596,0,0,1,1,B
G015,Abwesenheitsagent in Clerk anlegen,mistral:instruct,hybrid,0.5,0.6131,1.0,1,1.0,,25.7456,1043,41,1,20,20,2,2,0.0,0.0,0.830688,0,0,1,3,C
G015,Abwesenheitsagent in Clerk anlegen,gemma:2b,hybrid,0.5,0.6131,1.0,1,1.0,,2.5895,1043,4,1,20,20,2,2,0.0,0.0,0.830688,1,0,0,4,C
G015,Abwesenheitsagent in Clerk anlegen,phi3:latest,hybrid,0.5,0.6131,1.0,1,1.0,,5.2473,1043,18,0,20,20,2,2,0.0,0.0,0.830688,1,0,1,4,A
G016,Outlook Ordner fuer Stellvertreter freigeben,mistral:instruct,hybrid,0.25,0.3904,1.0,1,0.0,,27.8511,758,53,1,20,20,9,9,0.0,0.0,0.8,1,0,0,3,C
G016,Outlook Ordner fuer Stellvertreter freigeben,gemma:2b,hybrid,0.25,0.3904,1.0,1,0.0,,2.6112,758,17,1,20,20,9,9,0.0,0.0,0.8,0,0,0,3,C
G016,Outlook Ordner fuer Stellvertreter freigeben,phi3:latest,hybrid,0.25,0.3904,1.0,1,0.0,,6.5612,758,61,1,20,20,9,9,0.0,0.0,0.8,0,0,0,4,C
G017,Raeume oder Ressourcen buchen,mistral:instruct,hybrid,0.5,0.6367,1.0,1,0.8571,,29.3928,995,56,1,20,20,6,6,0.0,0.0,0.741935,0,1,0,5,C
G017,Raeume oder Ressourcen buchen,gemma:2b,hybrid,0.5,0.6367,1.0,1,0.0,,2.4356,995,3,1,20,20,6,6,0.0,0.0,0.741935,0,0,0,3,C
G017,Raeume oder Ressourcen buchen,phi3:latest,hybrid,0.5,0.6367,1.0,1,1.0,,6.547,995,69,0,20,20,6,6,0.0,0.0,0.741935,1,0,0,4,A
