question_id,sample_index,run_label,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,embedding_model,chunk_strategy,chunk_size_tokens,chunk_overlap_tokens,reranker_enabled,index_base,error_bucket
G001_01,0,sentence_transformers_all_minilm_l6_v2__fixed_500__dense__reranker,Softphone Kennwort aendern,llama3:8b,dense,1.0,1.0,1.0,1,0.8889,,3.8629,448,34,1,10,0,10,0,0.658878,0.101271,0.466667,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,C
G002_01,1,sentence_transformers_all_minilm_l6_v2__fixed_500__dense__reranker,Softphone Anmeldedaten speichern aktivieren,llama3:8b,dense,1.0,1.0,1.0,1,1.0,,3.9871,387,27,1,10,0,10,0,0.661721,0.15982,0.644444,1,0,1,3,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,C
G003_01,2,sentence_transformers_all_minilm_l6_v2__fixed_500__dense__reranker,Softphone Erstanmeldung mit DLS PIN,llama3:8b,dense,1.0,1.0,1.0,1,0.8571,,4.0342,470,38,1,10,0,10,0,0.607602,0.081035,0.555556,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,C
G004_01,3,sentence_transformers_all_minilm_l6_v2__fixed_500__dense__reranker,Softphone vollstaendig beenden,llama3:8b,dense,1.0,1.0,1.0,1,0.8571,,4.0168,432,34,1,10,0,10,0,0.617211,0.079745,0.777778,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,C
G005_01,4,sentence_transformers_all_minilm_l6_v2__fixed_500__dense__reranker,Softphone Fusion Leiste Funktionen,llama3:8b,dense,1.0,1.0,1.0,1,1.0,,3.9722,409,35,1,10,0,10,0,0.584755,0.133447,0.511111,1,0,1,3,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,C
G006_01,5,sentence_transformers_all_minilm_l6_v2__fixed_500__dense__reranker,Softphone praefiertes Endgeraet wechseln,llama3:8b,dense,1.0,1.0,1.0,1,0.6667,,3.9771,400,33,1,10,0,10,0,0.666191,0.29866,0.6,0,0,1,2,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,C
G007_01,6,sentence_transformers_all_minilm_l6_v2__fixed_500__dense__reranker,Softphone One Number Service konfigurieren,llama3:8b,dense,0.8,0.8688,1.0,1,1.0,,3.8362,358,34,1,10,0,10,0,0.600534,0.179505,0.688889,1,0,1,4,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,C
G008_01,7,sentence_transformers_all_minilm_l6_v2__fixed_500__dense__reranker,Softphone Rufnummernanzeige steuern (CLIR),llama3:8b,dense,1.0,1.0,1.0,1,0.4,,3.9938,411,31,1,10,0,10,0,0.666314,0.087069,0.733333,1,0,0,1,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,C
G009_01,8,sentence_transformers_all_minilm_l6_v2__fixed_500__dense__reranker,Softphone Rufnummer fuer CLIR deaktivieren,llama3:8b,dense,1.0,1.0,1.0,1,0.6667,,4.0567,475,33,1,10,0,10,0,0.667692,0.262583,0.466667,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,C
G010_01,9,sentence_transformers_all_minilm_l6_v2__fixed_500__dense__reranker,Softphone Rufnummernanzeige fuer Kontakte anpassen,llama3:8b,dense,1.0,0.9675,1.0,1,0.4,,3.9805,405,35,1,10,0,10,0,0.678874,0.29994,0.422222,1,0,0,1,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,C
G011_01,10,sentence_transformers_all_minilm_l6_v2__fixed_500__dense__reranker,Softphone Konferenz planen,llama3:8b,dense,1.0,1.0,1.0,1,0.6667,,3.9318,392,31,1,10,0,10,0,0.661198,0.230737,0.377778,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,C
G012_01,11,sentence_transformers_all_minilm_l6_v2__fixed_500__dense__reranker,HP Drucker Papierstau beheben,llama3:8b,dense,1.0,1.0,1.0,1,0.8571,,3.9611,391,28,1,10,0,10,0,0.661528,0.353605,0.111111,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,C
G013_01,12,sentence_transformers_all_minilm_l6_v2__fixed_500__dense__reranker,HP Drucker Duplexmodul verwenden,llama3:8b,dense,0.6667,0.7654,1.0,1,0.8571,,3.8957,375,35,1,10,0,10,0,0.665228,0.339993,0.111111,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,C
G014_01,13,sentence_transformers_all_minilm_l6_v2__fixed_500__dense__reranker,HP Drucker Patronen reinigen,llama3:8b,dense,0.6667,0.7654,1.0,1,0.6667,,3.9421,384,32,1,10,0,10,0,0.666467,0.142955,-0.022222,0,0,0,2,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,C
G015_01,14,sentence_transformers_all_minilm_l6_v2__fixed_500__dense__reranker,Abwesenheitsagent in Clerk anlegen,llama3:8b,dense,1.0,1.0,1.0,1,0.8571,,4.137,653,30,1,10,0,10,0,0.594668,0.078514,0.733333,1,0,1,3,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,C
G016_01,15,sentence_transformers_all_minilm_l6_v2__fixed_500__dense__reranker,Outlook Ordner fuer Stellvertreter freigeben,llama3:8b,dense,1.0,1.0,1.0,1,0.6667,,3.8952,375,35,1,10,0,10,0,0.580061,0.066121,0.511111,1,0,0,1,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,C
G017_01,16,sentence_transformers_all_minilm_l6_v2__fixed_500__dense__reranker,Raeume oder Ressourcen buchen,llama3:8b,dense,1.0,0.6309,0.5,2,0.8571,,3.9109,364,34,1,10,0,10,0,0.627773,0.243158,0.511111,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,C
G018_01,17,sentence_transformers_all_minilm_l6_v2__fixed_500__dense__reranker,Wie konfiguriere ich die Proxy-Einstellungen fuer agree21Internet manuell?,llama3:8b,dense,1.0,1.0,1.0,1,0.6667,,4.1743,539,32,1,10,0,10,0,0.655393,0.254903,0.244444,1,0,0,1,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,C
G019_01,18,sentence_transformers_all_minilm_l6_v2__fixed_500__dense__reranker,Welche Aufgaben uebernimmt das Atruvia Secure Webgateway laut Funktionsbeschreibung?,llama3:8b,dense,1.0,0.4307,0.25,4,0.4,,3.953,380,32,1,10,0,10,0,0.596266,0.483419,0.2,1,0,0,1,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,C
G020_01,19,sentence_transformers_all_minilm_l6_v2__fixed_500__dense__reranker,Welche Ports empfiehlt die LDAP-Anleitung fuer StartTLS und LDAPS?,llama3:8b,dense,1.0,0.6309,0.5,2,1.0,,4.0597,603,33,0,10,0,10,0,0.647887,0.099082,0.644444,1,0,1,4,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,A
G021_01,20,sentence_transformers_all_minilm_l6_v2__fixed_500__dense__reranker,Welche Forms-Regeln gelten laut Spielregeln M365?,llama3:8b,dense,0.0,0.0,0.0,,1.0,,4.0182,424,33,0,10,0,10,0,3.501214,3.485338,-0.288889,1,0,1,4,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,B
G022_01,21,sentence_transformers_all_minilm_l6_v2__fixed_500__dense__reranker,Wie legt man Postfachregeln laut Anleitung in Outlook Online an?,llama3:8b,dense,0.0,0.0,0.0,,1.0,,4.4981,1424,30,0,10,0,10,0,0.760619,0.763849,0.066667,1,0,1,4,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,B
G023_01,22,sentence_transformers_all_minilm_l6_v2__fixed_500__dense__reranker,Wie aktiviert man Senden-von in Outlook laut Anleitung?,llama3:8b,dense,1.0,1.0,1.0,1,0.6667,,4.4391,1042,37,1,10,0,10,0,0.623072,0.104903,0.377778,1,1,0,1,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,OK
G024_01,23,sentence_transformers_all_minilm_l6_v2__fixed_500__dense__reranker,Wie erteilt man Outlook-Zugriff fuer Stellvertreter laut Guidance?,llama3:8b,dense,0.0,0.0,0.0,,0.6667,,3.9736,447,31,1,10,0,10,0,0.67334,0.067334,0.466667,1,0,0,1,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,B
G025_01,24,sentence_transformers_all_minilm_l6_v2__fixed_500__dense__reranker,Wie erstellt man Screenshots mit Greenshot laut Anleitung?,llama3:8b,dense,0.0,0.0,0.0,,0.6667,,4.3698,754,30,0,10,0,10,0,0.691193,0.069119,-0.155556,0,0,0,2,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,B
G026_01,25,sentence_transformers_all_minilm_l6_v2__fixed_500__dense__reranker,Welche Abwesenheitsarten mussen Mitarbeitende im Clerk-Abwesenheitsagenten eintragen und welche Schritte sind fur die Anlage einer periodischen Serie inklusive Namen und Zeitraum notwendig?,llama3:8b,dense,1.0,0.9197,1.0,1,0.4,,4.0919,520,27,1,10,0,10,0,0.689362,0.166711,0.244444,1,0,0,1,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,C
G027_01,26,sentence_transformers_all_minilm_l6_v2__fixed_500__dense__reranker,Wie werden im Clerk-Abwesenheitsagenten halbtagige Abwesenheiten konfiguriert und welche Optionen sollten bei einer wochentlich wiederkehrenden Teilzeitabwesenheit gesetzt werden?,llama3:8b,dense,0.5,0.2641,0.25,4,0.4,,4.2341,810,28,0,10,0,10,0,0.665812,0.144477,0.511111,1,1,0,1,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,A
G028_01,27,sentence_transformers_all_minilm_l6_v2__fixed_500__dense__reranker,"Welche Einstellungen sind in Outlook erforderlich, damit sowohl neue als auch bereits bestehende Ordner automatisch fur Stellvertreter freigegeben sind?",llama3:8b,dense,0.0,0.0,0.0,,1.0,,4.477,1433,29,0,10,0,10,0,0.773417,0.770175,0.022222,1,0,1,4,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,B
G029_01,28,sentence_transformers_all_minilm_l6_v2__fixed_500__dense__reranker,"Welche Schritte sind laut PDF-Crypt-Anleitung erforderlich, um Kundenpassworter einzusehen und anschliessend ein neues Passwort zu vergeben?",llama3:8b,dense,1.0,1.0,1.0,1,1.0,,4.0438,617,34,0,10,0,10,0,0.657652,0.091406,0.333333,1,0,1,4,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,A
G030_01,29,sentence_transformers_all_minilm_l6_v2__fixed_500__dense__reranker,"Welche Schritte verlangt die Anleitung, um Postfachregeln serverseitig uber Outlook Online einzurichten, und wie wird die Regel anschliessend aktiviert?",llama3:8b,dense,0.3333,0.4693,1.0,1,0.8571,,4.6241,1212,34,1,10,0,10,0,0.662156,0.141461,0.511111,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,C
G031_01,30,sentence_transformers_all_minilm_l6_v2__fixed_500__dense__reranker,Welche Varianten zum Buchen eines Besprechungsraums beschreibt die Ressourcendokumentation und welche Schritte sind fur die Kalendergruppe notwendig?,llama3:8b,dense,0.0,0.0,0.0,,0.8571,,3.9294,411,32,1,10,0,10,0,0.688827,0.152717,0.688889,1,0,1,3,sentence-transformers/all-MiniLM-L6-v2,fixed_500,500,0,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_fixed_500,B
