question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001,Softphone Kennwort aendern,gemma:2b,hybrid,1.0,1.0,1.0,1,0.75,"self-service, tage",4.3696,1120,19,1,10,10,2,2,0.267266,0.026723,0.333333,0,0,0,2,C
G002,Softphone Anmeldedaten speichern aktivieren,gemma:2b,hybrid,1.0,1.0,1.0,1,0.8571,haken,2.7029,386,23,1,10,10,4,4,0.275001,0.02468,0.911111,0,0,0,5,C
G003,Softphone Erstanmeldung mit DLS PIN,gemma:2b,hybrid,1.0,1.0,1.0,1,0.8571,erstmalig,3.0673,578,22,0,10,10,2,2,0.204547,-0.002431,0.244444,0,0,0,2,A
G004,Softphone vollstaendig beenden,gemma:2b,hybrid,1.0,1.0,1.0,1,0.0,taskleiste,2.6617,435,13,1,10,10,4,4,0.214649,-0.0511,0.511111,0,0,1,4,C
G005,Softphone Fusion Leiste Funktionen,gemma:2b,hybrid,1.0,1.0,1.0,1,0.6667,"favoriten, optionen",2.829,434,19,1,10,10,6,6,0.182612,-0.075052,0.6,0,0,0,4,C
G006,Softphone praefiertes Endgeraet wechseln,gemma:2b,hybrid,1.0,1.0,1.0,1,0.6667,"fusion, praeferiert",3.0399,387,35,1,10,10,10,10,0.284962,0.037883,0.377778,0,0,0,4,C
G007,Softphone One Number Service konfigurieren,gemma:2b,hybrid,0.8,0.8688,1.0,1,1.0,,2.788,744,13,1,10,10,6,6,0.274662,0.007102,0.555556,0,0,0,5,C
G008,Softphone Rufnummernanzeige steuern (CLIR),gemma:2b,hybrid,1.0,1.0,1.0,1,0.4,"anzeige, endgeraet, rufnummer",2.7531,374,15,1,10,10,3,3,0.374663,0.000671,0.333333,0,0,0,2,C
G009,Softphone Rufnummer fuer CLIR deaktivieren,gemma:2b,hybrid,1.0,1.0,1.0,1,0.0,deaktivieren,2.7808,475,18,1,10,10,7,7,0.266904,0.023915,0.466667,0,0,1,4,C
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,gemma:2b,hybrid,1.0,0.9675,1.0,1,0.4,"anruf, rufnummer, uebergeben",3.035,396,37,1,10,10,10,10,0.328919,-0.017171,0.333333,0,0,0,2,C
