question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001,Softphone Kennwort aendern,gemma:2b,hybrid,0.6667,0.7654,1.0,1,0.5714,,4.8658,897,11,1,12,12,4,4,0.204706,0.013259,0.757576,0,0,0,2,C
G002,Softphone Anmeldedaten speichern aktivieren,gemma:2b,hybrid,0.5,0.6131,1.0,1,0.8571,,2.9017,724,32,1,12,12,4,4,0.211609,0.031592,0.606061,0,0,0,4,C
G003,Softphone Erstanmeldung mit DLS PIN,gemma:2b,hybrid,0.5,0.6131,1.0,1,0.8571,,2.721,405,20,1,12,12,2,2,0.156746,-0.010817,0.909091,0,0,0,3,C
G004,Softphone vollstaendig beenden,gemma:2b,hybrid,0.5,0.6131,1.0,1,0.0,,2.5403,230,9,1,12,12,3,3,0.16312,-0.01893,0.848485,0,0,1,4,C
G005,Softphone Fusion Leiste Funktionen,gemma:2b,hybrid,0.0,0.0,0.0,36,0.6667,,2.7677,424,16,1,12,12,5,5,0.145266,-0.075394,0.545455,0,0,0,5,C
G006,Softphone praefiertes Endgeraet wechseln,gemma:2b,hybrid,0.0,0.0,0.0,48,0.6667,,2.6012,400,10,1,12,12,8,8,0.228908,-0.041529,0.424242,0,0,0,3,C
G007,Softphone One Number Service konfigurieren,gemma:2b,hybrid,0.0,0.0,0.0,41,1.0,,2.9261,537,19,1,12,12,6,6,0.255205,-0.016782,0.666667,0,0,1,7,C
G008,Softphone Rufnummernanzeige steuern (CLIR),gemma:2b,hybrid,0.0,0.0,0.0,32,0.6667,,2.8247,411,21,1,12,12,4,4,0.344183,-0.018742,0.787879,0,0,0,2,C
G009,Softphone Rufnummer fuer CLIR deaktivieren,gemma:2b,hybrid,0.0,0.0,0.0,15,0.8571,,3.3968,419,53,1,12,12,7,7,0.219711,0.022241,0.636364,0,0,1,8,C
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,gemma:2b,hybrid,0.3333,0.2346,0.3333,3,0.4,,3.044,422,33,1,12,12,8,8,0.279651,-0.018611,0.545455,0,0,0,3,C
G011,Softphone Konferenz planen,gemma:2b,hybrid,0.0,0.0,0.0,45,0.0,,3.2378,360,54,1,12,12,7,7,0.149079,-0.035615,0.69697,0,0,0,5,C
