question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001,Softphone Kennwort aendern,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.5714,"90, self-service, tage",5.5691,747,22,1,10,10,4,4,0.267012,0.026676,0.2,0,0,0,2,C
G002,Softphone Anmeldedaten speichern aktivieren,mistral:instruct,hybrid,1.0,1.0,1.0,1,1.0,,3.8221,568,22,1,10,10,8,8,0.274957,0.054154,0.733333,0,0,0,3,C
G003,Softphone Erstanmeldung mit DLS PIN,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.8571,erstmalig,3.942,545,30,1,10,10,7,7,0.204455,-0.002387,0.777778,1,0,0,3,C
G004,Softphone vollstaendig beenden,mistral:instruct,hybrid,1.0,0.9675,1.0,1,0.0,taskleiste,3.0809,293,11,1,10,10,8,8,0.214675,-0.013185,0.644444,0,0,0,2,C
G005,Softphone Fusion Leiste Funktionen,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.0,fusion,3.7334,352,25,0,10,10,10,10,0.182569,-0.034316,0.777778,0,0,0,3,A
G006,Softphone praefiertes Endgeraet wechseln,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.8571,fusion,3.7164,299,24,0,10,10,10,10,0.284691,0.015672,0.422222,1,0,0,2,A
G007,Softphone One Number Service konfigurieren,mistral:instruct,hybrid,0.8,0.8688,1.0,1,0.0,one number,4.2886,882,30,1,10,10,6,6,0.274542,0.017079,0.6,0,0,1,5,C
G008,Softphone Rufnummernanzeige steuern (CLIR),mistral:instruct,hybrid,1.0,1.0,1.0,1,0.0,clir,3.772,359,25,1,10,10,4,4,0.370121,0.000312,0.644444,1,0,0,2,C
G009,Softphone Rufnummer fuer CLIR deaktivieren,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.8571,auswaehlen,4.2178,672,23,1,10,10,8,8,0.266676,0.06082,0.6,1,0,1,3,C
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,mistral:instruct,hybrid,1.0,0.9675,1.0,1,0.4,"anruf, rufnummer, uebergeben",3.6751,253,25,1,10,10,9,9,0.328789,-0.007161,0.377778,0,0,1,2,C
G011,Softphone Konferenz planen,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.8571,teilnehmer,3.7366,418,21,1,10,10,8,8,0.312278,0.010483,0.555556,1,0,0,4,C
G012,HP Drucker Papierstau beheben,mistral:instruct,hybrid,1.0,1.0,1.0,1,1.0,,4.4877,610,21,1,10,10,10,10,0.285176,0.009809,0.466667,1,0,1,4,C
G013,HP Drucker Duplexmodul verwenden,mistral:instruct,hybrid,0.6667,0.7039,1.0,1,0.8571,modul,3.828,379,23,1,10,10,8,8,0.295873,0.012937,0.155556,1,0,1,3,C
G014,HP Drucker Patronen reinigen,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.6667,"kontakte, reinigen",3.8156,387,27,1,10,10,8,8,0.334996,0.030323,0.822222,1,0,0,2,C
G015,Abwesenheitsagent in Clerk anlegen,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.8571,abwesenheit,4.9071,1516,24,1,10,10,4,4,0.19183,-0.051838,0.288889,0,0,0,5,C
G016,Outlook Ordner fuer Stellvertreter freigeben,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.0,stellvertreter,3.7253,302,29,1,10,10,10,10,0.177852,-0.043846,0.688889,1,0,0,2,C
G017,Raeume oder Ressourcen buchen,mistral:instruct,hybrid,1.0,0.6309,0.5,2,0.8571,outlook,4.1237,594,22,1,10,10,10,10,0.229436,0.056503,0.644444,0,0,0,2,C
G018,Wie konfiguriere ich die Proxy-Einstellungen fuer agree21Internet manuell?,mistral:instruct,hybrid,1.0,1.0,1.0,1,1.0,,4.2941,692,18,1,10,10,10,10,0.308178,0.031256,0.555556,0,0,0,3,C
G019,Welche Aufgaben uebernimmt das Atruvia Secure Webgateway laut Funktionsbeschreibung?,mistral:instruct,hybrid,1.0,0.5,0.3333,3,0.6667,"malware, proxy",3.995,457,22,1,10,10,10,10,0.199721,0.169974,0.288889,1,0,0,1,C
G020,Welche Ports empfiehlt die LDAP-Anleitung fuer StartTLS und LDAPS?,mistral:instruct,hybrid,1.0,0.6309,0.5,2,0.0,starttls,3.8955,445,27,1,10,10,2,2,0.324694,0.028353,0.333333,1,0,1,2,C
G021,Welche Forms-Regeln gelten laut Spielregeln M365?,mistral:instruct,hybrid,0.0,0.0,0.0,47,0.4,"auswertung, betriebsrat, mitarbeiter",3.9985,684,27,0,10,10,5,5,3.263266,3.229366,0.022222,0,0,1,3,A
G022,Wie legt man Postfachregeln laut Anleitung in Outlook Online an?,mistral:instruct,hybrid,1.0,0.6934,0.5,2,0.8571,regeln,3.9381,547,24,1,10,10,7,7,0.278543,0.03646,0.466667,0,0,0,3,C
G023,Wie aktiviert man Senden-von in Outlook laut Anleitung?,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.6667,"office.com, webclient",4.2619,720,29,1,10,10,2,2,0.219968,0.038849,0.6,1,0,0,2,C
G024,Wie erteilt man Outlook-Zugriff fuer Stellvertreter laut Guidance?,mistral:instruct,hybrid,0.0,0.0,0.0,,0.6667,"freigabe, hinzufuegen",3.9222,463,23,0,10,10,8,8,0.2702,0.02702,0.244444,1,0,0,1,B
G025,Wie erstellt man Screenshots mit Greenshot laut Anleitung?,mistral:instruct,hybrid,0.0,0.0,0.0,,0.0,greenshot,4.057,536,27,1,10,10,10,10,0.287755,0.028775,0.022222,0,0,0,2,B
G026,Welche Abwesenheitsarten mussen Mitarbeitende im Clerk-Abwesenheitsagenten eintragen und welche Schritte sind fur die Anlage einer periodischen Serie inklusive Namen und Zeitraum notwendig?,mistral:instruct,hybrid,0.5,0.6131,1.0,1,0.4,"beschreibung, periodisch, zeitraum",3.9765,533,18,1,10,10,10,10,0.367605,0.056157,0.733333,0,0,0,2,C
G027,Wie werden im Clerk-Abwesenheitsagenten halbtagige Abwesenheiten konfiguriert und welche Optionen sollten bei einer wochentlich wiederkehrenden Teilzeitabwesenheit gesetzt werden?,mistral:instruct,hybrid,0.5,0.3066,0.3333,3,1.0,,4.2697,692,20,0,10,10,8,8,0.284594,0.023958,0.822222,0,0,1,5,A
G028,"Welche Einstellungen sind in Outlook erforderlich, damit sowohl neue als auch bereits bestehende Ordner automatisch fur Stellvertreter freigegeben sind?",mistral:instruct,hybrid,0.0,0.0,0.0,,0.6667,"bestehende ordner, neue ordner",4.0087,559,21,1,10,10,8,8,0.205097,0.060291,0.644444,1,0,0,2,B
G029,"Welche Schritte sind laut PDF-Crypt-Anleitung erforderlich, um Kundenpassworter einzusehen und anschliessend ein neues Passwort zu vergeben?",mistral:instruct,hybrid,1.0,1.0,1.0,1,0.0,passwortmanager,4.2293,680,24,1,10,10,4,4,0.264064,0.020901,0.111111,0,0,0,1,C
G030,"Welche Schritte verlangt die Anleitung, um Postfachregeln serverseitig uber Outlook Online einzurichten, und wie wird die Regel anschliessend aktiviert?",mistral:instruct,hybrid,0.3333,0.2961,0.5,2,0.6667,"aktivierung, regeln verwalten",4.0409,620,27,1,10,10,8,8,0.3301,0.066077,0.155556,0,0,0,3,C
G031,Welche Varianten zum Buchen eines Besprechungsraums beschreibt die Ressourcendokumentation und welche Schritte sind fur die Kalendergruppe notwendig?,mistral:instruct,hybrid,0.0,0.0,0.0,,0.0,kalendergruppe,4.0848,618,24,1,10,10,10,10,0.420431,0.062719,0.511111,1,0,0,1,B
G032,Welche Hinweise und Warnungen nennt das HP-Druckerhandbuch fur den Umgang mit dem Gerat und welche Leistungsmerkmale werden hervorgehoben?,mistral:instruct,hybrid,0.3333,0.2961,0.5,2,0.0,warnungen,3.8705,447,21,1,10,10,10,10,0.310731,0.02333,0.466667,0,0,0,3,C
G033,Welche technischen Komponenten des Atruvia Secure Webgateway werden genannt und welche Filter- sowie SSL-Analysefunktionen stehen laut Dokumentation zur Verfugung?,mistral:instruct,hybrid,0.3333,0.1672,0.1667,6,0.0,ssl-analyse,4.0819,582,23,1,10,10,10,10,0.287651,0.244776,0.244444,0,0,0,2,C
G034,"Welche Schritte sind laut LDAP-Anleitung notwendig, um die Vertrauensstellung zu aktivieren und das Root-Zertifikat zu installieren?",mistral:instruct,hybrid,0.3333,0.2961,0.5,2,1.0,,4.0605,545,22,0,10,10,2,2,0.349458,0.027644,0.022222,1,0,1,4,A
G035,Wie lassen sich laut Anleitung die Firefox-Lesezeichen vor dem Import nach Edge bereinigen und welche Schritte sind fur den erneuten Import erforderlich?,mistral:instruct,hybrid,1.0,1.0,1.0,1,0.8,favoriten importieren,4.3868,762,27,1,10,10,10,10,0.26348,0.026348,0.422222,1,0,1,2,C
G036,Wie erstellt man im agree21Voice Softphone ein benutzerdefiniertes Anrufumleitungsprofil und welche Optionen fur Regeln und Prasenzstatus konnen festgelegt werden?,mistral:instruct,hybrid,0.6667,0.4982,0.5,2,0.0,prasenzstatus,3.9351,470,20,1,10,10,10,10,0.304693,0.206975,0.466667,1,0,0,2,C
G037,"Welche Voraussetzungen mussen im agree21Voice Softphone erfullt sein, damit eine einfache Anrufumleitung wirksam bleibt, und wie deaktiviert man sie wieder?",mistral:instruct,hybrid,0.0,0.0,0.0,,0.4,"fusion-leiste, praferiertes endgerat, profil",4.0092,470,22,1,10,10,10,10,0.410538,0.084532,0.377778,0,0,0,2,B
G038,Wie erfolgt die Administration des Atruvia Secure Webgateway in SAGA und wie konnen Internetprofile kopiert und angepasst werden?,mistral:instruct,hybrid,0.6667,0.6173,1.0,1,0.0,internetprofile,3.9077,445,21,1,10,10,10,10,0.245729,0.123058,0.244444,0,0,0,2,C
