question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001,Softphone Kennwort aendern,llama3:8b,hybrid,0.5,0.6367,1.0,1,1.0,,9.8587,1086,101,1,12,11,1,0,0.204047,0.053568,-0.060606,1,0,0,5,C
G002,Softphone Anmeldedaten speichern aktivieren,llama3:8b,hybrid,0.5,0.6131,1.0,1,1.0,,6.6809,948,77,1,12,10,2,0,0.211407,0.109692,0.090909,1,1,0,4,OK
G003,Softphone Erstanmeldung mit DLS PIN,llama3:8b,hybrid,0.5,0.6131,1.0,1,1.0,,8.3362,852,129,1,12,11,1,0,0.15605,0.022966,0.333333,1,1,0,4,OK
G004,Softphone vollstaendig beenden,llama3:8b,hybrid,0.5,0.6131,1.0,1,1.0,,6.815,254,112,1,12,9,3,0,0.162494,0.050258,0.242424,1,0,0,4,C
G005,Softphone Fusion Leiste Funktionen,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,5.3527,326,60,1,12,12,0,0,0.178088,-0.018963,0.666667,1,0,1,4,B
G006,Softphone praefiertes Endgeraet wechseln,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,7.1372,299,99,1,12,9,3,0,0.241788,0.155776,0.0,1,1,0,4,B
G007,Softphone One Number Service konfigurieren,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,7.2421,1091,91,1,12,10,2,0,0.696978,0.093652,0.090909,1,1,1,4,B
G008,Softphone Rufnummernanzeige steuern (CLIR),llama3:8b,hybrid,0.0,0.0,0.0,61,0.0,,7.3995,374,101,1,12,9,3,0,0.746762,0.09886,-0.181818,1,0,0,4,C
G009,Softphone Rufnummer fuer CLIR deaktivieren,llama3:8b,hybrid,0.0,0.0,0.0,,0.0,,7.8612,645,107,1,12,9,3,0,0.201145,0.142376,0.060606,1,1,0,4,B
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,llama3:8b,hybrid,0.25,0.1952,0.3333,3,0.0,,5.702,418,71,1,12,9,3,0,0.756198,0.124336,0.181818,0,0,1,4,C
G011,Softphone Konferenz planen,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,6.5559,412,86,1,12,12,0,0,0.245906,0.028324,0.515152,1,1,0,4,B
G012,HP Drucker Papierstau beheben,llama3:8b,hybrid,0.25,0.3904,1.0,1,1.0,,5.7888,494,57,1,12,9,3,0,0.217439,0.129929,-0.121212,1,0,0,4,C
G013,HP Drucker Duplexmodul verwenden,llama3:8b,hybrid,0.25,0.1681,0.25,4,1.0,,4.6729,1167,25,0,12,9,3,0,0.75397,0.165005,0.0,1,0,1,4,A
G014,HP Drucker Patronen reinigen,llama3:8b,hybrid,0.25,0.2463,0.5,2,0.0,,5.9753,1008,57,1,12,9,3,0,0.754488,0.109008,0.121212,0,0,1,4,C
G015,Abwesenheitsagent in Clerk anlegen,llama3:8b,hybrid,1.0,0.8772,1.0,1,1.0,,6.764,1145,70,0,12,1,11,0,0.148442,0.05015,-0.212121,1,0,1,4,A
G016,Outlook Ordner fuer Stellvertreter freigeben,llama3:8b,hybrid,0.5,0.6367,1.0,1,1.0,,7.0718,368,89,1,12,12,0,0,0.136095,-0.047506,0.333333,1,1,0,4,OK
G017,Raeume oder Ressourcen buchen,llama3:8b,hybrid,0.5,0.6367,1.0,1,1.0,,5.9417,429,70,1,12,10,2,0,0.72959,0.109703,0.121212,1,1,0,4,OK
G018,Wie konfiguriere ich die Proxy-Einstellungen fuer agree21Internet manuell?,llama3:8b,hybrid,0.5,0.6131,1.0,1,1.0,,6.8426,561,77,1,12,9,3,0,0.745494,0.130819,-0.090909,1,1,0,4,OK
G019,Welche Aufgaben uebernimmt das Atruvia Secure Webgateway laut Funktionsbeschreibung?,llama3:8b,hybrid,0.5,0.2641,0.25,4,1.0,,6.5256,521,74,1,12,9,3,0,0.148192,0.160188,0.030303,1,0,1,4,C
G020,Welche Ports empfiehlt die LDAP-Anleitung fuer StartTLS und LDAPS?,llama3:8b,hybrid,0.5,0.3869,0.5,2,1.0,,6.4706,1049,72,1,12,11,1,0,0.738997,0.053185,0.424242,1,1,0,4,OK
G021,Welche Forms-Regeln gelten laut Spielregeln M365?,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,8.2787,1040,114,1,12,12,0,0,3.276534,3.120136,-0.272727,1,1,0,4,B
G022,Wie legt man Postfachregeln laut Anleitung in Outlook Online an?,llama3:8b,hybrid,0.5,0.3066,0.3333,3,1.0,,8.3008,866,112,1,12,10,2,0,0.724566,0.099194,0.121212,1,1,0,4,OK
G023,Wie aktiviert man Senden-von in Outlook laut Anleitung?,llama3:8b,hybrid,0.5,0.6131,1.0,1,1.0,,8.0752,765,117,1,12,11,1,0,0.167629,0.056501,0.060606,1,0,1,5,C
G024,Wie erteilt man Outlook-Zugriff fuer Stellvertreter laut Guidance?,llama3:8b,hybrid,0.0,0.0,0.0,,0.8571,,7.9031,529,103,1,12,12,0,0,0.202974,0.016915,0.606061,0,1,0,4,B
G025,Wie erstellt man Screenshots mit Greenshot laut Anleitung?,llama3:8b,hybrid,0.5,0.6131,1.0,1,1.0,,7.4934,661,92,1,12,12,0,0,0.21827,0.018189,0.242424,1,1,0,4,OK
G026,Welche Abwesenheitsarten mussen Mitarbeitende im Clerk-Abwesenheitsagenten eintragen und welche Schritte sind fur die Anlage einer periodischen Serie inklusive Namen und Zeitraum notwendig?,llama3:8b,hybrid,1.0,0.6934,0.5,2,1.0,,5.1721,590,39,1,12,9,3,0,0.765742,0.158254,-0.030303,1,0,1,4,C
